Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Sweet Seduction Chicago,1902 N Spaulding 2w,Chicago,IL,60647,b/t Armitage Ave & Cortland St,Logan Square,(312) 593-0888,,Brooke S.,Yes,No,5.0 star rating,4 reviews,http://www.sweetseductionchicago.com,Moderate,Mon 10:00 am - 2:00 am<br>Tue 10:00 am - 2:00 am<br>Wed 10:00 am - 2:00 am<br>Thu 10:00 am - 2:00 am<br>Fri 10:00 am - 4:00 am<br>Sat 10:00 am - 4:00 am<br>Sun 11:00 am - 2:00 am<br>,,,,Yes,,,No,,Yes,,,,,Yes,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",41.915669,-87.710588,"https://s3-media3.fl.yelpcdn.com/bphoto/GvvBl83kT1B8c8TFzLZopQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/GvvBl83kT1B8c8TFzLZopQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/GvvBl83kT1B8c8TFzLZopQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/GvvBl83kT1B8c8TFzLZopQ/300s.jpg 1.20x",http://www.yelp.com/biz/sweet-seduction-chicago-chicago-2?osq=Adult+Entertainment,,,,,,
Chicago Exotic Strippers,,Chicago,IL,60611,,"Near North Side, River East",(773) 524-6000,"Celebrate your friend's bachelor party / bachelorette party, get the party started before a wedding, or celebrate your friend's upcoming birthday with a sexy surprise dance with one …Learn more about Chicago Exotic Strippers, Opens a popupSpecialtiesCelebrate your friend's bachelor party / bachelorette party, get the party started before a wedding, or celebrate your friend's upcoming birthday with a sexy surprise dance with one of our hottie entertainers. Or even say goodbye with the best divorce party favor you can offer. Our dancers will make the event unforgettable for you and your guests.HistoryEstablished in 2005.Chicago Exotic Strippers is Chicago's most reliable exotic entertainment agency,providing the best male andfemale strippers to Chicago and the metro area.",,Yes,No,4.5 star rating,11 reviews,http://www.exoticchicagostrippers.com/,Pricey,Mon 9:00 am - 12:00 am<br>Tue 9:00 am - 12:00 am<br>Wed 9:00 am - 12:00 am<br>Thu 9:00 am - 12:00 am<br>Fri 9:00 am - 12:00 am<br>Sat 9:00 am - 12:00 am<br>Sun 9:00 am - 12:00 am<br>,,,,Yes,,,,,No,,,,,,No,,,,No,No,,No,,,,,"Adult Entertainment, Adult Entertainment",,,"https://s3-media2.fl.yelpcdn.com/bphoto/7eYRm3Ix0cqCvw3653raWw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/7eYRm3Ix0cqCvw3653raWw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/7eYRm3Ix0cqCvw3653raWw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/7eYRm3Ix0cqCvw3653raWw/300s.jpg 1.20x",http://www.yelp.com/biz/chicago-exotic-strippers-chicago?osq=Adult+Entertainment,,,,,,
Sinful Chicago Strippers,,Chicago,IL,,,,(312) 377-9820,,Alissa M.,Yes,No,5.0 star rating,2 reviews,http://www.sinfulchicago.com,,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,Yes,,,Yes,,Yes,,,,,,No,Yes,,Yes,Yes,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",,,"https://s3-media1.fl.yelpcdn.com/bphoto/WDvvqlal2kfpS6B9-XhHag/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/WDvvqlal2kfpS6B9-XhHag/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/WDvvqlal2kfpS6B9-XhHag/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/WDvvqlal2kfpS6B9-XhHag/300s.jpg 1.20x",http://www.yelp.com/biz/sinful-chicago-strippers-chicago-4?osq=Adult+Entertainment,,,,,,
Maid In Heaven,,Chicago,IL,60617,,Calumet Heights,(219) 225-8808,,,Yes,No,,,,,Mon 9:00 am - 9:00 pm<br>Tue 9:00 am - 9:00 pm<br>Wed 9:00 am - 9:00 pm<br>Thu 9:00 am - 9:00 pm<br>Fri 9:00 am - 12:00 am<br>Sat 9:00 am - 12:00 am<br>Sun 9:00 am - 12:00 am<br>,,,,No,,,No,,,,,,,,No,No,,No,No,No,,No,,,,Yes,"Home Cleaning, Adult Entertainment, Home Cleaning, Adult Entertainment",,,"https://s3-media1.fl.yelpcdn.com/bphoto/zc9ANA7sD7a4iCBq6Thvsw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/zc9ANA7sD7a4iCBq6Thvsw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/zc9ANA7sD7a4iCBq6Thvsw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/zc9ANA7sD7a4iCBq6Thvsw/300s.jpg 1.20x",http://www.yelp.com/biz/maid-in-heaven-chicago-3?osq=Adult+Entertainment,,,,,,
1903,1903 N Humboldt Blvd,Chicago,IL,60647,,Logan Square,,,,Yes,No,4.5 star rating,3 reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",41.915803,-87.701295,"https://s3-media2.fl.yelpcdn.com/bphoto/_F9JEM4axie_U4tJZs8RGQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/_F9JEM4axie_U4tJZs8RGQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/_F9JEM4axie_U4tJZs8RGQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/_F9JEM4axie_U4tJZs8RGQ/300s.jpg 1.20x",http://www.yelp.com/biz/1903-chicago?osq=Adult+Entertainment,,,,,,
Handsome Gentleman’s Club - For Men,1544 N Oakley,Chicago,IL,60622,b/t North Ave & Le Moyne St,"West Town, Wicker Park",,,,Yes,No,5.0 star rating,4 reviews,,Ultra High-End,,,,,Yes,,,,,Yes,,,Very Loud,,,Full Bar,,,,,Yes,,Yes,,,,,"Adult Entertainment, Adult Entertainment",41.909721,-87.684776,"https://s3-media4.fl.yelpcdn.com/bphoto/gIF7Gz6wZV4IysvNLWwtWw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/gIF7Gz6wZV4IysvNLWwtWw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/gIF7Gz6wZV4IysvNLWwtWw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/gIF7Gz6wZV4IysvNLWwtWw/300s.jpg 1.20x",http://www.yelp.com/biz/handsome-gentlemans-club-for-men-chicago?osq=Adult+Entertainment,,,,,,
Bare-Assets,4701 W Roosevelt Rd,Cicero,IL,60804,b/t Illinois Route 50 & 47th Ave,Lawndale,(708) 780-7773,,,Yes,No,4.5 star rating,5 reviews,,Moderate,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,Yes,,,,,Yes,,,Quiet,,,No,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",41.865912,-87.742296,"https://s3-media1.fl.yelpcdn.com/bphoto/JaOJZKingagXKtyC9is8cw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/JaOJZKingagXKtyC9is8cw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/JaOJZKingagXKtyC9is8cw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/JaOJZKingagXKtyC9is8cw/300s.jpg 1.20x",http://www.yelp.com/biz/bare-assets-cicero?osq=Adult+Entertainment,,,,,,
The Naughty Little Cabaret,26 W Division,Chicago,IL,60610,b/t State St & Astor St,Near North Side,(773) 899-6274,"Male Burlesque, Cabaret, Circus, Divas, Acrobats, Live singers and more!Learn more about The Naughty Little Cabaret, Opens a popupSpecialtiesMale Burlesque, Cabaret, Circus, Divas, Acrobats, Live singers and more!HistoryEstablished in 2013.Producer Rob Racine created the show as way to bridge the risque performance community in a sexy, glamorous and classy way.Since the show debuted in March of 2013- Naughty Little Cabaret has been SOLD OUT for more than 65% of their show- impressive for a show that is run every week!We have the best names in burlesque and performance- grace our stage such as2013 21st Century Top 10 Male Burlesque Performers in the World#01 The Stage Door JohnniesInternational Burlesque Hall of Fame Winners2013 King of Burlesque - Ray Gunn2012 Best Duo - Jett Adore / Frenchie Kiss2011 Best Group - The Stage Door Johnnies 2011 Most Innovative - Jett Adore 2011 Most Comedic - Lola Martinet & Tila Von Twirl2013 21st Century Top 50 Burlesque Performers in the World#08 Ray Gunn, Bazuka Joe & Jett Adore #27 Jeez Loueez #29 Lola Van Ella RuPaul's Drag Race StarsSEASON 6 - Gia Gunn SEASON 5 - Dida RitzSEASON 1 - Jade SotomayorMeet the Business Owner",Rob R.,Yes,No,4.0 star rating,37 reviews,http://www.naughtylittlecabaret.com/,Moderate,Mon 10:00 am - 7:00 pm<br>Tue 10:00 am - 7:00 pm<br>Wed 10:00 am - 7:00 pm<br>Thu 10:00 am - 7:00 pm<br>Fri 10:00 am - 7:00 pm<br>Sat 7:30 pm - 10:30 pm<br>Sun Closed<br>,,,,Yes,,,,,Yes,,Trendy,Average,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",41.904075,-87.629237,"https://s3-media3.fl.yelpcdn.com/bphoto/DtScAB9vS1BOyOAGN1VWog/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/DtScAB9vS1BOyOAGN1VWog/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/DtScAB9vS1BOyOAGN1VWog/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/DtScAB9vS1BOyOAGN1VWog/300s.jpg 1.20x",http://www.yelp.com/biz/the-naughty-little-cabaret-chicago?osq=Adult+Entertainment,,,,,,
Ocean Gentlemen’s Club,5555 W 70th Pl,Bedford Park,IL,60638,at Central Ave,,(708) 701-2990,,,Yes,No,3.0 star rating,2 reviews,http://www.oceangentlemensclub.com/site/,,Mon 7:00 pm - 3:00 am<br>Tue 7:00 pm - 3:00 am<br>Wed 7:00 pm - 3:00 am<br>Thu 5:00 pm - 3:00 am<br>Fri 5:00 pm - 4:00 am<br>Sat 7:00 pm - 4:00 am<br>Sun 7:00 pm - 3:00 am<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",41.764097,-87.760408,"https://s3-media3.fl.yelpcdn.com/bphoto/6Mop435BQIS1Zk5avUA5rw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/6Mop435BQIS1Zk5avUA5rw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/6Mop435BQIS1Zk5avUA5rw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/6Mop435BQIS1Zk5avUA5rw/300s.jpg 1.20x",http://www.yelp.com/biz/ocean-gentlemens-club-bedford-park-2?osq=Adult+Entertainment,,,,,,
Chicago Cuddles,828 Davis St Ste LL - 7,Evanston,IL,60201,b/t Sherman Ave & Benson Ave,,(773) 756-6943,,Ashley K.,Yes,No,,,http://www.chicagocuddles.com,,Mon 12:00 pm - 1:00 am<br>Tue 12:00 pm - 1:00 am<br>Wed 12:00 pm - 1:00 am<br>Thu 12:00 pm - 1:00 am<br>Fri 12:00 pm - 1:00 am<br>Sat 12:00 pm - 1:00 am<br>Sun 12:00 pm - 1:00 am<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",42.046724,-87.683240,"https://s3-media2.fl.yelpcdn.com/bphoto/BNOzfXwxCnOZ0pPjJuFEww/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/BNOzfXwxCnOZ0pPjJuFEww/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/BNOzfXwxCnOZ0pPjJuFEww/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/BNOzfXwxCnOZ0pPjJuFEww/300s.jpg 1.20x",http://www.yelp.com/biz/chicago-cuddles-evanston?osq=Adult+Entertainment,,,,,,
