Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Bangkok Thai Spa Massage,4825 W Flamingo Rd Ste 8,Las Vegas,NV,89103,,,(702) 331-3881,"Our Thai massage Therapist use thai local massage technique to help you relieve and relax from stress and pain. Our massage room is very clean and modern in thai decoration. you will …Learn more about Bangkok Thai Spa Massage, Opens a popupSpecialtiesOur Thai massage Therapist use thai local massage technique to help you relieve and relax from stress and pain. Our massage room is very clean and modern in thai decoration. you will feel very comfortable and relax in Thai ambient while you massage here. We are the best thai massage in las vegas and you will never forget our thai massage service.Traditional Thai massage is a deep, full-body treatment, starting at the feet and progressing to the head. Using gentle flowing exercise movements, the recipient's body is moved, loosening and stretching joints and muscles, similar to an assisted Yoga workout. This unique type of massage also influences the bodies energy , restoring the flow throughout the body with applied acupressure on the zen lines of the body creating harmony both mental and physical.HistoryEstablished in 2016.Established in 2016",,Yes,No,5.0 star rating,58 reviews,http://www.bangkokthaimassagelasvegas.com,Moderate,Mon 10:00 am - 9:00 pm<br>Tue 10:00 am - 9:00 pm<br>Wed 10:00 am - 9:00 pm<br>Thu 10:00 am - 9:00 pm<br>Fri 10:00 am - 9:00 pm<br>Sat 10:00 am - 9:00 pm<br>Sun 10:00 am - 9:00 pm<br>,,,,Yes,,"Street, Private Lot",Yes,,,,,,,,,,,,,,,,,,,Yes,"Day Spas, Reflexology, Waxing, Day Spas, Reflexology, Waxing",36.114770,-115.206989,"https://s3-media2.fl.yelpcdn.com/bphoto/xL-WkPPqmW-i04nREz-3LQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/xL-WkPPqmW-i04nREz-3LQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/xL-WkPPqmW-i04nREz-3LQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/xL-WkPPqmW-i04nREz-3LQ/300s.jpg 1.20x",http://www.yelp.com/biz/bangkok-thai-spa-massage-las-vegas?osq=Massage,,,,,,
Massage 2go,4525 Dean Martin Dr,Las Vegas,NV,89103,,,(805) 815-9220,"Mobile massage only.Get Spa Treatment Wherever You are ! You can order massage in to your place! Apartment, House, Room in Hotel.Massage at home for $120.Masseuse arrives in 1-2 …Learn more about Massage 2go, Opens a popupSpecialtiesMobile massage only.Get Spa Treatment Wherever You are ! You can order massage in to your place! Apartment, House, Room in Hotel.Massage at home for $120.Masseuse arrives in 1-2 hour! Relaxing massage full body from head to toe. Easy touch. De-stress massage.60 minutes$12090 minutes$160120 minutes$200SwedishMassage full body from head to toe, medium touch.  60 minutes$120 90 minutes$160120 minutes $200Deep tissue Massagefull body from head to toe, strong and deep touch.60 minutes$14090 minutes$200120 minutes$240Hawaiian massage Lomi Lomi Nuiwith one masseuse 60 minutes$14090 minutes$200120 minutes$250Hawaiian massage Lomi Lomi Nuiwith two masseuses 60 minutes$22090 minutes$300Hawaiian massage Lomi Lomi Nuiis performed in four hands. Massage promotes relaxation and full recovery of the body. It helps in making important decisions. Treat yourself It's a fantastic feeling!Couples Relaxing Massages  60 minutes$240 90 minutes$320Couples SwedishMassage 60 minutes$240 90 minutes$320Couples Deep tissue Massage.60 minutes$28090 minutes$380Book call or text today!We are have American speaking and Russian speakingstaff.HistoryEstablished in 2015.We worked in Los Angeles. Now, for we are open to Las Vegas!Meet the Business Owner",Nadezhda H.,Yes,No,5.0 star rating,46 reviews,,Inexpensive,Mon 10:00 am - 1:00 am<br>Tue 10:00 am - 1:00 am<br>Wed 10:00 am - 1:00 am<br>Thu 10:00 am - 1:00 am<br>Fri 10:00 am - 1:00 am<br>Sat 10:00 am - 1:00 am<br>Sun 10:00 am - 1:00 am<br>,,,,No,,,No,,,,,,,,,,,,,,,,,,,Yes,"Massage, Massage",,,"https://s3-media1.fl.yelpcdn.com/bphoto/xUO54KBEHGzUbkgI1aIK8A/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/xUO54KBEHGzUbkgI1aIK8A/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/xUO54KBEHGzUbkgI1aIK8A/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/xUO54KBEHGzUbkgI1aIK8A/300s.jpg 1.20x",http://www.yelp.com/biz/massage-2go-las-vegas-2?osq=Massage,,,,,,
The Foot Spa,5030 Spring Mountain Rd Ste 10,Las Vegas,NV,89146,,Chinatown,(702) 767-1688,"If you find our foot massage service did not meet your expectation, Please let our store manager know, Before you leave the store. Thanks the foot spa has everything you expect for …Learn more about The Foot Spa, Opens a popupSpecialtiesIf you find our foot massage service did not meet your expectation, Please let our store manager know, Before you leave the store. Thanks the foot spa has everything you expect for a genuine comfortable foot massage.Professional foot massage therapists always offer service tailored to your health condition.Natural herbal elements are utilized to enhance the practice.Moreover, we care more than provide the best foot massage service.We are also eager to share the traditional mystery of foot massage with our customers who feel interested.In this way our valued customers would know how it works and what works best for their personal needs.Treat yourself with a rejuvenating foot massage experience with us.Share the delights with your family, friends and spouses. We are always here to hear any feedback from you, and work our best to satisfy every valued customer.HistoryEstablished in 2010.he foot spa has everything you expect for a genuine comfort. Professional therapists always offer service tailored to your health condition. Natural herbal elements are utilized to enhance the practice. Moreover, we care more than provide the best service. We are also eager to share the traditional mystery of foot massage with our customers who feel interested.The Foot Spa also recommends",,Yes,No,4.0 star rating,667 reviews,http://footmassagevegas.net,Inexpensive,Mon 11:00 am - 12:00 am<br>Tue 11:00 am - 12:00 am<br>Wed 11:00 am - 12:00 am<br>Thu 11:00 am - 12:00 am<br>Fri 11:00 am - 12:00 am<br>Sat 11:00 am - 12:00 am<br>Sun 11:00 am - 12:00 am<br>,,,,Yes,,Private Lot,,,,,,,,,,,,,,,,,,,,No,"Massage, Massage Therapy, Reflexology, Day Spas, Massage, Massage Therapy",36.127034,-115.209682,"https://s3-media4.fl.yelpcdn.com/bphoto/tev8pamUYhRW_fwlXhqnpA/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/tev8pamUYhRW_fwlXhqnpA/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/tev8pamUYhRW_fwlXhqnpA/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/tev8pamUYhRW_fwlXhqnpA/300s.jpg 1.20x",http://www.yelp.com/biz/the-foot-spa-las-vegas-2?osq=Massage,,,,,,
Sawasdee Thai Spa,7207 W Sahara Ave Ste 115,Las Vegas,NV,89117,,Westside,(702) 790-1653,"Sawasdee Thai Spa open in 2017 is considered as one of the most elegant and prestige new Spa in Las Vegas. It specialize in traditional Thai massage, Swedish massage, and deep tissue …Learn more about Sawasdee Thai Spa, Opens a popupSpecialtiesSawasdee Thai Spa open in 2017 is considered as one of the most elegant and prestige new Spa in Las Vegas. It specialize in traditional Thai massage, Swedish massage, and deep tissue massage as well as massage for couple and facial. The massage therapists are highly trained, experience andvery beautiful. The Spa is beautifully decorated with waterfall and paintings imported from Thailand. The rooms are newly paint and very clean which make the guest feel very relax and comfortable. Our goal is to provide our guests with the best and high quality massage with an affordable price so that they could come back on a regular basisHistoryEstablished in 2017.Sawasdee Thai Spa,the word Sawasdee for Thai peoplemeans greeting with respect and also a polite way to say hello and goodbye. Most of the massage therapists who work here came from Luxury Thai Spa..You will find the best, most experience and beautiful massage therapist here.Meet the Business Owner","JaJa, Ammy, Maple and Orn B.",Yes,No,5.0 star rating,26 reviews,http://sawasdeethaispalv.com,Moderate,Mon 9:00 am - 9:00 pm<br>Tue 9:00 am - 9:00 pm<br>Wed 9:00 am - 9:00 pm<br>Thu 9:00 am - 9:00 pm<br>Fri 9:00 am - 9:00 pm<br>Sat 9:00 am - 9:00 pm<br>Sun 9:00 am - 9:00 pm<br>,,,,Yes,,Private Lot,,,,,,,,,,,,,,,,,,,,No,"Waxing, Skin Care, Massage Therapy, Waxing, Skin Care, Massage Therapy",36.143609,-115.250237,"https://s3-media1.fl.yelpcdn.com/bphoto/4IGkGLppQGRD8h4LZ6T7Og/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/4IGkGLppQGRD8h4LZ6T7Og/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/4IGkGLppQGRD8h4LZ6T7Og/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/4IGkGLppQGRD8h4LZ6T7Og/300s.jpg 1.20x",http://www.yelp.com/biz/sawasdee-thai-spa-las-vegas?osq=Massage,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavish Spa,5700 Spring Mountain Rd,Las Vegas,NV,89146,,Chinatown,(702) 221-5665,"We aim to serve you with the best in Las Vegas:Thai MassageDeep Tissue MassageSwedish MassageCombination MassageHot Stone MassageReflexologyWaxingFacialsLearn more about Lavish Spa, Opens a popupSpecialtiesWe aim to serve you with the best in Las Vegas:Thai MassageDeep Tissue MassageSwedish MassageCombination MassageHot Stone MassageReflexologyWaxingFacialsHistoryEstablished in 2013.Thai Massage is relatively new to modern spas, but it was actually developed by Buddhist monks in Thailand as a healing modality 2,500 years ago. Thai massage uses passive stretching and gentle pressure along the body’s energy lines to increase flexibility, relieve muscle and joint tension and balance the body’s energy systems. Thai massage is both deeply relaxing and energizing.Thai massage takes place on a futon mat on the floor, and you wear loose fitting clothing. During your Thai massage, You start by laying on your back, and the therapist uses gentle compression and stretching techniques to open up your body, beginning with you legs. Some people say Thai massage is a little like doing yoga without any effort, because the therapist will push your body into various positions without any work on your part.Thai massage is done with all your clothes on, so some people recommend it if you feel uncomfortable with nudity during a Swedish massage.Meet the Business Owner",Wanpen S.,Yes,No,4.5 star rating,38 reviews,http://www.thaimassagelasvegas.com/,Moderate,Mon 11:00 am - 11:00 pm<br>Tue 11:00 am - 11:00 pm<br>Wed 11:00 am - 11:00 pm<br>Thu 11:00 am - 11:00 pm<br>Fri 11:00 am - 11:00 pm<br>Sat 11:00 am - 11:00 pm<br>Sun 11:00 am - 11:00 pm<br>,,,,Yes,,Private Lot,,,,,,,,,,,,,,,,,,,,No,"Day Spas, Massage, Day Spas, Massage",36.126545,-115.219208,"https://s3-media2.fl.yelpcdn.com/bphoto/6mvqRejdIh7zwIBzwdYrtw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/6mvqRejdIh7zwIBzwdYrtw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/6mvqRejdIh7zwIBzwdYrtw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/6mvqRejdIh7zwIBzwdYrtw/300s.jpg 1.20x",http://www.yelp.com/biz/lavish-spa-las-vegas?osq=Massage,,,,,,
Asian Massage Castle Spa,5980 Spring Mountain Rd Ste 3,Las Vegas,NV,89146,,Chinatown,(702) 565-5980,,,Yes,No,4.5 star rating,8 reviews,,Ultra High-End,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,"Day Spas, Massage, Day Spas, Massage",36.125541,-115.223274,"https://s3-media1.fl.yelpcdn.com/bphoto/sHAvfZfg8tHl0aba6YZiWA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/sHAvfZfg8tHl0aba6YZiWA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/sHAvfZfg8tHl0aba6YZiWA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/sHAvfZfg8tHl0aba6YZiWA/300s.jpg 1.20x",http://www.yelp.com/biz/asian-massage-castle-spa-las-vegas-2?osq=Massage,,,,,,
4M Thai Massage,2340 E Tropicana Ave Ste 37,Las Vegas,NV,89119,,Eastside,(702) 623-5632,"After every 10 hours of massage, you'll be eligible to receive one free 1-hour massage. After every 5 hours of massage, you'll be eligible to receive one free 30-minute foot massage! …Learn more about 4M Thai Massage, Opens a popupSpecialtiesAfter every 10 hours of massage, you'll be eligible to receive one free 1-hour massage. After every 5 hours of massage, you'll be eligible to receive one free 30-minute foot massage!Now offering 60-minute massages for $65, and 90-minute massages for $100! We have a birthday discount, just show your ID, and get a $60 massage anytime!4M Thai Massage services as below.  Thai combination (Signature 4M Style ) Traditional Thai Massage  Deep tissue massage  Oil and Hot stones  Swedish Massage  Body scrubs and massage4 hands of massageHistoryEstablished in 2016.4M Thai Massage(4M TM) was established in April 2016.We are fully licensed in Clark county to perform our services. We are new in this location even though our massage therapists are very experienced from work in many spas in the Las Vegas area. We would like to welcome all local customers and tourists who seek an excellent spa for massage and reflexology.Meet the Manager",,Yes,No,5.0 star rating,59 reviews,http://www.4mthaimassage.com,Moderate,Mon 9:00 am - 9:00 pm<br>Tue 9:00 am - 9:00 pm<br>Wed 9:00 am - 9:00 pm<br>Thu 9:00 am - 9:00 pm<br>Fri 9:00 am - 9:00 pm<br>Sat 9:00 am - 9:00 pm<br>Sun 9:00 am - 9:00 pm<br>,,,,Yes,,Private Lot,Yes,,,,,,,,,,,,,,,,,,,No,"Reflexology, Massage Therapy, Massage, Reflexology, Massage Therapy, Massage",36.102173,-115.120307,"https://s3-media2.fl.yelpcdn.com/bphoto/FZVL9Y9tRu-KW4HcHwhOww/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/FZVL9Y9tRu-KW4HcHwhOww/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/FZVL9Y9tRu-KW4HcHwhOww/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/FZVL9Y9tRu-KW4HcHwhOww/300s.jpg 1.20x",http://www.yelp.com/biz/4m-thai-massage-las-vegas?osq=Massage,,,,,,
Massage 702 Las Vegas,2585 E Flamingo Rd Ste 7,Las Vegas,NV,89121,,Eastside,(702) 325-8297,"Deep Tissue, Sports Massage, Injury Rehabilitation, Joint Mobilization, are a few of the techniques I use to help clients get the most out of their bodies. I work with athletes of …Learn more about Massage 702 Las Vegas, Opens a popupSpecialtiesDeep Tissue, Sports Massage, Injury Rehabilitation, Joint Mobilization, are a few of the techniques I use to help clients get the most out of their bodies. I work with athletes of all levels, Professional, Olympians, Collegiate, Club, Teams and Individuals, to remove restrictions so that they can perform to the best of their abilities.I also offer my skills to the general public who cannot find deep tissue massage from a regular spa. I work with clients with disabilities trying to ease the muscle discomfort from diseases ( MS, Fibromyalgia, Arthritis, etc.) and handicaps.I am working from Bella Mia Salon in Piazza Mia Plaza by appointment only. This is a hair, nail, and massage salon. Please come into the lobby and I will take you back to the massage room.My rates are $60/hour, $85/90 minutes, and $110/2 hoursI also do outcall massage where I bring my table to your location or event.HistoryEstablished in 1999.After graduating from massage school I started working with the UNLV Men's and Women's Swimming and Diving team and continue to do so. Working with athletes showed me a totally new use of therapeutic massage not generally offered in spas for relaxation. I have used this information to help others where deep tissue, stretching, joint movement, and trigger point therapies are needed to achieve an individual's goal.Meet the Business Owner",James F.,Yes,No,5.0 star rating,44 reviews,http://massage702lasvegas.com,,Mon 9:00 am - 10:00 pm<br>Tue 9:00 am - 10:00 pm<br>Wed 9:00 am - 10:00 pm<br>Thu 9:00 am - 10:00 pm<br>Fri 9:00 am - 10:00 pm<br>Sat 9:00 am - 10:00 pm<br>Sun 9:00 am - 10:00 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,"Massage Therapy, Massage Therapy",36.114270,-115.115229,"https://s3-media3.fl.yelpcdn.com/bphoto/WQJcZCfTNvdtNsttvljRig/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/WQJcZCfTNvdtNsttvljRig/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/WQJcZCfTNvdtNsttvljRig/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/WQJcZCfTNvdtNsttvljRig/300s.jpg 1.20x",http://www.yelp.com/biz/massage-702-las-vegas-las-vegas?osq=Massage,,,,,,
The Rubb Massage,,Las Vegas,NV,89109,,The Strip,(702) 497-7822,"Couples massage is our most requested service. Get ready to share this experience with your significant other.We will provide the ultimate body massage to each of our clients in a …Learn more about The Rubb Massage, Opens a popupSpecialtiesCouples massage is our most requested service. Get ready to share this experience with your significant other.We will provide the ultimate body massage to each of our clients in a professional and timely manner. We will continue to deliver consistent and superior service, which has made us the number one company for massage therapy in Las Vegas.Direct to you at your hotel or home. No hidden or extra fees. Specializing in saving you time. No transportation or taxi fees. Have your massage in the comfort of your room and then slip into bed with no long walks from the spa or fees from cab rides.Each of our massage therapists have been hand selected based upon their performance of a full body massage. Although we do offer textbook massages, each therapist brings about their own unique style and tailors it to the needs of the individual. Together, we are committed to bringing you the best. Our therapists have an extensive background in massage therapy and superior customer service. We will provide a massage experience like no other and we are committed to bringing you the best!Therapeutic MassageHelps to relieve pain, reduce stress, and work on a specific problem. This massage gives you the flexibility of combining both Swedish and deep pressure.HistoryEstablished in 1983.Since 1983 The Rubb Massage has lead the way for Las Vegas massage therapy. The professional massage services that we offer have been an essential component in the success of our company. Throughout changing trends in the massage industry, we have remained consistent without ever compromising our service. Due to our professionalism and dedication to our services, we have created and maintained a loyal clientele.We have set the standard by which all others have followed. The Rubb has introduced Las Vegas to a variety of massage options. We were the first to cater to the Las Vegas traveler who prefers a professional massage in the privacy of their room. In a nutshell, we bring the spa to you.Meet the Business Owner",Mark B.,Yes,No,5.0 star rating,23 reviews,http://www.therubbmassage.com,Pricey,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,"Massage, Massage",36.128322,-115.170890,"https://s3-media1.fl.yelpcdn.com/bphoto/raMT3o54MAOh44INKbFnRw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/raMT3o54MAOh44INKbFnRw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/raMT3o54MAOh44INKbFnRw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/raMT3o54MAOh44INKbFnRw/300s.jpg 1.20x",http://www.yelp.com/biz/the-rubb-massage-las-vegas?osq=Massage,,,,,,
