Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Jennifer Romas’ Sexxy,3000 Paradise Rd,Las Vegas,NV,89109,,Eastside,(800) 732-7117,,,Yes,No,5.0 star rating,168 reviews,https://www.westgatedestinations.com/nevada/las-vegas/westgate-las-vegas-hotel-casino/entertainment/sexxy/,Moderate,Mon Closed<br>Tue Closed<br>Wed 10:00 pm - 11:30 pm<br>Thu 10:00 pm - 11:30 pm<br>Fri 10:00 pm - 11:30 pm<br>Sat 10:00 pm - 11:30 pm<br>Sun Closed<br>,,,,Yes,,,Yes,,Yes,,"Intimate, Romantic",Loud,"Live, Background",Yes,Full Bar,No,,,No,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",36.137098,-115.152926,"https://s3-media4.fl.yelpcdn.com/bphoto/8k3ljZ59DPYRiP79izM8sA/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/8k3ljZ59DPYRiP79izM8sA/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/8k3ljZ59DPYRiP79izM8sA/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/8k3ljZ59DPYRiP79izM8sA/300s.jpg 1.20x",http://www.yelp.com/biz/jennifer-romas-sexxy-las-vegas-2?osq=Adult+Entertainment,,,,,,
Stripper King,1800 S Industrial Rd Ste 206C,Las Vegas,NV,89102,,,(702) 524-7872,"Stripper King specializes in getting you the REAL VIP treatment you deserve! Reserving with us will get you:-FREE VIP limo or party bus pickup from your hotel-FREE Cover at the …Learn more about Stripper King, Opens a popupSpecialtiesStripper King specializes in getting you the REAL VIP treatment you deserve! Reserving with us will get you:-FREE VIP limo or party bus pickup from your hotel-FREE Cover at the venue of your choice-FREE VIP nightclub guest list for the following night!All you have to do is purchase two drinks per person while at the strip club!In addition to our VIP Strip Club packages, we offer VIP Nightclub Table Reservations as well.HistoryEstablished in 2014.Our exclusive Stripper King packages gives you access to all the Top Strip Clubs in Las Vegas!Stripper King is able to offer you the best packages available thru James' relationships with each of the strip clubs offered on StripperKing.com. Created out of the necessity for a legitimate strip club reservation resource, it is our mission to ensure each client receive the best deals available in Sin City at the most budget-friendly cost.Meet the Business Owner",James R.,Yes,No,5.0 star rating,31 reviews,http://stripperking.com/,Pricey,Mon 12:00 pm - 2:00 am<br>Tue 12:00 pm - 2:00 am<br>Wed 12:00 pm - 2:00 am<br>Thu 12:00 pm - 2:00 am<br>Fri 12:00 pm - 2:00 am<br>Sat 12:00 pm - 2:00 am<br>Sun 12:00 pm - 2:00 am<br>,,,,Yes,,,No,,Yes,,Touristy,Very Loud,"DJ, Background",Yes,No,No,"Fri, Sat, Sun",No,No,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",36.150592,-115.160887,"https://s3-media1.fl.yelpcdn.com/bphoto/vaihH9Jx6TmOAa8iI_S6ag/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/vaihH9Jx6TmOAa8iI_S6ag/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/vaihH9Jx6TmOAa8iI_S6ag/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/vaihH9Jx6TmOAa8iI_S6ag/300s.jpg 1.20x",http://www.yelp.com/biz/stripper-king-las-vegas-2?osq=Adult+Entertainment,,,,,,
Booty Ring Toss Bachelor Party Strippers,,Las Vegas,NV,89109,,The Strip,(714) 847-0280,"Las Vegas Bachelor Party Strippers with Daizha Morgann and The World Famous Anal Ring Toss Girl from The Howard Stern Show. We turn your place into a mini strip club with black …Learn more about Booty Ring Toss Bachelor Party Strippers, Opens a popupSpecialtiesLas Vegas Bachelor Party Strippers with Daizha Morgann and The World Famous Anal Ring Toss Girl from The Howard Stern Show. We turn your place into a mini strip club with black lights, strobe lights, flashing rope lights and a sound system. It looks like a mini strip club landed right there in your Las Vegas hotel room or house. Our shows last approx 2 to 3 hours and they are an all inclusive package with zero hidden fees. What to expect: 1) Double lap dances: Definition = The Bachelor is covered for all of his lap dances with 2 Real Girlfriends going down on each other in his lap.Trust me he sees everything. 2) Games: Anal Ring Toss & Playoffs Sudden Anal Death: Definition = Everyone in your group will be playing A.R.T. with 2 girls on all fours, glow in the dark sticks in their butts with you throwing glow in the dark hoops. 3) Prizes = Porn DVD's of the girls that are actually at your party, The World Famous Anal Ring Toss T-shirt and ""Lord Of The Rings"" Ass Towels. 4) Girlie Show: Definition = Hard core Strap-on Show with a Butt Plug, Ball Gage and a metal spreader bar with hand cuffs and ankle cuffs. We are the only Las Vegas bachelor Party Strippers that really play Anal Ring Toss aka The ART Show.HistoryEstablished in 2000.We are The World Famous Anal Ring Toss Bachelor Party Strippers in Las Vegas as seen on The Howard Stern Show providing the highest level of Bachelor Party Stripper entertainment for 17yrs strong.Chester's Oath: We are the only company that can and will promise you that everything I tell you over the phone will go down exactly the way I explain it. When you choose to book The Anal Ring Toss Girls for your party I will be there to shake your hand and make sure you and your boys have the time of your lives exactly the way I explained it over the phone. -Chester KingwoodMeet the Business Owner",Chester K.,Yes,No,5.0 star rating,18 reviews,http://www.stripclub2u.com/,Ultra High-End,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,Yes,,,,,Yes,,"Hipster, Upscale",Very Loud,,,Full Bar,,,,,Yes,,No,,,,,"Adult Entertainment, Adult Entertainment",,,"https://s3-media4.fl.yelpcdn.com/bphoto/7iVwEP64pl9wUbGS-kPieQ/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/7iVwEP64pl9wUbGS-kPieQ/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/7iVwEP64pl9wUbGS-kPieQ/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/7iVwEP64pl9wUbGS-kPieQ/300s.jpg 1.20x",http://www.yelp.com/biz/booty-ring-toss-bachelor-party-strippers-las-vegas-2?osq=Adult+Entertainment,,,,,,
Pleasure Pit,3667 Las Vegas Blvd Planet Hollywood Casino,Las Vegas,NV,89109,,The Strip,,,,Yes,No,4.5 star rating,16 reviews,,Pricey,,,,,Yes,,Garage,,,Yes,,Casual,Very Loud,,,Full Bar,,,,,No,,No,,,,,"Adult Entertainment, Adult Entertainment",36.109695,-115.170162,"https://s3-media2.fl.yelpcdn.com/bphoto/DbHS6xBf32eQ4QKL2At73g/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/DbHS6xBf32eQ4QKL2At73g/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/DbHS6xBf32eQ4QKL2At73g/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/DbHS6xBf32eQ4QKL2At73g/300s.jpg 1.20x",http://www.yelp.com/biz/pleasure-pit-las-vegas?osq=Adult+Entertainment,,,,,,
Party With Strippers,,Las Vegas,NV,89103,,,(702) 907-7711,"Las Vegas strippers are looking to come party in your hotel room right now! Our hottest girls are available within the hour, whether you're a bachelor party, divorcee party, couple …Learn more about Party With Strippers, Opens a popupSpecialtiesLas Vegas strippers are looking to come party in your hotel room right now! Our hottest girls are available within the hour, whether you're a bachelor party, divorcee party, couple looking to spice things up, or just a group that wants to know what Vegas is really all about!Our girls love doing fully-nude shows with full-contact grinding, whipped cream races, toy shows, girl-on-girl action, body shots, wild costumes and more. If you can dream it up, we'd love to try it!Don't go to the gentleman's club when you can have the girls feel more comfortable right in your own place.Just remember, prostitution is very illegal in Clark County and this is not a service for sex. But that doesn't mean we can't show your group the wildest party they've ever been to!All our girls are professionals and carry Sheriff's cards to every party. That's important, because it means they've gone down to the police station and passed a background check to show they don't have any felonies on their records. Don't hire sketchy independent girls! You want to have fun and be safe too. Going through a professional organization like ours is the best of both worlds.Our company has worked with everyone from big celebrities on down. Discretion is our top priority, and it's no problem if you need our girls to sign a non-disclosure agreement. Don't leave your Vegas vacation up to chance! We'll send some of the hottest females in all of Las Vegas straight to your hotel right now. See you soon!HistoryEstablished in 2013.Party With Strippers began when a few of our girls decided they could put on a much better, more personalized show outside of the seedy strip clubs.Nobody wants to sit 3 feet from a random stranger while getting a lap dance! It's degrading.So in 2013 we started doing our first private, in-room shows and set up our website to start running business our own way. Things took off immediately, since nobody wants to go to the club when they can have girls come right to their room!Our business is 100% legal and every girl who works for our organization has a Sheriff's license, so you can rest easy knowing that you're having fun while staying safe. It's just stripping, no sex, so you have nothing to worry about when it comes to legality issues. Get ready for the wildest night of your life!Meet the Manager",,Yes,No,4.5 star rating,16 reviews,http://www.partywithstrippers.com,Moderate,Mon 11:00 am - 3:00 am<br>Tue 11:00 am - 3:00 am<br>Wed 11:00 am - 3:00 am<br>Thu 11:00 am - 3:00 am<br>Fri 11:00 am - 3:00 am<br>Sat 11:00 am - 3:00 am<br>Sun 11:00 am - 3:00 am<br>,,,,No,,,Yes,,Yes,,,,,Yes,Full Bar,,,,Yes,,,,,,,,"Adult Entertainment, Adult Entertainment",36.104913,-115.185509,"https://s3-media2.fl.yelpcdn.com/bphoto/If9ZlQ4xt3B7_I2IsWhghg/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/If9ZlQ4xt3B7_I2IsWhghg/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/If9ZlQ4xt3B7_I2IsWhghg/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/If9ZlQ4xt3B7_I2IsWhghg/300s.jpg 1.20x",http://www.yelp.com/biz/party-with-strippers-las-vegas?osq=Adult+Entertainment,,,,,,
Spearmint Rhino Las Vegas,3340 S Highland Dr,Las Vegas,NV,89109,,,(702) 796-3600,"Call us directly for complimentary limo pick up and waived admission! Striving to provide the absolute best VIP experience.The Spearmint Rhino features the most beautiful women …Learn more about Spearmint Rhino Las Vegas, Opens a popupSpecialtiesCall us directly for complimentary limo pick up and waived admission! Striving to provide the absolute best VIP experience.The Spearmint Rhino features the most beautiful women in the world, outstanding bottle package specials and we are the perfect venue for bachelor parties, birthday parties and conventions.",,Yes,No,3.5 star rating,336 reviews,http://www.spearmintrhinolv.com/,Pricey,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,Yes,,"Valet, Private Lot",,,Yes,,,Very Loud,,No,Full Bar,,"Thu, Fri, Sat",,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",36.128377,-115.178283,"https://s3-media3.fl.yelpcdn.com/bphoto/ta4tH1_ZV8BR2vWBYfPdEQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/ta4tH1_ZV8BR2vWBYfPdEQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/ta4tH1_ZV8BR2vWBYfPdEQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/ta4tH1_ZV8BR2vWBYfPdEQ/300s.jpg 1.20x",http://www.yelp.com/biz/spearmint-rhino-las-vegas-las-vegas-4?osq=Adult+Entertainment,,,,,,
Vegas VIP Strippers,,Las Vegas,NV,89128,,Summerlin,(702) 236-2297,"Las Vegas StrippersBachelor PartiesPrivate StrippersHotel Strip ShowsLearn more about Vegas VIP Strippers, Opens a popupSpecialtiesLas Vegas StrippersBachelor PartiesPrivate StrippersHotel Strip Shows",,Yes,No,5.0 star rating,14 reviews,http://www.VegasVIPStrippers.com,Ultra High-End,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,No,,,,,Yes,,,Average,,No,No,No,,No,Yes,No,,No,,,,,"Adult Entertainment, Adult Entertainment",,,"https://s3-media4.fl.yelpcdn.com/bphoto/rf0N08RzLPoR8c9VEHyV2Q/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/rf0N08RzLPoR8c9VEHyV2Q/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/rf0N08RzLPoR8c9VEHyV2Q/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/rf0N08RzLPoR8c9VEHyV2Q/300s.jpg 1.20x",http://www.yelp.com/biz/vegas-vip-strippers-las-vegas-2?osq=Adult+Entertainment,,,,,,
Puppetry of the Penis,3275 Sammy Davis Jr Dr,Las Vegas,NV,89109,,,(702) 794-4000,,,Yes,No,4.5 star rating,52 reviews,http://eroticheritagemuseumlasvegas.tix.com/Schedule.aspx%3FOrgNum%3D5059%26framed%3Dtrue,Moderate,Mon Closed<br>Tue Closed<br>Wed Closed<br>Thu 7:00 pm - 10:00 pm<br>Fri 7:00 pm - 10:00 pm<br>Sat 7:00 pm - 10:00 pm<br>Sun 7:00 pm - 10:00 pm<br>,,,,Yes,,,,No,Yes,,Divey,Quiet,,No,No,No,,,Outdoor Area / Patio Only,No,,No,,,,,"Performing Arts, Adult Entertainment, Comedy Clubs, Performing Arts, Adult Entertainment, Comedy Clubs",36.129967,-115.174415,"https://s3-media3.fl.yelpcdn.com/bphoto/CMqjWD_EkZFUSr_BFQsLRg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/CMqjWD_EkZFUSr_BFQsLRg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/CMqjWD_EkZFUSr_BFQsLRg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/CMqjWD_EkZFUSr_BFQsLRg/300s.jpg 1.20x",http://www.yelp.com/biz/puppetry-of-the-penis-las-vegas-2?osq=Adult+Entertainment,,,,,,
X Country,3475 Las Vegas Blvd Harrah's,Las Vegas,NV,89109,,The Strip,,,,Yes,No,4.5 star rating,33 reviews,http://xcountrytheshow.com,Moderate,,,,,Yes,,,,No,Yes,,Divey,Loud,DJ,No,Full Bar,No,"Fri, Sat",,,No,,No,,,,,"Performing Arts, Adult Entertainment, Performing Arts, Adult Entertainment",36.119310,-115.171770,"https://s3-media3.fl.yelpcdn.com/bphoto/CciaUnyhqlEBw-sfH9Wabw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/CciaUnyhqlEBw-sfH9Wabw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/CciaUnyhqlEBw-sfH9Wabw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/CciaUnyhqlEBw-sfH9Wabw/300s.jpg 1.20x",http://www.yelp.com/biz/x-country-las-vegas?osq=Adult+Entertainment,,,,,,
Fantasy,3900 Las Vegas Blvd S,Las Vegas,NV,89109,,The Strip,(800) 557-7428,"Celebrating 14 successful years on The Strip, FANTASY was named ""Best Showgirls"" in the Las Vegas Review-Journal 2012 ""Best of Las Vegas"" poll and has shaped itself into one of Las …Learn more about Fantasy, Opens a popupSpecialtiesCelebrating 14 successful years on The Strip, FANTASY was named ""Best Showgirls"" in the Las Vegas Review-Journal 2012 ""Best of Las Vegas"" poll and has shaped itself into one of Las Vegas' leading topless shows. Dynamic lead singer Jaime Lynch adds an exciting and unforgettable element with her amazing powerhouse vocals as she takes center-stage alongside a talented cast of beautiful dancers.HistoryEstablished in 2010.Owned by MGM Resorts InternationalMeet the Business Owner",MGM Resorts International ..,Yes,No,4.0 star rating,187 reviews,http://luxor.com/entertainment/entertainment_fantasy.aspx%3Futm_campaign%3Dyelp_cta%26utm_medium%3Dgeneral%26utm_source%3Dfantasy_cta,Moderate,Mon 10:30 pm - 1:30 am<br>Tue 10:30 pm - 1:30 am<br>Wed 10:30 pm - 1:30 am<br>Thu 10:30 pm - 1:30 am<br>Fri 10:30 pm - 1:30 am<br>Sat 10:30 pm - 1:30 am<br>Sun 10:30 pm - 1:30 am<br>,,,,Yes,,,,,Yes,,Casual,Average,,,Full Bar,,,,,No,,No,,,,,"Adult Entertainment, Adult Entertainment",36.095339,-115.175836,"https://s3-media4.fl.yelpcdn.com/bphoto/rt4OkqlnnZyMA3k9xoKPfg/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/rt4OkqlnnZyMA3k9xoKPfg/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/rt4OkqlnnZyMA3k9xoKPfg/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/rt4OkqlnnZyMA3k9xoKPfg/300s.jpg 1.20x",http://www.yelp.com/biz/fantasy-las-vegas?osq=Adult+Entertainment,,,,,,
