Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Booby Trap On The River,3615 NW S River Dr,Miami,FL,33142,,,(305) 637-9200,,,Yes,No,3.5 star rating,3 reviews,http://myboobytrap.com,Moderate,Mon 12:00 pm - 6:00 am<br>Tue 12:00 pm - 6:00 am<br>Wed 12:00 pm - 6:00 am<br>Thu 12:00 pm - 6:00 am<br>Fri 12:00 pm - 6:00 am<br>Sat 12:00 pm - 6:00 am<br>Sun 12:00 pm - 6:00 am<br>,Yes,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,"Bars, Dance Clubs, Adult Entertainment, Bars, Dance Clubs, Adult Entertainment",25.802890,-80.255047,"https://s3-media1.fl.yelpcdn.com/bphoto/krNVkyQURBv_vS0yN5dwjw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/krNVkyQURBv_vS0yN5dwjw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/krNVkyQURBv_vS0yN5dwjw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/krNVkyQURBv_vS0yN5dwjw/300s.jpg 1.20x",http://www.yelp.com/biz/booby-trap-on-the-river-miami?osq=Adult+Entertainment,,,,,,
Tootsie’s Cabaret,150 NW 183rd St,Miami,FL,33169,,,(305) 651-5822,,,Yes,No,4.0 star rating,196 reviews,http://www.tootsiescabaret.com,Moderate,Mon 12:00 pm - 6:00 am<br>Tue 12:00 pm - 6:00 am<br>Wed 12:00 pm - 6:00 am<br>Thu 12:00 pm - 6:00 am<br>Fri 12:00 pm - 6:00 am<br>Sat 12:00 pm - 6:00 am<br>Sun 12:00 pm - 6:00 am<br>,,,,Yes,,Private Lot,,,Yes,,Casual,Loud,DJ,Yes,Full Bar,,"Thu, Fri, Sat",,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",25.941464,-80.203431,"https://s3-media2.fl.yelpcdn.com/bphoto/AdY-R3gbj7w7zz9HAR2_zg/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/AdY-R3gbj7w7zz9HAR2_zg/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/AdY-R3gbj7w7zz9HAR2_zg/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/AdY-R3gbj7w7zz9HAR2_zg/300s.jpg 1.20x",http://www.yelp.com/biz/tootsies-cabaret-miami?osq=Adult+Entertainment,,,,,,
Pink Pony,7971 NW 33rd St,Doral,FL,33122,,,(305) 513-3780,"Adult Entertainment, Bar & Grill.Learn more about Pink Pony, Opens a popupSpecialtiesAdult Entertainment, Bar & Grill.",,Yes,No,3.5 star rating,16 reviews,http://www.pinkponydoral.com,Under $10,Mon 11:30 am - 5:00 am<br>Tue 11:30 am - 5:00 am<br>Wed 11:30 am - 5:00 am<br>Thu 11:30 am - 5:00 am<br>Fri 11:30 am - 5:00 am<br>Sat 1:00 pm - 5:00 am<br>Sun 3:00 pm - 5:00 am<br>,No,No,Yes,Yes,,Private Lot,,No,Yes,Casual,,,,,Full Bar,,,,,No,,Yes,,,Yes,,"Sports Bars, Adult Entertainment, American (Traditional), Sports Bars, Adult Entertainment, American (Traditional)",25.804596,-80.326661,"https://s3-media1.fl.yelpcdn.com/bphoto/0-0bUwaW8Vq8clc7b8xUlg/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/0-0bUwaW8Vq8clc7b8xUlg/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/0-0bUwaW8Vq8clc7b8xUlg/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/0-0bUwaW8Vq8clc7b8xUlg/300s.jpg 1.20x",http://www.yelp.com/biz/pink-pony-doral?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaBare Miami,5325 NW 77th Ave,Miami,FL,33166,,,(305) 945-6799,"We would love to host your next Girls Night Out or Bachelorette Party! We bring fantasy to reality by performing Las Vegas styled acts. The Men of LaBare are turning up the heat, …Learn more about LaBare Miami, Opens a popupSpecialtiesWe would love to host your next Girls Night Out or Bachelorette Party! We bring fantasy to reality by performing Las Vegas styled acts. The Men of LaBare are turning up the heat, let's make it a night to remember ladies!HistoryEstablished in 1978.We have a beautiful venue located in Miami with a full service bar and live entertainment Wednesday's thru Sunday's.LaBare Miami also recommends",,Yes,No,4.5 star rating,11 reviews,http://www.labareflorida.com,Inexpensive,Mon Closed<br>Tue Closed<br>Wed 8:00 pm - 2:00 am<br>Thu 8:00 pm - 2:00 am<br>Fri 8:00 pm - 3:00 am<br>Sat 8:00 pm - 3:00 am<br>Sun 8:00 pm - 2:00 am<br>,,,,Yes,,"Valet, Private Lot",,,Yes,,,Very Loud,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment, Adult Entertainment",25.822013,-80.320871,"https://s3-media3.fl.yelpcdn.com/bphoto/AKsDt80MODUMlk6FgvKoIg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/AKsDt80MODUMlk6FgvKoIg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/AKsDt80MODUMlk6FgvKoIg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/AKsDt80MODUMlk6FgvKoIg/300s.jpg 1.20x",http://www.yelp.com/biz/labare-miami-miami?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Of Diamonds,17800 Ipco Rd,Miami,FL,33162,,,(305) 999-9500,"Music, food and adult entertainment.Learn more about King Of Diamonds, Opens a popupSpecialtiesMusic, food and adult entertainment.",,Yes,No,3.5 star rating,100 reviews,http://www.clubkod.com,Pricey,Mon 10:00 pm - 6:00 am<br>Tue Closed<br>Wed Closed<br>Thu 10:00 pm - 6:00 am<br>Fri 10:00 pm - 6:00 am<br>Sat 10:00 pm - 6:00 am<br>Sun 10:00 pm - 6:00 am<br>,Yes,,,Yes,,Private Lot,,,Yes,,,Very Loud,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Bars, Adult Entertainment, Bars",25.938688,-80.195549,"https://s3-media2.fl.yelpcdn.com/bphoto/dKplUydOIUPeS_YmB8Fkug/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/dKplUydOIUPeS_YmB8Fkug/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/dKplUydOIUPeS_YmB8Fkug/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/dKplUydOIUPeS_YmB8Fkug/300s.jpg 1.20x",http://www.yelp.com/biz/king-of-diamonds-miami-2?osq=Adult+Entertainment,,,,,,
Playmates Club,3875 Shipping Ave,Miami,FL,33146,,,(305) 446-8346,"Playmates Club is the ultimate Miami Strip Club experience featuring some of the South Florida's hottest female exotic dancers performing for your entertainment and enjoyment in our …Learn more about Playmates Club, Opens a popupSpecialtiesPlaymates Club is the ultimate Miami Strip Club experience featuring some of the South Florida's hottest female exotic dancers performing for your entertainment and enjoyment in our comfortable, posh, and relaxed environment. You will be treated to unparalleled service and served with pleasure at some of the most reasonable prices found in gentleman's clubs anywhere. We have one focus in mind: Your Enjoyment.HistoryEstablished in 2009.After a total redesign and facelift, Playmates premiered in the Spring of '09 in the venue formerly known as The Alley Cat; one of Miami's longest running strip clubs.",,Yes,No,2.0 star rating,19 reviews,http://www.PlaymatesClub.com,$11-30,Mon 3:00 pm - 5:00 am<br>Tue 3:00 pm - 5:00 am<br>Wed 3:00 pm - 5:00 am<br>Thu 3:00 pm - 5:00 am<br>Fri 3:00 pm - 5:00 am<br>Sat 4:00 pm - 5:00 am<br>Sun 8:00 pm - 5:00 am<br>,No,No,No,Yes,,Valet,,No,Yes,Casual,,Average,,,Full Bar,,,,,No,No,Yes,,,,,"Adult Entertainment, Bars, Chicken Wings, Adult Entertainment, Bars, Chicken Wings",25.733293,-80.257390,"https://s3-media2.fl.yelpcdn.com/bphoto/7txWyVICPBl0q8o_XJCLzQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/7txWyVICPBl0q8o_XJCLzQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/7txWyVICPBl0q8o_XJCLzQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/7txWyVICPBl0q8o_XJCLzQ/300s.jpg 1.20x",http://www.yelp.com/biz/playmates-club-miami-2?osq=Adult+Entertainment,,,,,,
Miami Velvet,3901 NW 77th Ave,Miami,FL,33166,,,(305) 406-1604,"Miami Velvet, simply stated is unlike any other nightclub experience. Miami Velvet is Florida's largest private adult lifestyle nightclub with over 20,000 square feet of pure …Learn more about Miami Velvet, Opens a popupSpecialtiesMiami Velvet, simply stated is unlike any other nightclub experience. Miami Velvet is Florida's largest private adult lifestyle nightclub with over 20,000 square feet of pure ""on-premise"" luxury. Of all the Swingers Clubs and Couples Swingers Clubs in Florida, Miami Velvet is the premiere playground for sexy couples and select singles. Miami Velvet is an upscale private nightclub that gives you the freedom to express yourself in your sexiest attitude and attire. Although known as a ""Swingers Club"" many of the members are not ""swingers"", they simply come to Miami Velvet to enjoy an atmosphere without the hassles or costs found at other nightclubs..HistoryEstablished in 2000.Miami Velvethas grown by leaps and bounds ever since, working to create a premiere nightclub environment.Meet the Manager",,Yes,No,2.5 star rating,19 reviews,http://www.miamivelvet.com,Pricey,Mon Closed<br>Tue Closed<br>Wed 10:00 pm - 4:00 am<br>Thu Closed<br>Fri 10:00 pm - 5:00 am<br>Sat 10:00 pm - 6:00 am<br>Sun 9:00 pm - 3:00 am<br>,,,,Yes,,"Valet, Street",,,Yes,,,Average,,,,,,,,No,,Yes,,,,,"Adult Entertainment, Dance Clubs, Adult Entertainment, Dance Clubs",25.810207,-80.318734,"https://s3-media4.fl.yelpcdn.com/bphoto/RM9BiARMGLxBOZceYOUTog/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/RM9BiARMGLxBOZceYOUTog/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/RM9BiARMGLxBOZceYOUTog/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/RM9BiARMGLxBOZceYOUTog/300s.jpg 1.20x",http://www.yelp.com/biz/miami-velvet-miami?osq=Adult+Entertainment,,,,,,
