Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
The Slipper Room,167 Orchard St,New York,NY,10002,b/t Stanton St & Rivington St,Lower East Side,(212) 253-7246,"The Slipper Room is New York City's true home of Variety.Since 1999 we have been presenting the best in Comedy, Burlesque, Vaudeville, Variety, and live music.Every night is a …Learn more about The Slipper Room, Opens a popupSpecialtiesThe Slipper Room is New York City's true home of Variety.Since 1999 we have been presenting the best in Comedy, Burlesque, Vaudeville, Variety, and live music.Every night is a different show, full of suprises. We are currently building a whole new theatre on the corner of Orchard and Stanton.In the mean time you can check out a Slipper Room show, hosted by founder and Artistic Director James Habacker in a variety of guises, every Thursday night at Casa Mezcal, just down the block at Orchard and Broome street.Doors at 9, shows all night long.The New York Times called our show ""as insightful as it is funny"" and the Wall Street Journal said that James has ""perfect comedic timing"".Each week you'll see the best in downtown burlesque and variety, at this intimate club, and in the fall we'll be back on Orchard and Stanton with an amazing new theatreHistoryEstablished in 1999.When we first opened the Slipper Room the neo-burlesque scene was just starting to gel, and we built the Slip specifically to give that group of performers a home.Our little jewel box stage allowed people to experiment, workshop new material, and develop as artists.Since that time the burlesque and variety scene has grown to be an international phenomenon, with artists who have devoted more then ten years to honing their craft, and lots of new and interesting performers popping up all the time.At a certain point, founder andArtistic Director, James Habacker realized that the scene had outgrown the space.He envisioned a room with high ceilings so that his friends could do airialist work, better sight lines, a mezzanine, much improved lighting and sound, and tons of other improvements. With this in mind, last summer we knocked down the one story building and are in the process of putting up a whole new theatre, to be open fall 2011.Its gonna be amazing!Meet the Business Owner",James H.,Yes,No,3.5 star rating,233 reviews,http://www.slipperroom.com,Moderate,Mon 7:00 pm - 2:00 am<br>Tue 7:00 pm - 2:00 am<br>Wed 7:00 pm - 2:00 am<br>Thu 7:00 pm - 2:00 am<br>Fri 8:30 pm - 4:00 am<br>Sat 8:30 pm - 4:00 am<br>Sun 7:00 pm - 2:00 am<br>,,,,Yes,,Street,,No,Yes,,Casual,Loud,,,Full Bar,,,,,No,,No,,,,,"Adult Entertainment, Performing Arts, Music Venues, Mexican, Adult Entertainment, Performing Arts, Music Venues",40.721299,-73.988744,"https://s3-media4.fl.yelpcdn.com/bphoto/BgNhrh6DAN_c6V61FFNc-w/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/BgNhrh6DAN_c6V61FFNc-w/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/BgNhrh6DAN_c6V61FFNc-w/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/BgNhrh6DAN_c6V61FFNc-w/300s.jpg 1.20x",http://www.yelp.com/biz/the-slipper-room-new-york?osq=Adult+Entertainment,,,,,,
The Artful Bachelorette,,New York,NY,10014,,West Village,(646) 470-1760,"Like the sound of drinks, drawing and your very own male model? Prepare to learn a little and laugh a lot during a two-hour private art party.Based in New York City and now Los …Learn more about The Artful Bachelorette, Opens a popupSpecialtiesLike the sound of drinks, drawing and your very own male model? Prepare to learn a little and laugh a lot during a two-hour private art party.Based in New York City and now Los Angeles, The Artful Bachelorette is a tasteful, fun and creative option for your bachelorette celebration. With a handsome male model in front of you and a glass of bubbly in hand, it's never been so easy to find your inner-artist.The Artful Bachelorette is the unique bachelorette party idea that will get your friends talking.HistoryEstablished in 2011.The Artful Bachelorette was started in 2011 in New York City. Since then we have had thousands of very happy clients in New York, LA and Texas. The concept is originally from Australia which is where the founder Fleur Childs is from. Back in Australia drawing gorgeous nude models is the thing to do for your hen, bachelorette or birthday party.Meet the Business Owner",Fleur C.,Yes,No,5.0 star rating,65 reviews,http://theartfulbachelorette.com/,Pricey,Mon 9:00 am - 12:00 am<br>Tue 9:00 am - 12:00 am<br>Wed 9:00 am - 12:00 am<br>Thu 9:00 am - 12:00 am<br>Fri 9:00 am - 12:00 am<br>Sat 9:00 am - 12:00 am<br>Sun 9:00 am - 12:00 am<br>,,,,Yes,,Street,,No,Yes,,Classy,Average,,,Full Bar,,,,,No,,No,,,,,"Adult Entertainment, Paint & Sip, Beer, Wine & Spirits, Cupcakes, Adult Entertainment, Paint & Sip",40.734429,-73.999755,"https://s3-media1.fl.yelpcdn.com/bphoto/9S9B5zb2zOOBEgGXmViW0g/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/9S9B5zb2zOOBEgGXmViW0g/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/9S9B5zb2zOOBEgGXmViW0g/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/9S9B5zb2zOOBEgGXmViW0g/300s.jpg 1.20x",http://www.yelp.com/biz/the-artful-bachelorette-new-york-2?osq=Adult+Entertainment,,,,,,
Lido Room,244 5th Ave Ste A207,New York,NY,10001,b/t 27th St & 28th St,Flatiron,(212) 726-2919,,,Yes,No,5.0 star rating,3 reviews,http://www.thelidoroom.com,Moderate,,,,,No,,Street,No,,Yes,,"Classy, Upscale",Loud,DJ,No,No,No,"Wed, Thu, Fri",No,No,No,,No,,,,,"Adult Entertainment, Adult Entertainment",40.744654,-73.987657,"https://s3-media3.fl.yelpcdn.com/bphoto/dKgCFCzGY8ZgSdSAOy9FkQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/dKgCFCzGY8ZgSdSAOy9FkQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/dKgCFCzGY8ZgSdSAOy9FkQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/dKgCFCzGY8ZgSdSAOy9FkQ/300s.jpg 1.20x",http://www.yelp.com/biz/lido-room-new-york-3?osq=Adult+Entertainment,,,,,,
Rick’s Cabaret,50 W 33rd St,New York,NY,10001,b/t Broadway & 5th Ave,"Koreatown, Midtown West",(212) 372-0850,,,Yes,No,3.5 star rating,78 reviews,http://www.ricksnewyork.com,Pricey,Mon 11:00 am - 4:00 am<br>Tue 11:00 am - 4:00 am<br>Wed 11:00 am - 4:00 am<br>Thu 11:00 am - 4:00 am<br>Fri 11:00 am - 4:00 am<br>Sat 12:00 pm - 4:00 am<br>Sun 12:00 pm - 4:00 am<br>,,,,Yes,,Street,,,Yes,,,Average,,,Full Bar,,,,,Yes,,Yes,,,,,"Adult Entertainment, Adult Entertainment",40.748582,-73.987425,"https://s3-media3.fl.yelpcdn.com/bphoto/nCvwPy6kgPpnoJFjArKMkw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/nCvwPy6kgPpnoJFjArKMkw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/nCvwPy6kgPpnoJFjArKMkw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/nCvwPy6kgPpnoJFjArKMkw/300s.jpg 1.20x",http://www.yelp.com/biz/ricks-cabaret-new-york-2?osq=Adult+Entertainment,,,,,,
RentaGent,244 Fifth Ave,New York,NY,10037,,Flatiron,(855) 436-8496,"RentaGent is service with a six pack. We provide handsome and smart guys to be at your service: to teach you how to dance, or to cook you a fantasy meal, to fix a clogged sink with …Learn more about RentaGent, Opens a popupSpecialtiesRentaGent is service with a six pack. We provide handsome and smart guys to be at your service: to teach you how to dance, or to cook you a fantasy meal, to fix a clogged sink with his shirt off, to go shopping with, or to attend a charity event together, or strip at a bachelorette party. It's like Airbnb or RentheRunway except you don't rent the house or the dress you rent the good looking owner.Sex is not included.Our gents include a handsome sheriff who's a stripper by night and a gorgeous looking white collar ex-con who could entertain ladies with exciting stories. For parties we have waiters and servants and for extravagant events we also have human furniture: men who will pose as coat hangers, tables, or lamps.HistoryEstablished in 2013.It's our turn to have fun!",,Yes,No,5.0 star rating,12 reviews,,Moderate,Mon 9:00 am - 3:00 am<br>Tue 9:00 am - 3:00 am<br>Wed 9:00 am - 3:00 am<br>Thu 9:00 am - 3:00 am<br>Fri 9:00 am - 3:00 am<br>Sat 9:00 am - 3:00 am<br>Sun 9:00 am - 3:00 am<br>,,,,Yes,,,,,Yes,,,Average,,,Full Bar,,,,,,,,,,,,"Adult Entertainment, Adult Entertainment",40.744537,-73.987626,"https://s3-media4.fl.yelpcdn.com/bphoto/jz8bq1sred05sash8X8mRg/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/jz8bq1sred05sash8X8mRg/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/jz8bq1sred05sash8X8mRg/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/jz8bq1sred05sash8X8mRg/300s.jpg 1.20x",http://www.yelp.com/biz/rentagent-new-york?osq=Adult+Entertainment,$450 for $500 Deal at RentaGent,You get a voucher redeemable for $500 at RentaGent.,$500,10%,$50,https://www.yelp.com/checkout/deal/Ymp-DrGHc_R6RRt1UnZLTg?biz_id=MS4o05UGeZCKXAd7aT8mSA&return_url=%2Fbiz%2Frentagent-new-york
Gallagher’s 2000,43-19 37th St,Long Island City,NY,11101,,Sunnyside,(718) 361-1348,,,Yes,No,3.5 star rating,36 reviews,http://www.gallaghers2000.net/,Moderate,Mon 11:30 am - 4:00 am<br>Tue 11:30 am - 4:00 am<br>Wed 11:30 am - 4:00 am<br>Thu 11:30 am - 4:00 am<br>Fri 11:30 am - 4:00 am<br>Sat 12:00 pm - 4:00 am<br>Sun 12:00 pm - 4:00 am<br>,Yes,,,Yes,,Street,,,Yes,,Casual,Average,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Lounges, Adult Entertainment, Lounges",40.745216,-73.927753,"https://s3-media2.fl.yelpcdn.com/bphoto/kSgFQ-LbiOlni_uAb5WEyw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/kSgFQ-LbiOlni_uAb5WEyw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/kSgFQ-LbiOlni_uAb5WEyw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/kSgFQ-LbiOlni_uAb5WEyw/300s.jpg 1.20x",http://www.yelp.com/biz/gallaghers-2000-long-island-city?osq=Adult+Entertainment,,,,,,
Wasabassco Burlesque,,Brooklyn,NY,,,"Bedford Stuyvesant, Crown Heights",,,,Yes,No,4.5 star rating,22 reviews,http://www.wasabassco.com,Moderate,,,,,No,,Street,,No,Yes,,,Very Loud,,,Full Bar,,,,,No,,No,,,,,"Performing Arts, Adult Entertainment, Performing Arts, Adult Entertainment",,,"https://s3-media1.fl.yelpcdn.com/bphoto/vC5C7Dpgnw9E9HNYCMRsuQ/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/vC5C7Dpgnw9E9HNYCMRsuQ/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/vC5C7Dpgnw9E9HNYCMRsuQ/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/vC5C7Dpgnw9E9HNYCMRsuQ/300s.jpg 1.20x",http://www.yelp.com/biz/wasabassco-burlesque-brooklyn?osq=Adult+Entertainment,,,,,,
Vivid Cabaret New York,61 W 37th St,New York,NY,10018,b/t Avenue Of The Americas & 5th Ave,Midtown West,(212) 391-2702,,,Yes,No,3.0 star rating,22 reviews,http://www.vividcabaretny.com,Pricey,Mon 11:00 am - 4:00 am<br>Tue 11:00 am - 4:00 am<br>Wed 11:00 am - 4:00 am<br>Thu 11:00 am - 4:00 am<br>Fri 11:00 am - 4:00 am<br>Sat 4:00 pm - 4:00 am<br>Sun 4:00 pm - 4:00 am<br>,,,,Yes,,Street,,,Yes,,"Intimate, Upscale",Loud,DJ,Yes,Full Bar,Yes,"Thu, Fri, Sat",Yes,Outdoor Area / Patio Only,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",40.751591,-73.985904,"https://s3-media3.fl.yelpcdn.com/bphoto/565nfOa_C4zKtfLcD1qlzg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/565nfOa_C4zKtfLcD1qlzg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/565nfOa_C4zKtfLcD1qlzg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/565nfOa_C4zKtfLcD1qlzg/300s.jpg 1.20x",http://www.yelp.com/biz/vivid-cabaret-new-york-new-york?osq=Adult+Entertainment,,,,,,
The Executive Club,603 W 45th St,New York,NY,10036,b/t 11th Ave & West St,"Hell's Kitchen, Midtown West",(212) 245-0002,"Featuring 10,000 square feet of opulence, The Executive Club showcases the finest entertainers around the globe, the top-rated cuisine of Robert's Steakhouse, and the premiere …Learn more about The Executive Club, Opens a popupSpecialtiesFeaturing 10,000 square feet of opulence, The Executive Club showcases the finest entertainers around the globe, the top-rated cuisine of Robert's Steakhouse, and the premiere setting for discerning clientele seeking the zenith in adult entertainment.The entertainment complex, which accommodates 400 guests, is designed with a two-story atrium which allow sweeping views from anywhere in the club. The showroom offers three high-octane performance stages and exclusive ""backstage"" bottle and Champagne service, as well as two additional sky stages suspended 20 feet above the floor.",,Yes,No,3.0 star rating,37 reviews,http://www.theexecutiveclubnyc.com,Pricey,Mon 7:00 pm - 4:00 am<br>Tue 7:00 pm - 4:00 am<br>Wed 7:00 pm - 4:00 am<br>Thu 7:00 pm - 4:00 am<br>Fri 7:00 pm - 4:00 am<br>Sat 8:00 pm - 4:00 am<br>Sun Closed<br>,,,,Yes,,"Valet, Street",,,Yes,,Upscale,Average,,,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",40.762942,-73.997165,"https://s3-media1.fl.yelpcdn.com/bphoto/9UjS2LaDisuKim1VSoVyZw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/9UjS2LaDisuKim1VSoVyZw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/9UjS2LaDisuKim1VSoVyZw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/9UjS2LaDisuKim1VSoVyZw/300s.jpg 1.20x",http://www.yelp.com/biz/the-executive-club-new-york-3?osq=Adult+Entertainment,,,,,,
Sapphire New York,333 East 60th St,New York,NY,10022,at 1st Ave,Upper East Side,(212) 421-3600,"At 10,000 square feet, Sapphire will pamper our guests with provocative dancers, full bottle service and an extensive wine and champagne list as well as complimentary concierge …Learn more about Sapphire New York, Opens a popupSpecialtiesAt 10,000 square feet, Sapphire will pamper our guests with provocative dancers, full bottle service and an extensive wine and champagne list as well as complimentary concierge service and VIP amenities. Offering various packages for birthdays, bachelor parties and corporate events.Sapphire New York - The Premier NYC Gentleman's ClubHistoryEstablished in 2009.Sapphire New York: Not everything stays in Vegas!Meet the Manager",,Yes,No,3.0 star rating,40 reviews,http://www.nysapphire.com/,Pricey,Mon 6:00 pm - 4:00 am<br>Tue 6:00 pm - 4:00 am<br>Wed 6:00 pm - 4:00 am<br>Thu 6:00 pm - 4:00 am<br>Fri 6:00 pm - 4:00 am<br>Sat 7:00 pm - 4:00 am<br>Sun 8:00 pm - 4:00 am<br>,,,,Yes,,"Valet, Street, Private Lot",,,Yes,,Upscale,Average,,Yes,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Dance Clubs, Steakhouses, Seafood, Salad, Steakhouses, Seafood, Salad, Adult Entertainment, Dance Clubs",40.760775,-73.962356,"https://s3-media4.fl.yelpcdn.com/bphoto/wMTjt9SeTaqLaLIiJiW-hQ/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/wMTjt9SeTaqLaLIiJiW-hQ/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/wMTjt9SeTaqLaLIiJiW-hQ/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/wMTjt9SeTaqLaLIiJiW-hQ/300s.jpg 1.20x",http://www.yelp.com/biz/sapphire-new-york-new-york?osq=Adult+Entertainment,,,,,,
