Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Wicked Grounds,289 8th St,San Francisco,CA,94103,b/t Tehama St & Clementina St,SoMa,(415) 503-0405,"We specialize in comfort foods -- paninis, salads, composed plates, and more. We make most of our food from scratch in-house, including our soups, hummus, famous pesto, and more. And …Learn more about Wicked Grounds, Opens a popupSpecialtiesWe specialize in comfort foods -- paninis, salads, composed plates, and more. We make most of our food from scratch in-house, including our soups, hummus, famous pesto, and more. And don't forget to try our delicious milkshakes! We also offer a wide range of BDSM/ LGBTQ books and gear. Check out the boutique and let us know if you have questions!HistoryEstablished in 2009.Wicked Grounds opened our doors on September 16th 2009, just before the Folsom Street Fair. We have a long history of involvement in the local kink/ BDSM communities as well as LGBTQ causes. You can find our pop-up boutique at a wide variety of community events and conferences. Wicked Grounds is for everyone who is open minded enough not to be offended by the erotic and kink nature of our business. We welcome anyone and everyone, so long as they are 18+!Meet the Business Owner",Rebeccalyn Mir B.,Yes,No,4.5 star rating,240 reviews,http://www.wickedgrounds.com/,Inexpensive,Mon 8:00 am - 10:00 pm<br>Tue 8:00 am - 10:00 pm<br>Wed 8:00 am - 11:00 pm<br>Thu 8:00 am - 10:00 pm<br>Fri 8:00 am - 10:00 pm<br>Sat 11:00 am - 10:00 pm<br>Sun 11:00 am - 10:00 pm<br>,,,Yes,Yes,,Street,,,Yes,,Casual,Average,,,No,,,,,No,Free,No,,,No,,"Coffee & Tea, Adult Entertainment, Coffee & Tea, Adult Entertainment",37.775354,-122.410184,"https://s3-media1.fl.yelpcdn.com/bphoto/3OYMxsjR1Q955zxvW_i9ng/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/3OYMxsjR1Q955zxvW_i9ng/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/3OYMxsjR1Q955zxvW_i9ng/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/3OYMxsjR1Q955zxvW_i9ng/300s.jpg 1.20x",http://www.yelp.com/biz/wicked-grounds-san-francisco?osq=Adult+Entertainment,,,,,,
SF Citadel,181 Eddy St,San Francisco,CA,94102,b/t Taylor St & Mason St,"Tenderloin, Union Square",(415) 626-1746,,,Yes,No,4.0 star rating,47 reviews,http://www.sfcitadel.org/,Moderate,Mon Sun - 10:00 pm<br>Tue 6:30 pm - 10:00 pm<br>Wed 6:00 am - 6:00 am<br>Thu 7:30 pm - 10:00 pm<br>Fri 8:00 pm - 1:00 am<br>Sat 8:00 pm - 1:00 am<br>Sun 8:00 pm - Mon<br>,,,,No,,Street,,No,Yes,,Intimate,Average,,,No,,,,,No,,No,,,,,"Adult Entertainment, Cultural Center, Adult Entertainment, Cultural Center",37.784242,-122.410346,"https://s3-media4.fl.yelpcdn.com/bphoto/M2Y71jGJBE22S50urTGMzQ/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/M2Y71jGJBE22S50urTGMzQ/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/M2Y71jGJBE22S50urTGMzQ/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/M2Y71jGJBE22S50urTGMzQ/300s.jpg 1.20x",http://www.yelp.com/biz/sf-citadel-san-francisco?osq=Adult+Entertainment,,,,,,
California Dreamgirls Strippers,,San Francisco,CA,94111,,Financial District,(800) 717-2269,"The Hottest Female Strippers for Bachelor Parties and Birthday Parties serving all of Northern California.Always on time and ready to party.Learn more about California Dreamgirls Strippers, Opens a popupSpecialtiesThe Hottest Female Strippers for Bachelor Parties and Birthday Parties serving all of Northern California.Always on time and ready to party.HistoryEstablished in 1998.We are the company featured every year in the 107.7 Bone Bash Bikini Contest.",,Yes,No,4.5 star rating,39 reviews,http://www.cadreamgirls.com,Moderate,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,Yes,,,,,Yes,,Classy,,,,No,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",,,"https://s3-media1.fl.yelpcdn.com/bphoto/JJEgzo3eynVLC_zEm6S3tA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/JJEgzo3eynVLC_zEm6S3tA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/JJEgzo3eynVLC_zEm6S3tA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/JJEgzo3eynVLC_zEm6S3tA/300s.jpg 1.20x",http://www.yelp.com/biz/california-dreamgirls-strippers-san-francisco?osq=Adult+Entertainment,$75 for $100 Deal at California Dreamgirls Strippers,You get a voucher redeemable for $100 at California Dreamgirls Strippers.,$100,25%,$25,https://www.yelp.com/checkout/deal/3c_J9rCac59DH_GWIQfEEQ?biz_id=7aAnyLiGLrRcubf46SGILg&return_url=%2Fbiz%2Fcalifornia-dreamgirls-strippers-san-francisco
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINK.com Tours & Workshops,1800 Mission St,San Francisco,CA,94103,b/t 15th St & 14th St,Mission,,"Meet Peter A., Business Owner. Peter grew up in Derbyshire, England, the son of a sculptor and former Jesuit priest. From a young age, Peter showed strong entrepreneurial instincts …Learn more about KINK.com Tours & Workshops, Opens a popupMeet the Business Owner",Peter A.,Yes,No,4.0 star rating,315 reviews,,Moderate,Mon 6:00 pm - 8:00 pm<br>Tue 6:00 pm - 8:00 pm<br>Wed 6:00 pm - 8:00 pm<br>Thu 6:00 pm - 8:00 pm<br>Fri 6:00 pm - 10:00 pm<br>Sat 2:00 pm - 10:00 pm<br>Sun 2:00 pm - 6:00 pm<br>,,,,Yes,,Street,,,Yes,,Touristy,Quiet,,,No,,,,,No,,No,,,,,"Adult Entertainment, Tours, Bars, Venues & Event Spaces, Adult Entertainment, Tours",37.767810,-122.420592,"https://s3-media3.fl.yelpcdn.com/bphoto/dUJZN40024_SoCPpVzmG7g/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/dUJZN40024_SoCPpVzmG7g/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/dUJZN40024_SoCPpVzmG7g/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/dUJZN40024_SoCPpVzmG7g/300s.jpg 1.20x",http://www.yelp.com/biz/kink-com-tours-and-workshops-san-francisco-5?osq=Adult+Entertainment,,,,,,
Gold Club,650 Howard St,San Francisco,CA,94105,b/t Hawthorne St & 3rd St,"Financial District, SoMa",(415) 536-0300,"Gold Club San Francisco- Showcasing World-class Topless Live Adult Entertainment and preferred destination of trade-show attendees Our live adult entertainment at Gold Club in San …Learn more about Gold Club, Opens a popupSpecialtiesGold Club San Francisco- Showcasing World-class Topless Live Adult Entertainment and preferred destination of trade-show attendees Our live adult entertainment at Gold Club in San Francisco is the best in the Bay area, voted best strip club in 2016 by SF Weekly. If you're looking to have an unforgettable night, then check out below our list of topless adult entertainers! View their personal profiles, photos, and availability. Make a VIP table reservation with your favorite entertainer tonight. Our ladies are here to show you and your friends a great time, let us help you have a night to remember!Engage with our live social feed by using the hashtag #GoldClubSF and follow us on Facebook, Snapchat & Instagram. Soma located high end Gold Club Worlds First Virtual Reality Strip Club Experience.Featuring the most beautiful entertainers in San Francisco which is why SF Weekly Voted yet again to feature the gold club as the 2016 Best Strip Club and Best Business Lunch again for 2016Meet the Manager",,Yes,No,3.5 star rating,382 reviews,http://www.goldclubsf.com,Inexpensive,Mon 11:30 am - 2:00 am<br>Tue 11:30 am - 2:00 am<br>Wed 11:30 am - 2:00 am<br>Thu 11:30 am - 2:00 am<br>Fri 11:30 am - 4:00 am<br>Sat 7:00 pm - 4:00 am<br>Sun 7:00 pm - 2:00 am<br>,,,,Yes,,"Valet, Street",,,Yes,,,Loud,,No,Full Bar,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",37.785939,-122.399688,"https://s3-media3.fl.yelpcdn.com/bphoto/7NJfUGCpdxO0mrwQzlnpJw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/7NJfUGCpdxO0mrwQzlnpJw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/7NJfUGCpdxO0mrwQzlnpJw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/7NJfUGCpdxO0mrwQzlnpJw/300s.jpg 1.20x",http://www.yelp.com/biz/gold-club-san-francisco?osq=Adult+Entertainment,,,,,,
The Condor Club,560 Broadway St,San Francisco,CA,94133,b/t Romolo Pl & Columbus Ave,North Beach/Telegraph Hill,(415) 781-8222,"Condor Club - Since 1964, The original historic topless gentlemans' club located in World Famous North Beach San FranciscoCondor Club in San Franciscois your bachelor/bachlorette …Learn more about The Condor Club, Opens a popupSpecialtiesCondor Club - Since 1964, The original historic topless gentlemans' club located in World Famous North Beach San FranciscoCondor Club in San Franciscois your bachelor/bachlorette party headquarters. The condor cuties will make sure your evening is one to remember, with exciting adult live adult entertainment, bottle service and private VIP rooms available nightly.Come see why the Condor Club is a favorite among locals and visitors alike.Either secure tickets for our special events or make a reservation HERE Live music, bachelor party, sports bar, happy hour, UFC, historic, caberet, north beach, topless,HistoryEstablished in 1964.The Condor became the birthplace of the world's first topless & bottomless entertainment. The club starred Carol Doda who was the first topless entertainer where she became famous. In 1972, bottomless dancing became illegal in California, but Carol Doda continued dancing there topless until 1986.Meet the Manager",,Yes,No,4.0 star rating,136 reviews,http://www.condorsf.com,$11-30,Mon 4:00 pm - 2:00 am<br>Tue 4:00 pm - 2:00 am<br>Wed 4:00 pm - 2:00 am<br>Thu 4:00 pm - 2:00 am<br>Fri 3:00 pm - 2:00 am<br>Sat 3:00 pm - 2:00 am<br>Sun 3:00 pm - 2:00 am<br>,Yes,No,No,Yes,Late Night,"Street, Private Lot",,No,Yes,Casual,Casual,Average,DJ,Yes,Full Bar,,"Thu, Fri, Sat",,,No,Free,Yes,,,No,,"Adult Entertainment, Bars, American (Traditional), Adult Entertainment, Dance Clubs, Adult Entertainment, Adult Entertainment, Adult Entertainment, Adult Entertainment, Bars, American (Traditional)",37.798098,-122.406597,"https://s3-media2.fl.yelpcdn.com/bphoto/TOxAwavvorUQW4L011Pe4Q/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/TOxAwavvorUQW4L011Pe4Q/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/TOxAwavvorUQW4L011Pe4Q/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/TOxAwavvorUQW4L011Pe4Q/300s.jpg 1.20x",http://www.yelp.com/biz/the-condor-club-san-francisco?osq=Adult+Entertainment,,,,,,
Your Party Girls,,San Francisco,CA,94102,,"Civic Center, Hayes Valley",(415) 735-4974,,Abby YP G.,Yes,No,5.0 star rating,3 reviews,http://www.yourpartygirls.com,Moderate,Mon 10:00 am - 12:00 am<br>Tue 10:00 am - 12:00 am<br>Wed 10:00 am - 12:00 am<br>Thu 10:00 am - 12:00 am<br>Fri 10:00 am - 2:00 am<br>Sat 10:00 am - 2:00 am<br>Sun 12:00 pm - 12:30 am<br>,,,,No,,,,,Yes,,,Very Loud,,,No,,,,,No,,No,,,,,"Adult Entertainment, Adult Entertainment, Tours, Adult Entertainment, Web Design, Marketing, Advertising, Adult Entertainment",,,"https://s3-media3.fl.yelpcdn.com/bphoto/7f9FLmbvReRAooIJmrcS7g/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/7f9FLmbvReRAooIJmrcS7g/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/7f9FLmbvReRAooIJmrcS7g/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/7f9FLmbvReRAooIJmrcS7g/300s.jpg 1.20x",http://www.yelp.com/biz/your-party-girls-san-francisco?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eros,2051 Market St,San Francisco,CA,94114,b/t Reservoir St & 14th St,Castro,(415) 255-4921,"EROS-the Center for Safe Sex is a gay male community center focused on the health and well being of men who have sex with men.EROS is based on a community center model with all …Learn more about Eros, Opens a popupSpecialtiesEROS-the Center for Safe Sex is a gay male community center focused on the health and well being of men who have sex with men.EROS is based on a community center model with all gender events in our lounge, gallery and classroom, play spaces for men, non sexual massage, steam room, sauna showers.EROS is open early every day with indulge day spa, offering a relaxed chill time to complement the hot action in the evening.EROS is also home to T-wood Pictures, another unique San Francisco project.EROS has been voted Best Sex Club in the Bay Area for the last 7 years by the SF Bay Guardian and was just granted the first Public Bathhouse permit for a gay establishment since the 1980's.We still aren't allowed private rooms but it acknowledges the quality of our steamroom, sauna and other amenities. 2014 has been a big year for renovations, including adding a fitness room, remodeling two bathrooms, the lounge and all our play areas.Check out why EROS is the best.HistoryEstablished in 1992.Based on community needs and desires, EROS developed as a visible and public manifestation of gay men creating spaces for health and wellness, while exploring safe sex practices and building community.",,Yes,No,3.0 star rating,17 reviews,http://www.erossf.com,Inexpensive,Mon 12:00 pm - 12:00 am<br>Tue 12:00 pm - 12:00 am<br>Wed 12:00 pm - 12:00 am<br>Thu 12:00 pm - 12:00 am<br>Fri 12:00 pm - 3:00 am<br>Sat 12:00 pm - 3:00 am<br>Sun 12:00 pm - 12:00 am<br>,,,,Yes,,Street,,,Yes,,Intimate,Average,,,No,,,,,Yes,,Yes,,,,No,"Adult Entertainment, Massage, Adult Entertainment, Massage",37.768121,-122.427619,"https://s3-media3.fl.yelpcdn.com/bphoto/eU6fp2Iv8STZ2S7UDtOxjA/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/eU6fp2Iv8STZ2S7UDtOxjA/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/eU6fp2Iv8STZ2S7UDtOxjA/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/eU6fp2Iv8STZ2S7UDtOxjA/300s.jpg 1.20x",http://www.yelp.com/biz/eros-san-francisco?osq=Adult+Entertainment,,,,,,
