Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Synn Gentlemen’s Club,15619 Valley Blvd,City of Industry,CA,91744,,,(626) 968-4475,"We provide top notch adult entertainment.We feature the hottest dancers so cal has to offer.Next time you are in the area come enjoy our show.Learn more about Synn Gentlemen’s Club, Opens a popupSpecialtiesWe provide top notch adult entertainment.We feature the hottest dancers so cal has to offer.Next time you are in the area come enjoy our show.HistoryEstablished in 1999.Long running Nightclub. One of the best in the City of Industry.",,Yes,No,3.5 star rating,128 reviews,http://www.synn.xxx,Moderate,Mon 11:00 am - 2:00 am<br>Tue 11:00 am - 2:00 am<br>Wed 11:00 am - 2:00 am<br>Thu 11:00 am - 2:00 am<br>Fri 11:00 am - 2:00 am<br>Sat 11:00 am - 2:00 am<br>Sun 11:00 am - 2:00 am<br>,,,,Yes,,Private Lot,,,Yes,,Casual,Average,,,No,,"Thu, Fri, Sat",,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",34.019847,-117.957513,"https://s3-media2.fl.yelpcdn.com/bphoto/i4BhSnOBoSpFu5pZYFOuYA/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/i4BhSnOBoSpFu5pZYFOuYA/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/i4BhSnOBoSpFu5pZYFOuYA/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/i4BhSnOBoSpFu5pZYFOuYA/300s.jpg 1.20x",http://www.yelp.com/biz/synn-gentlemens-club-city-of-industry?osq=Adult+Entertainment,,,,,,
"TEASE, if you please!",740 S Broadway Ave The Globe Theater,Los Angeles,CA,90014,,Downtown,(805) 738-3273,"""TEASE, if you please!"" is an authentic burlesque show that is one of kind! We strive to bring you the best of burlesque from not only Los Angeles, but even international …Learn more about TEASE, if you please!, Opens a popupSpecialties""TEASE, if you please!"" is an authentic burlesque show that is one of kind! We strive to bring you the best of burlesque from not only Los Angeles, but even international entertainers! No show is the same! See different acts, and different faces every time you vist! Whether you are coming for date night, girls night, bachelorette party, or just a nice night on the town...Our show is exactly what you are looking for in live entertainment! Each performer is hand selected for their original acts, and show business reputation. Each performer is beautiful, talented, and will have you laughing and always wanting more! Join us at the historic Globe Theater for the ultimate burlesque theater experience !HistoryEstablished in 2013.We are an authentic burlesque show with the best burlesque performers in the business! Our show is held in Downtown Los Angeles at the historic Globe Theater! Bask in the candle light with that special someone, or friends for any special occasion. Dinner packages are available, as well as a full bar, and even bottle service for our premium box seating. If dinner theater shows are what you are seeking....Look no further! We are one of a kind! Early reservations are strongly encouraged.Meet the Business Owner",Donna H.,Yes,No,5.0 star rating,53 reviews,http://teaseifyouplease.com/,Moderate,Mon Closed<br>Tue Closed<br>Wed Closed<br>Thu Closed<br>Fri 7:00 pm - 2:00 am<br>Sat Closed<br>Sun Closed<br>,,,,Yes,,,,No,Yes,,,Loud,,,,,,,,,,,,,,,"Performing Arts, Adult Entertainment, Performing Arts, Adult Entertainment",34.044083,-118.254145,"https://s3-media1.fl.yelpcdn.com/bphoto/Ar1D1dPe3OEp6BhCsVoBnQ/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/Ar1D1dPe3OEp6BhCsVoBnQ/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/Ar1D1dPe3OEp6BhCsVoBnQ/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/Ar1D1dPe3OEp6BhCsVoBnQ/300s.jpg 1.20x",http://www.yelp.com/biz/tease-if-you-please-los-angeles-2?osq=Adult+Entertainment,,,,,,
Star Garden,6630 Lankershim Blvd,North Hollywood,CA,91606,,North Hollywood,(818) 764-9766,"NOW accepting credit cards! Visa, Amex, MC and Discover!If you plan to review our business, please also review other businesses you have visited as this gives your reviews …Learn more about Star Garden, Opens a popupSpecialtiesNOW accepting credit cards! Visa, Amex, MC and Discover!If you plan to review our business, please also review other businesses you have visited as this gives your reviews legitimacy and will not be removed by Yelp's automatic filtering system. Thank you.twitter: @stargardenclub.comfacebook.com/stargardenclubThe many reasons to come to Star Garden:*57 Beer Varieties 24 on Tap and Exotic Cocktails!*$1 Pool Table!*Tuesday: 80's music Night*Wednesday: 90s Night*Happy Hour Mon-Sat 2p-7p $3 draft beer*Sunday $5 for TWO draft beers 2p-7p!Star Garden is North Hollywood's only Rock n Roll bar with boobs. 57 beer varieties and 24 on tap. Domestic, Imports and IPAs.We're not your average strip club. We are a bar with a local feel, relaxed vibe and it just so happens we have topless women on two stages. We pump rock, punk, alt, 80's and pop music.Our theme nights are Tuesday-80s music and Wednesday-90s music. Women and couples are welcomeMeet the Manager",,Yes,No,4.0 star rating,71 reviews,http://www.stargardenclub.com,Inexpensive,Mon 2:00 pm - 2:00 am<br>Tue 2:00 pm - 2:00 am<br>Wed 2:00 pm - 2:00 am<br>Thu 2:00 pm - 2:00 am<br>Fri 2:00 pm - 2:00 am<br>Sat 2:00 pm - 2:00 am<br>Sun 2:00 pm - 2:00 am<br>,No,,,Yes,,"Street, Private Lot",,,Yes,,Casual,Average,,Yes,Beer & Wine Only,,,,,No,,Yes,,,,,"Adult Entertainment, Bars, Adult, Lingerie, Adult Entertainment, Adult Entertainment, Bars",34.191985,-118.387318,"https://s3-media1.fl.yelpcdn.com/bphoto/EymzPAML1waXSdHBRtLzWQ/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/EymzPAML1waXSdHBRtLzWQ/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/EymzPAML1waXSdHBRtLzWQ/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/EymzPAML1waXSdHBRtLzWQ/300s.jpg 1.20x",http://www.yelp.com/biz/star-garden-north-hollywood?osq=Adult+Entertainment,,,,,,
Chocolate City Strippers,,Long Beach,CA,90803,,,(310) 984-6903,"Chocolate City Strippers specializes in upscale exotic entertainment, we have the largest selection of male exotic dancers and female strippers in Southern California. Since 2007 we …Learn more about Chocolate City Strippers, Opens a popupSpecialtiesChocolate City Strippers specializes in upscale exotic entertainment, we have the largest selection of male exotic dancers and female strippers in Southern California. Since 2007 we have been rated the best private party strippers in Los Angeles, Orange County, San Bernardino, and Riverside. From any special occasion, event we deliver time and time again. Birthdays to bachelorette parties, we are the industry leader.HistoryEstablished in 2007.Chocolate City Strippers opens its doors in late 2007, since then we have quickly risen the ranks in Southern California as the #1 male stripper and female exotic dance agency. With the largest selection of professional, sexy, and charismatic entertainers its easy to see how we were able to achieve this feat. As our company and reputation grows, its our mission to continue to provideexcellent customer service and top notch exotic entertainment to all of Southern California.Meet the Manager",,Yes,No,5.0 star rating,33 reviews,http://www.chocolatecitystrippers.com,Inexpensive,Mon 7:00 am - 4:00 am<br>Tue 7:00 am - 4:00 am<br>Wed 7:00 am - 4:00 am<br>Thu 7:00 am - 4:00 am<br>Fri 7:00 am - 4:00 am<br>Sat 7:00 am - 4:00 am<br>Sun 7:00 am - 4:00 am<br>,,,,Yes,,,,,Yes,,,Very Loud,,,No,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",33.763371,-118.122932,"https://s3-media3.fl.yelpcdn.com/bphoto/MLCTm8N1xUPp0Rl0DYYW0g/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/MLCTm8N1xUPp0Rl0DYYW0g/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/MLCTm8N1xUPp0Rl0DYYW0g/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/MLCTm8N1xUPp0Rl0DYYW0g/300s.jpg 1.20x",http://www.yelp.com/biz/chocolate-city-strippers-long-beach?osq=Adult+Entertainment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deja Vu Showgirls,16025 Gale Ave Ste A11,Industry,CA,91745,,,(626) 336-2378,"Action being the key word in this extremely active community, the Déjà Vu Showgirls over on Gale Ave dishes out it own brand of melees far into the night. With a relaxing customer …Learn more about Deja Vu Showgirls, Opens a popupSpecialtiesAction being the key word in this extremely active community, the Déjà Vu Showgirls over on Gale Ave dishes out it own brand of melees far into the night. With a relaxing customer capacity of 150+ the Industry Vu' accommodates all sizes of birthday and bachelor party bonanzas and steamy stage action. And with an entertainer roster that tops out at just fewer than 55 stunning stage stutters, you will realize how this pulsating nightspot got its unrelenting reputation. It affords nearly 15 VIP's and a bevy of banquettes surrounding an oval main stage with plenty of room to stretch out and enjoy the show! Power hours, girl on girl shows, and panty auctions are just a few of the erotic delights we've got for you in our City of Industry club.",,Yes,No,3.0 star rating,57 reviews,http://dejavu.com/,Moderate,Mon 12:00 pm - 2:00 am<br>Tue 12:00 pm - 2:00 am<br>Wed 12:00 pm - 2:00 am<br>Thu 12:00 pm - 2:00 am<br>Fri 12:00 pm - 2:00 am<br>Sat 12:00 pm - 2:00 am<br>Sun 12:00 pm - 2:00 am<br>,,,,Yes,,Private Lot,,,Yes,,,Loud,DJ,Yes,No,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",34.009837,-117.957380,"https://s3-media2.fl.yelpcdn.com/bphoto/pcm4O15eh0vnY43300O-rw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/pcm4O15eh0vnY43300O-rw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/pcm4O15eh0vnY43300O-rw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/pcm4O15eh0vnY43300O-rw/300s.jpg 1.20x",http://www.yelp.com/biz/deja-vu-showgirls-industry?osq=Adult+Entertainment,,,,,,
Knockouts Gentlemen’s Club,1580 Clark St,Arcadia,CA,91006,,,(626) 303-3003,"Knockouts Gentlemen's Club is changing the game. We are not just another LA strip club.We are not just another Los Angeles Gentlemen's Club that fails to deliver.What we are is …Learn more about Knockouts Gentlemen’s Club, Opens a popupSpecialtiesKnockouts Gentlemen's Club is changing the game. We are not just another LA strip club.We are not just another Los Angeles Gentlemen's Club that fails to deliver.What we are is the newest, high energy party to hit the Los Angeles strip club scene indecades. What we got, is what you want. The hottest topless exotic dancers in LosAngeles, a full bar, late night menu, and the ultimate in lap dancing entertainment. Top thatoff with some of the largest big screen TVs in all of the LA area, and you got a gamechanger to the Los Angeles Strip Club scene.",,Yes,No,3.0 star rating,56 reviews,http://www.knockoutsgc.com,Moderate,Mon 11:00 am - 2:00 am<br>Tue 11:00 am - 2:00 am<br>Wed 11:00 am - 2:00 am<br>Thu 11:00 am - 2:00 am<br>Fri 11:00 am - 2:00 am<br>Sat 11:00 am - 2:00 am<br>Sun 11:00 am - 2:00 am<br>,,,,Yes,,"Street, Private Lot",,,Yes,,,Loud,DJ,Yes,Full Bar,,"Thu, Fri, Sat",,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",34.101642,-118.006852,"https://s3-media3.fl.yelpcdn.com/bphoto/BnihhD2J0fely4Rxkjzz6Q/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/BnihhD2J0fely4Rxkjzz6Q/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/BnihhD2J0fely4Rxkjzz6Q/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/BnihhD2J0fely4Rxkjzz6Q/300s.jpg 1.20x",http://www.yelp.com/biz/knockouts-gentlemens-club-arcadia?osq=Adult+Entertainment,,,,,,
California Girls,1109 N Harbor Blvd,Santa Ana,CA,92703,,,(714) 554-0491,,,Yes,No,3.5 star rating,58 reviews,https://caligirls714.com/santa-ana,Moderate,Mon 11:00 am - 2:00 am<br>Tue 11:00 am - 2:00 am<br>Wed 11:00 am - 2:00 am<br>Thu 11:00 am - 2:00 am<br>Fri 11:00 am - 2:00 am<br>Sat 11:00 am - 2:00 am<br>Sun 11:00 am - 2:00 am<br>,,,,Yes,,Private Lot,,,Yes,,Casual,Average,,Yes,No,,,,,No,,Yes,,,,,"Adult Entertainment, Adult Entertainment",33.754690,-117.919832,"https://s3-media1.fl.yelpcdn.com/bphoto/vsupYdXsPOpftqArjrwXjA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/vsupYdXsPOpftqArjrwXjA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/vsupYdXsPOpftqArjrwXjA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/vsupYdXsPOpftqArjrwXjA/300s.jpg 1.20x",http://www.yelp.com/biz/california-girls-santa-ana?osq=Adult+Entertainment,,,,,,
Venetian Gentleman’s Club,1421 N State College Blvd,Anaheim,CA,92806,,,(714) 808-8500,"Fushion SushiLearn more about Venetian Gentleman’s Club, Opens a popupSpecialtiesFushion SushiHistoryEstablished in 2011.Brand New Gentleman's Club The Venetian located in Anaheim.Sushi Bar is Upstairs. You will love the experience you will feel like you are in Vegas.Meet the Business Owner",Sushi at the Venetian V.,Yes,No,4.0 star rating,119 reviews,http://venetiangc.com,$11-30,Mon 2:00 pm - 2:00 am<br>Tue 2:00 pm - 2:00 am<br>Wed 2:00 pm - 2:00 am<br>Thu 2:00 pm - 2:00 am<br>Fri 2:00 pm - 2:00 am<br>Sat 2:00 pm - 2:00 am<br>Sun 2:00 pm - 2:00 am<br>,Yes,No,Yes,Yes,,Private Lot,,No,Yes,Casual,,Loud,,,Full Bar,,,,,No,No,Yes,,,No,,"Sushi Bars, Adult Entertainment, Sushi Bars, Adult Entertainment, Sushi Bars, Adult Entertainment",33.855073,-117.890398,"https://s3-media1.fl.yelpcdn.com/bphoto/hGVhQDtjBGLiW6UU_9P5BA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/hGVhQDtjBGLiW6UU_9P5BA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/hGVhQDtjBGLiW6UU_9P5BA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/hGVhQDtjBGLiW6UU_9P5BA/300s.jpg 1.20x",http://www.yelp.com/biz/venetian-gentlemans-club-anaheim-2?osq=Adult+Entertainment,,,,,,
Sanctuary Studios,10914 S La Cienega Blvd,Lennox,CA,90304,,,(310) 910-0525,"Sanctuary Studios is an adult-themed bondage, discipline, sadomasochism lifestyle dungeon and event club located in Lennox. Catering to dommes, submissives, switches, cross dressing, …Learn more about Sanctuary Studios, Opens a popupSpecialtiesSanctuary Studios is an adult-themed bondage, discipline, sadomasochism lifestyle dungeon and event club located in Lennox. Catering to dommes, submissives, switches, cross dressing, bondage, master/slave, fetish, fantasy theme rooms and more. Our adult entertainment club presents one of the largest dungeon in the US.HistoryEstablished in 1989.Sanctuary Studios was founded by Mistress Cyan in 1989 and up until May 2011, was located in Reseda, California. Afteralmost 12 years in business, Sanctuary was growing out of it's 1400 sq ft facility and was looking for a larger facility when the former Passive Arts building became available. The current location in Lennox, California near LAX became the new home of Sanctuary and became known as Sanctuary Studios LAX. The 7000+ sq ft Sanctuary Studios is the largest dungeon facility in Los Angeles an one of the largest and most well known dungeon spaces in America.Named as ""Best Dungeon in Los Angeles"" by TimeOut Magazine, Sanctuary Studios features a large staff of Professional Dominas, Switchesd and submissves 7 days a week. Sanctuary Studios also hosts classes and workshops, as well as special events almost every night of the week, so there's always something for everyone at one time or another.The facility is available for photo/video rentals and private session rentals.Meet the Business Owner",Mistress Cyan S.,Yes,No,4.5 star rating,12 reviews,http://www.sanctuarylax.com,Moderate,Mon 11:00 am - 9:00 pm<br>Tue 11:00 am - 9:00 pm<br>Wed 11:00 am - 9:00 pm<br>Thu 11:00 am - 9:00 pm<br>Fri 11:00 am - 9:00 pm<br>Sat 11:00 am - 9:00 pm<br>Sun 11:00 am - 9:00 pm<br>,,,,Yes,,Private Lot,,,Yes,,,Average,,,No,,,,,No,,No,,,,,"Adult Entertainment, Adult Entertainment",33.936578,-118.369507,"https://s3-media2.fl.yelpcdn.com/bphoto/qDcR4s47iM5fk00zsMMdRQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/qDcR4s47iM5fk00zsMMdRQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/qDcR4s47iM5fk00zsMMdRQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/qDcR4s47iM5fk00zsMMdRQ/300s.jpg 1.20x",http://www.yelp.com/biz/sanctuary-studios-lax-lennox?osq=Adult+Entertainment,,,,,,
