Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
24/7 Salon & Day Spa Studio,4965 W Tropicana Ave Ste 105,Las Vegas,NV,89103,,,(702) 545-0101,"Nail , Massage , Hair , Facial , Waxing , Eyelashes , Foot Reflexology ,Learn more about 24/7 Salon & Day Spa Studio, Opens a popupSpecialtiesNail , Massage , Hair , Facial , Waxing , Eyelashes , Foot Reflexology ,HistoryEstablished in 2012.( Location 1 ) 24/7 Salon & Day Spa Studio((Opened))4965W .Tropicana Ave #10504-12-2012( Location 2 )24/7 Salon & Day Spa Studio ((Opened))9175 S .Las Vegas Blvd #100E07-04-201624/7 Salon & Day Spa Studio also recommends",,Yes,No,3.5 star rating,106 reviews,,Moderate,Mon 9:00 am - 2:00 am<br>Tue 9:00 am - 2:00 am<br>Wed 9:00 am - 2:00 am<br>Thu 9:00 am - 2:00 am<br>Fri 9:00 am - 2:00 am<br>Sat 9:00 am - 2:00 am<br>Sun 9:00 am - 2:00 am<br>,,,,Yes,,Private Lot,,Yes,,,,,,,,,,,,,,,,,,No,"Nail Salons, Massage, Hair Stylists, Hair Salons, Massage, Nail Salons, Nail Salons, Massage, Hair Stylists",36.099349,-115.209022,"https://s3-media1.fl.yelpcdn.com/bphoto/sTDxoPZLfQ7Gs4NwoHaSlA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/sTDxoPZLfQ7Gs4NwoHaSlA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/sTDxoPZLfQ7Gs4NwoHaSlA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/sTDxoPZLfQ7Gs4NwoHaSlA/300s.jpg 1.20x",http://www.yelp.com/biz/24-7-salon-and-day-spa-studio-las-vegas?osq=Massage,,,,,,
33 Massage Day Spa Service Direct To You,,Las Vegas,NV,89104,,The Strip,(775) 591-8868,,,No,No,,,http://www.333spa.com,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,"Massage, Massage",36.14373,-115.157442,"https://s3-media2.fl.yelpcdn.com/bphoto/g4ekpXfJM_6AMH6GIo0iXA/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/g4ekpXfJM_6AMH6GIo0iXA/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/g4ekpXfJM_6AMH6GIo0iXA/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/g4ekpXfJM_6AMH6GIo0iXA/300s.jpg 1.20x",http://www.yelp.com/biz/33-massage-day-spa-service-direct-to-you-las-vegas?osq=Massage,,,,,,
4M Thai Massage,2340 E Tropicana Ave Ste 37,Las Vegas,NV,89119,,Eastside,(702) 623-5632,"After every 10 hours of massage, you'll be eligible to receive one free 1-hour massage. After every 5 hours of massage, you'll be eligible to receive one free 30-minute foot massage! …Learn more about 4M Thai Massage, Opens a popupSpecialtiesAfter every 10 hours of massage, you'll be eligible to receive one free 1-hour massage. After every 5 hours of massage, you'll be eligible to receive one free 30-minute foot massage!Now offering 60-minute massages for $65, and 90-minute massages for $100! We have a birthday discount, just show your ID, and get a $60 massage anytime!4M Thai Massage services as below.  Thai combination (Signature 4M Style ) Traditional Thai Massage  Deep tissue massage  Oil and Hot stones  Swedish Massage  Body scrubs and massage4 hands of massageHistoryEstablished in 2016.4M Thai Massage(4M TM) was established in April 2016.We are fully licensed in Clark county to perform our services. We are new in this location even though our massage therapists are very experienced from work in many spas in the Las Vegas area. We would like to welcome all local customers and tourists who seek an excellent spa for massage and reflexology.Meet the Manager",,Yes,No,5.0 star rating,59 reviews,http://www.4mthaimassage.com,Moderate,Mon 9:00 am - 9:00 pm<br>Tue 9:00 am - 9:00 pm<br>Wed 9:00 am - 9:00 pm<br>Thu 9:00 am - 9:00 pm<br>Fri 9:00 am - 9:00 pm<br>Sat 9:00 am - 9:00 pm<br>Sun 9:00 am - 9:00 pm<br>,,,,Yes,,Private Lot,Yes,,,,,,,,,,,,,,,,,,,No,"Reflexology, Massage Therapy, Massage, Reflexology, Massage Therapy, Massage",36.102173,-115.120307,"https://s3-media2.fl.yelpcdn.com/bphoto/FZVL9Y9tRu-KW4HcHwhOww/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/FZVL9Y9tRu-KW4HcHwhOww/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/FZVL9Y9tRu-KW4HcHwhOww/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/FZVL9Y9tRu-KW4HcHwhOww/300s.jpg 1.20x",http://www.yelp.com/biz/4m-thai-massage-las-vegas?osq=Massage,,,,,,
A Magic Touch Mobile Massage,5398 W Braewood Ave,Las Vegas,NV,89120,,Southeast,(702) 981-0815,,,Yes,No,4.0 star rating,5 reviews,http://www.mobile-massage-lasvegas.com,,Mon 9:00 am - 9:00 pm<br>Tue 9:00 am - 9:00 pm<br>Wed 9:00 am - 9:00 pm<br>Thu 9:00 am - 9:00 pm<br>Fri 9:00 am - 9:00 pm<br>Sat 9:00 am - 9:00 pm<br>Sun 9:00 am - 9:00 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,"Massage, Massage",36.091362,-115.09526,"https://s3-media3.fl.yelpcdn.com/bphoto/ne4wSxsOefeMmtmk7WHJYA/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/ne4wSxsOefeMmtmk7WHJYA/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/ne4wSxsOefeMmtmk7WHJYA/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/ne4wSxsOefeMmtmk7WHJYA/300s.jpg 1.20x",http://www.yelp.com/biz/a-magic-touch-mobile-massage-las-vegas?osq=Massage,,,,,,
A Spa,9555 S Eastern Ave Ste 145,Las Vegas,NV,89123,,Southeast,(702) 534-6618,,,Yes,No,3.5 star rating,140 reviews,,Inexpensive,Mon 10:00 am - 12:00 am<br>Tue 10:00 am - 12:00 am<br>Wed 10:00 am - 12:00 am<br>Thu 10:00 am - 12:00 am<br>Fri 10:00 am - 12:00 am<br>Sat 10:00 am - 12:00 am<br>Sun 10:00 am - 12:00 am<br>,,,,Yes,,Private Lot,,,,,,,,,,,,,,,,,,,,No,"Massage, Reflexology, Massage, Reflexology",36.016056,-115.119515,"https://s3-media2.fl.yelpcdn.com/bphoto/9auqUVmKSrX_DbJS55MB4w/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/9auqUVmKSrX_DbJS55MB4w/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/9auqUVmKSrX_DbJS55MB4w/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/9auqUVmKSrX_DbJS55MB4w/300s.jpg 1.20x",http://www.yelp.com/biz/a-spa-las-vegas?osq=Massage,,,,,,
A Touch of Las Vegas Day Spa,4305 Dean Martin Dr Ste 160,Las Vegas,NV,89103,,,(702) 871-0899,"We specialize in Brazilian waxing, Swedish, Deep Tissue, Hot Stone, Sports Massage, Couples massages, prenatals,Body wraps and exfoliating scrubs, Facials for any skin type, Ear …Learn more about A Touch of Las Vegas Day Spa, Opens a popupSpecialtiesWe specialize in Brazilian waxing, Swedish, Deep Tissue, Hot Stone, Sports Massage, Couples massages, prenatals,Body wraps and exfoliating scrubs, Facials for any skin type, Ear candling, Hair Services, Makeup (airbrush)Manicures, Pedicures and paraffiHistoryEstablished in 2006.A Touch of Las Vegas Day Spa opened its doors almost 9 years ago in 2006 . We started out as a quaint little spa on the southwest side of town. Before we knew it, our quality services and minimal pricing was so in demand that we decided to pack up and move to a bigger location to better accommodate our valued guests. We are still going strong and would love for you to join us in a tranquil, professional spa experience.",,Yes,No,4.5 star rating,221 reviews,http://www.atouchoflvspa.com,Moderate,Mon 9:00 am - 8:00 pm<br>Tue 9:00 am - 8:00 pm<br>Wed 9:00 am - 8:00 pm<br>Thu 9:00 am - 8:00 pm<br>Fri 9:00 am - 8:00 pm<br>Sat 9:00 am - 8:00 pm<br>Sun 9:00 am - 8:00 pm<br>,,,,Yes,,Private Lot,,No,,,,,,,,,,,,,,,,,,No,"Day Spas, Hair Salons, Day Spas, Hair Salons",36.111133,-115.181936,"https://s3-media1.fl.yelpcdn.com/bphoto/iXDF8digu9RrZdJ_d2Inag/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/iXDF8digu9RrZdJ_d2Inag/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/iXDF8digu9RrZdJ_d2Inag/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/iXDF8digu9RrZdJ_d2Inag/300s.jpg 1.20x",http://www.yelp.com/biz/a-touch-of-las-vegas-day-spa-las-vegas-3?osq=Massage,,,,,,
A+ Foot Spa,5255 S Decatur Blvd Ste 109,Las Vegas,NV,89118,,Spring Valley,(702) 432-2299,,,Yes,No,2.5 star rating,14 reviews,,,Mon 10:30 am - 12:00 am<br>Tue 10:30 am - 12:00 am<br>Wed 10:30 am - 12:00 am<br>Thu 10:30 am - 12:00 am<br>Fri 10:30 am - 12:00 am<br>Sat 10:30 am - 12:00 am<br>Sun 10:30 am - 12:00 am<br>,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Massage Therapy, Reflexology, Massage Therapy, Reflexology",36.094442,-115.207986,"https://s3-media2.fl.yelpcdn.com/bphoto/aSBB0q1FMJI5EGTJfZwkNw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/aSBB0q1FMJI5EGTJfZwkNw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/aSBB0q1FMJI5EGTJfZwkNw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/aSBB0q1FMJI5EGTJfZwkNw/300s.jpg 1.20x",http://www.yelp.com/biz/a-foot-spa-las-vegas?osq=Massage,,,,,,
A-Best VIP Outcall Therapeutic Massage,,Las Vegas,NV,89109,,The Strip,(702) 217-3801,"We specialize in Mobile Massage Services to Hotel, Home, Office,Convention-Booths and Special Events.We arrive with all necessary equipment such as massage table, clean …Learn more about A-Best VIP Outcall Therapeutic Massage, Opens a popupSpecialtiesWe specialize in Mobile Massage Services to Hotel, Home, Office,Convention-Booths and Special Events.We arrive with all necessary equipment such as massage table, clean professionally serviced linens and the highest quality of massage oils and creams for body treatments.MODALITIES: Swedish, Deep-Tissue, Shiatsu-acupressure, Sports-massage and Remedial Therapy (entire body; spine and all extremities) Aroma-Therapy, Pre/Post natal, Thai-Yoga, Couples Massages.Highly experienced in Chair-Massages.( Conventions, Special Events)All massages are individually specialized to your needs. NON-SEXUALHistoryEstablished in 1995.After a successful career as a professional dancer for twenty years in showbussiness I wanted to stay in the field of movement and health in relation to the body. I had gotten injured as a dancer to my lower back and tried many different treatments; chiropractor, physical therapy for months at a time, swimming, strenghtening and on and on. Then I found a highly qualified Massage Specialist. What he was able to do for me was uncanny to the point were I was able to return to my dance career again, miraculous. He is the reason why Ihave become a devoted and specialized enthusiastic massage therapist who loves helping everyone.Meet the Business Owner",lisette Z.,Yes,No,5.0 star rating,15 reviews,,,Mon 10:00 am - 12:00 am<br>Tue 10:00 am - 12:00 am<br>Wed 10:00 am - 12:00 am<br>Thu 10:00 am - 12:00 am<br>Fri 10:00 am - 12:00 am<br>Sat 10:30 am - 12:00 am<br>Sun 10:00 am - 11:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,Yes,"Massage Therapy, Massage Therapy",,,"https://s3-media4.fl.yelpcdn.com/bphoto/2WOCQQ9u9hVEceXyvkA_hw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/2WOCQQ9u9hVEceXyvkA_hw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/2WOCQQ9u9hVEceXyvkA_hw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/2WOCQQ9u9hVEceXyvkA_hw/300s.jpg 1.20x",http://www.yelp.com/biz/a-best-vip-outcall-therapeutic-massage-las-vegas-5?osq=Massage,,,,,,
Academe Massage & Wellness,9580 W Sahara Ave Ste 109,Las Vegas,NV,89117,,Westside,(702) 277-9769,"Welcome!Academe Massage & Wellness strives to offer the highest quality massage while supporting a ""world view"" way of life.Dana Marie offers a comprehensive bodywork experience …Learn more about Academe Massage & Wellness, Opens a popupSpecialtiesWelcome!Academe Massage & Wellness strives to offer the highest quality massage while supporting a ""world view"" way of life.Dana Marie offers a comprehensive bodywork experience by throughly integrating movement, stretching, Swedish, Deep Tissue and Reflexology techniques. A customized session, or session plan, can offer increased range of motion, increased circulation, breakdown of scar tissue/muscular adhesions, and increased physical and mental relaxation.The highest quality products include, pure botanical organics that are sustainable and cruelty-free. Dana Marie believes that through education and compassion all things in life are possible!HistoryEstablished in 2014.Dana Marie began her career in the art of touch therapy in August of 2002, when she enrolled in the Dahan Institute of Massage Therapy. Immediately upon graduation, Dana Marie began working in local day spas, striving to make each massage performed the best one yet!Dana Marie continued pursuing her passion in the field of massage therapy by completing over 1600 hours of schooling, teaching/supervising for over 2 years, and mentoring other massage therapists. In March of 2014, Dana Marie started a new chapter and founded Academe Massage & Wellness. Her goal is to provide outstanding massages, and develop rapport with clients so that they may work together as a in achieving new heights in health and wellness.Meet the Business Owner",DanaMarie T.,Yes,No,5.0 star rating,18 reviews,http://academe.massagetherapy.com,,Mon 11:00 am - 7:30 pm<br>Tue 11:00 am - 7:30 pm<br>Wed 11:00 am - 7:30 pm<br>Thu Closed<br>Fri 9:00 am - 5:00 pm<br>Sat 11:00 am - 3:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Massage Therapy, Massage Therapy",36.144866,-115.30355,"https://s3-media3.fl.yelpcdn.com/bphoto/WOV9gzcbgpuWEXSWhMxBjA/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/WOV9gzcbgpuWEXSWhMxBjA/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/WOV9gzcbgpuWEXSWhMxBjA/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/WOV9gzcbgpuWEXSWhMxBjA/300s.jpg 1.20x",http://www.yelp.com/biz/academe-massage-and-wellness-las-vegas?osq=Massage,$75 for $100 Deal at Academe Massage & Wellness,You get a voucher redeemable for $100 at Academe Massage & Wellness.,$100 ,25%,$25 ,https://www.yelp.com/checkout/deal/dvVXQ1en1R5U6AJ-fqxLdQ?biz_id=iJxpqe5NADIantPQkSrLig&return_url=%2Fbiz%2Facademe-massage-and-wellness-las-vegas
Adassa James Institute,2770 S Maryland Pkwy Ste 307,Las Vegas,NV,89109,,Eastside,(702) 425-8589,,,Yes,No,5.0 star rating,1 review,http://www.itsmylifemychoice.com,,Mon Closed<br>Tue 10:00 am - 6:00 pm<br>Wed Closed<br>Thu 10:00 am - 6:00 pm<br>Fri 10:00 am - 6:00 pm<br>Sat 8:00 am - 4:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reflexology, Skin Care, Life Coach, Reflexology, Skin Care, Life Coach",36.139318,-115.135786,,http://www.yelp.com/biz/adassa-james-institute-las-vegas?osq=Massage,,,,,,
