Name,Street Address,Phone,Rating,Reviews,Price Range,Category,Description,Image URL,Listing URL
Bluestone Lane,"30 Broad St, New York, NY 10004",(646) 684-3771,4.0,217,$,"Coffee & Tea,Gluten-Free,Breakfast & Brunch","This coffee shop is very small, but also very cute and cozy. The Prosciutto Avo Smash was amazing and what I liked even better than that was the Aussie iced latte. Again and again I…","https://s3-media2.fl.yelpcdn.com/bphoto/6etTp3jt86xTY2g_cQEDZg/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/6etTp3jt86xTY2g_cQEDZg/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/6etTp3jt86xTY2g_cQEDZg/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/6etTp3jt86xTY2g_cQEDZg/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/6etTp3jt86xTY2g_cQEDZg/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/6etTp3jt86xTY2g_cQEDZg/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/6etTp3jt86xTY2g_cQEDZg/258s.jpg 2.87x",http://www.yelp.com/biz/bluestone-lane-new-york-11?osq=Coffee+%26+Tea
Cafe Grumpy,"20 Stone St, New York, NY 10004",(646) 838-9306,3.5,15,$$,Coffee & Tea,"Attentive staff, the location is all about having a relaxed moment with your coffee.A nice variant to the basterdized coworking space most coffee shops are considered today.","https://s3-media1.fl.yelpcdn.com/bphoto/8nOanBYK_DjD8kxmeSj6tA/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/8nOanBYK_DjD8kxmeSj6tA/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/8nOanBYK_DjD8kxmeSj6tA/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/8nOanBYK_DjD8kxmeSj6tA/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/8nOanBYK_DjD8kxmeSj6tA/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/8nOanBYK_DjD8kxmeSj6tA/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/8nOanBYK_DjD8kxmeSj6tA/258s.jpg 2.87x",http://www.yelp.com/biz/cafe-grumpy-new-york-12?osq=Coffee+%26+Tea
Gregorys Coffee,"42 Broadway, New York, NY 10004",(646) 682-9225,4.0,107,$$,Coffee & Tea,I came here one morning for coffee and was wowed by the customer service. It was a total contrast to the rude exchange I had at a particular Starbucks location the day before. I…,"https://s3-media1.fl.yelpcdn.com/bphoto/qjosCfRgkmYFcVnv7-8umg/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/qjosCfRgkmYFcVnv7-8umg/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/qjosCfRgkmYFcVnv7-8umg/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/qjosCfRgkmYFcVnv7-8umg/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/qjosCfRgkmYFcVnv7-8umg/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/qjosCfRgkmYFcVnv7-8umg/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/qjosCfRgkmYFcVnv7-8umg/258s.jpg 2.87x",http://www.yelp.com/biz/gregorys-coffee-new-york-8?osq=Coffee+%26+Tea
Periscope Coffee,,,5.0,52,$,"Coffee & Tea,Food Trucks",Nestled in a tiny park in the Financial district is a very tiny coffee cart with a hardworking staff and killer coffee. I am a big fan of this little coffee truck. I've visited two…,"https://s3-media2.fl.yelpcdn.com/bphoto/gKZ0bsvRAb2TM9fz2FGu4A/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/gKZ0bsvRAb2TM9fz2FGu4A/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/gKZ0bsvRAb2TM9fz2FGu4A/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/gKZ0bsvRAb2TM9fz2FGu4A/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/gKZ0bsvRAb2TM9fz2FGu4A/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/gKZ0bsvRAb2TM9fz2FGu4A/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/gKZ0bsvRAb2TM9fz2FGu4A/258s.jpg 2.87x",http://www.yelp.com/biz/periscope-coffee-new-york-6?osq=Coffee+%26+Tea
Latte Art,"15 Stone St, New York, NY 10004",(646) 696-1748,3.5,89,$,Coffee & Tea,A little taste of Recoleta for anyone seeking a typical B.A.-style coffee shop. Great coffee and empanadas.,"https://s3-media3.fl.yelpcdn.com/bphoto/cW0MQNmNBi-mzoJprfbhtg/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/cW0MQNmNBi-mzoJprfbhtg/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/cW0MQNmNBi-mzoJprfbhtg/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/cW0MQNmNBi-mzoJprfbhtg/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/cW0MQNmNBi-mzoJprfbhtg/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/cW0MQNmNBi-mzoJprfbhtg/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/cW0MQNmNBi-mzoJprfbhtg/258s.jpg 2.87x",http://www.yelp.com/biz/latte-art-new-york?osq=Coffee+%26+Tea
Boundless Plains Espresso,"19 Rector St, New York, NY 10006",(646) 370-4399,4.5,22,$$,"Coffee & Tea,Sandwiches","When I'm in town for work this has become my favorite coffee shop in lower Manhattan -- super conveniently located if you're working close to WTC and the staff is extremely friendly,…","https://s3-media3.fl.yelpcdn.com/bphoto/miT5AnRVcmhspHfcWijf5w/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/miT5AnRVcmhspHfcWijf5w/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/miT5AnRVcmhspHfcWijf5w/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/miT5AnRVcmhspHfcWijf5w/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/miT5AnRVcmhspHfcWijf5w/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/miT5AnRVcmhspHfcWijf5w/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/miT5AnRVcmhspHfcWijf5w/258s.jpg 2.87x",http://www.yelp.com/biz/boundless-plains-espresso-new-york?osq=Coffee+%26+Tea
Kung Fu Tea,"9 Broadway, New York, NY 10004",(212) 785-5688,4.5,45,$,"Coffee & Tea,Bubble Tea,Juice Bars & Smoothies","Believe it or not, this was my first time having bubble tea! Not sure what I was waiting for, but I definitely enjoyed it. They have lots of places selling bubble tea in the city,…","https://s3-media3.fl.yelpcdn.com/bphoto/2adke1L0zmNSe_vrHp4qhQ/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/2adke1L0zmNSe_vrHp4qhQ/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/2adke1L0zmNSe_vrHp4qhQ/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/2adke1L0zmNSe_vrHp4qhQ/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/2adke1L0zmNSe_vrHp4qhQ/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/2adke1L0zmNSe_vrHp4qhQ/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/2adke1L0zmNSe_vrHp4qhQ/258s.jpg 2.87x",http://www.yelp.com/biz/kung-fu-tea-new-york-15?osq=Coffee+%26+Tea
Gregorys Coffee,"80 Broad St, New York, NY 10004",(212) 480-2429,4.0,41,$$,Coffee & Tea,"Great coffee that lies somewhere on the spectrum between Starbucks and a hole in the wall coffee shop.The menu offers pretty standard items, but the coffee tastes better than the…","https://s3-media2.fl.yelpcdn.com/bphoto/LDrctZfxihyN9HGZSgmP8g/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/LDrctZfxihyN9HGZSgmP8g/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/LDrctZfxihyN9HGZSgmP8g/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/LDrctZfxihyN9HGZSgmP8g/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/LDrctZfxihyN9HGZSgmP8g/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/LDrctZfxihyN9HGZSgmP8g/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/LDrctZfxihyN9HGZSgmP8g/258s.jpg 2.87x",http://www.yelp.com/biz/gregorys-coffee-new-york-10?osq=Coffee+%26+Tea
Primary,"26 Broadway, New York, NY 10004",(212) 658-0077,5.0,8,$,"Shared Office Spaces,Fitness & Instruction,Cafes","The future work environment. Perfect atmosphere to work remotely, especially with the moss covered front desk and greenery throughout the floor.There's a cafe where you can order…","https://s3-media3.fl.yelpcdn.com/bphoto/tRoeYYKaND6s7J16Nljj0A/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/tRoeYYKaND6s7J16Nljj0A/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/tRoeYYKaND6s7J16Nljj0A/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/tRoeYYKaND6s7J16Nljj0A/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/tRoeYYKaND6s7J16Nljj0A/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/tRoeYYKaND6s7J16Nljj0A/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/tRoeYYKaND6s7J16Nljj0A/258s.jpg 2.87x",http://www.yelp.com/biz/primary-new-york-2?osq=Coffee+%26+Tea
La Colombe Coffee,"67 Wall St, New York, NY 10005",(212) 220-0415,4.5,102,$$,Coffee & Tea,"I was exploring NYC on my own one day and was excited to try this place out. I buy their coffee from stores so to finally try their in store product, I was stoked.I came in the…","https://s3-media3.fl.yelpcdn.com/bphoto/qyO6WCQABB4zXFPFTJp53w/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/qyO6WCQABB4zXFPFTJp53w/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/qyO6WCQABB4zXFPFTJp53w/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/qyO6WCQABB4zXFPFTJp53w/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/qyO6WCQABB4zXFPFTJp53w/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/qyO6WCQABB4zXFPFTJp53w/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/qyO6WCQABB4zXFPFTJp53w/258s.jpg 2.87x",http://www.yelp.com/biz/la-colombe-coffee-new-york-3?osq=Coffee+%26+Tea
