Name,Street Address,Phone,Rating,Reviews,Price Range,Category,Description,Image URL,Listing URL
Bode’s General Store,"21196 US Hwy 84, Abiquiu, NM 87510",(505) 685-4422,4.5,37,$,"Grocery,Burgers,Beer, Wine & Spirits","For what they do, Bodes does it quite well.Yes--a wonderful general store with everything from burgers to silk scarves.Friendly checkers and locals-- the nice woman ringing me…","https://s3-media2.fl.yelpcdn.com/bphoto/OgImMTbNjeFvQB2SJTuPAA/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/OgImMTbNjeFvQB2SJTuPAA/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/OgImMTbNjeFvQB2SJTuPAA/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/OgImMTbNjeFvQB2SJTuPAA/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/OgImMTbNjeFvQB2SJTuPAA/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/OgImMTbNjeFvQB2SJTuPAA/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/OgImMTbNjeFvQB2SJTuPAA/258s.jpg 2.87x",http://www.yelp.com/biz/bodes-general-store-abiquiu-3?osq=Coffee
Escape Coffee House,"1318 S Riverside Dr, Española, NM 87532",(505) 747-4871,5.0,5,$,"Coffee & Tea,Desserts",This is an awesome cafe in Española! The Traditional Burrito was wonderful it had that home cooked flavor and all the ingredients seemed high quality. I also had a Mocha and it was…,"https://s3-media3.fl.yelpcdn.com/bphoto/B3nRTPUGbhLHegM3L9FOvg/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/B3nRTPUGbhLHegM3L9FOvg/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/B3nRTPUGbhLHegM3L9FOvg/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/B3nRTPUGbhLHegM3L9FOvg/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/B3nRTPUGbhLHegM3L9FOvg/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/B3nRTPUGbhLHegM3L9FOvg/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/B3nRTPUGbhLHegM3L9FOvg/258s.jpg 2.87x",http://www.yelp.com/biz/escape-coffee-house-espa%C3%B1ola?osq=Coffee
Elevation Coffee,"1110 Paseo Del Pueblo Norte, Taos, NM 87571",(575) 758-3068,4.5,42,$,Coffee & Tea,"Friendly vibe, great coffee and drinks and nice art.The barista was very friendly and gave us a lot of pointers about Taos. My son enjoyed his stuffed croissant and his coconut…","https://s3-media3.fl.yelpcdn.com/bphoto/WS2xyQ6JZ3pgPFGT640Fhw/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/WS2xyQ6JZ3pgPFGT640Fhw/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/WS2xyQ6JZ3pgPFGT640Fhw/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/WS2xyQ6JZ3pgPFGT640Fhw/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/WS2xyQ6JZ3pgPFGT640Fhw/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/WS2xyQ6JZ3pgPFGT640Fhw/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/WS2xyQ6JZ3pgPFGT640Fhw/258s.jpg 2.87x",http://www.yelp.com/biz/elevation-coffee-taos?osq=Coffee
Iconik Coffee Roasters,"1600 Lena St, Santa Fe, NM 87505",(505) 428-0996,4.0,151,$$,"Coffee & Tea,Coffee Roasteries,Cafes","Iconik is the perfect coffee shop. 90s grunge music is playing, lots of table space for you to write/draw/create, a magnetic board for your to leave your thoughts, a coffee roaster…","https://s3-media3.fl.yelpcdn.com/bphoto/Ap6Ufj0ixFS5DB9zNVcaYA/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/Ap6Ufj0ixFS5DB9zNVcaYA/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/Ap6Ufj0ixFS5DB9zNVcaYA/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/Ap6Ufj0ixFS5DB9zNVcaYA/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/Ap6Ufj0ixFS5DB9zNVcaYA/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/Ap6Ufj0ixFS5DB9zNVcaYA/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/Ap6Ufj0ixFS5DB9zNVcaYA/258s.jpg 2.87x",http://www.yelp.com/biz/iconik-coffee-roasters-santa-fe-10?osq=Coffee
Pig and Fig,"35 Rover Blvd, White Rock, NM 87544",(505) 672-2742,4.0,35,$,"Coffee & Tea,Breakfast & Brunch,Sandwiches",Great pastries baked daily!This is a must-do if you find yourself in Los Alamos.It's a comforting oasis in the high dessert.,"https://s3-media1.fl.yelpcdn.com/bphoto/qhWAU6THYOZoZGrpAjIjYA/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/qhWAU6THYOZoZGrpAjIjYA/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/qhWAU6THYOZoZGrpAjIjYA/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/qhWAU6THYOZoZGrpAjIjYA/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/qhWAU6THYOZoZGrpAjIjYA/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/qhWAU6THYOZoZGrpAjIjYA/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/qhWAU6THYOZoZGrpAjIjYA/258s.jpg 2.87x",http://www.yelp.com/biz/pig-and-fig-white-rock?osq=Coffee
The Coffee Apothecary,"616 Paseo Del Pueblo Sur, Taos, NM 87571",(575) 779-8706,5.0,11,$,Coffee & Tea,"Coffee is already magic - to me anyway, but then there is THIS place. The magic of coffee (and customer service) is bristling in this cute, mix of mid-century modern meets wild west…","https://s3-media3.fl.yelpcdn.com/bphoto/CKwfscCuflF4m8vt3mZnsg/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/CKwfscCuflF4m8vt3mZnsg/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/CKwfscCuflF4m8vt3mZnsg/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/CKwfscCuflF4m8vt3mZnsg/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/CKwfscCuflF4m8vt3mZnsg/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/CKwfscCuflF4m8vt3mZnsg/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/CKwfscCuflF4m8vt3mZnsg/258s.jpg 2.87x",http://www.yelp.com/biz/the-coffee-apothecary-taos?osq=Coffee
Holy Spirit Espresso,"225 W San Francisco St, Santa Fe, NM 87501",(505) 920-3664,4.5,129,$,Coffee & Tea,"This hole in the wall coffee shop is the perfect place to grab a coffee as you're enjoying your time on the Plaza! Unique, locally owned, and especially delicious! My recommendation:…","https://s3-media2.fl.yelpcdn.com/bphoto/8DHxLmeLjSw-DZ7_ZWcdKg/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/8DHxLmeLjSw-DZ7_ZWcdKg/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/8DHxLmeLjSw-DZ7_ZWcdKg/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/8DHxLmeLjSw-DZ7_ZWcdKg/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/8DHxLmeLjSw-DZ7_ZWcdKg/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/8DHxLmeLjSw-DZ7_ZWcdKg/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/8DHxLmeLjSw-DZ7_ZWcdKg/258s.jpg 2.87x",http://www.yelp.com/biz/holy-spirit-espresso-santa-fe?osq=Coffee
Coffee Cats,"124 Bent St, Taos, NM 87571",(575) 758-0606,4.5,38,$,"Coffee & Tea,Ice Cream & Frozen Yogurt,Juice Bars & Smoothies",After a nice lunch and walking around town we hopped on Yelp to find some ice cream. This place came up first and was a very short walk away so we went for it. So happy we did.…,"https://s3-media4.fl.yelpcdn.com/bphoto/v8IMetWNwTSe0UaBFwV8VA/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/v8IMetWNwTSe0UaBFwV8VA/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/v8IMetWNwTSe0UaBFwV8VA/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/v8IMetWNwTSe0UaBFwV8VA/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/v8IMetWNwTSe0UaBFwV8VA/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/v8IMetWNwTSe0UaBFwV8VA/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/v8IMetWNwTSe0UaBFwV8VA/258s.jpg 2.87x",http://www.yelp.com/biz/coffee-cats-taos?osq=Coffee
Caveman Coffee Cave,"1221 Flagman Way, Santa Fe, NM 87505",(505) 992-2577,4.5,30,$$,"Coffee & Tea,Juice Bars & Smoothies,Cafes",Wow. Great coffee. Counter service was great. Gave me a sample. Never had coffee w butter before. I'm hooked!,"https://s3-media2.fl.yelpcdn.com/bphoto/wbJ-MTu3nDhlXb3V2Kb0Ew/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/wbJ-MTu3nDhlXb3V2Kb0Ew/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/wbJ-MTu3nDhlXb3V2Kb0Ew/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/wbJ-MTu3nDhlXb3V2Kb0Ew/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/wbJ-MTu3nDhlXb3V2Kb0Ew/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/wbJ-MTu3nDhlXb3V2Kb0Ew/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/wbJ-MTu3nDhlXb3V2Kb0Ew/258s.jpg 2.87x",http://www.yelp.com/biz/caveman-coffee-cave-santa-fe-3?osq=Coffee
Iconik Coffee Roasters,"202 Galisteo St, Santa Fe, NM 87501",(505) 428-0996,4.5,16,$,"Coffee & Tea,Breakfast & Brunch,Coffee Roasteries",We love this place ... best coffee in town ! Food is great ... breakfast tacos different but good . Always interesting people watching...only problem is the parking. Impossible!!,"https://s3-media3.fl.yelpcdn.com/bphoto/b0LKRjIX1qM8mFO7bStQCg/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/b0LKRjIX1qM8mFO7bStQCg/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/b0LKRjIX1qM8mFO7bStQCg/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/b0LKRjIX1qM8mFO7bStQCg/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/b0LKRjIX1qM8mFO7bStQCg/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/b0LKRjIX1qM8mFO7bStQCg/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/b0LKRjIX1qM8mFO7bStQCg/258s.jpg 2.87x",http://www.yelp.com/biz/iconik-coffee-roasters-santa-fe-11?osq=Coffee
