Name,Street Address,Phone,Rating,Reviews,Price Range,Category,Description,Image URL,Listing URL
Dutch Bros. Coffee,"2840 E Tropicana Ave, Las Vegas, NV 89121",,4.5,619,$,Coffee & Tea,"I'm from San Diego and I wish we had Dutch Brothers coffee here. I was on a road trip and the 5/6 mornings, we had Dutch Bros coffee. Each drink is packed with flavor. My favorite is…","https://s3-media2.fl.yelpcdn.com/bphoto/1vVieTjIePm5qIgLO1ND6g/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/1vVieTjIePm5qIgLO1ND6g/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/1vVieTjIePm5qIgLO1ND6g/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/1vVieTjIePm5qIgLO1ND6g/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/1vVieTjIePm5qIgLO1ND6g/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/1vVieTjIePm5qIgLO1ND6g/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/1vVieTjIePm5qIgLO1ND6g/258s.jpg 2.87x",http://www.yelp.com/biz/dutch-bros-coffee-las-vegas?osq=Coffee
PublicUs,"1126 Fremont St, Las Vegas, NV 89101",(702) 331-5500,4.5,644,$$,"Cafes,Coffee & Tea,American (New)",Great place to come and chill with friends. My boyfriend and I love to come here and get editing done. I will say that if you're not here early you won't get a plug outlet. There is…,"https://s3-media4.fl.yelpcdn.com/bphoto/C1SEHiqp6YNhSX_HxJxupw/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/C1SEHiqp6YNhSX_HxJxupw/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/C1SEHiqp6YNhSX_HxJxupw/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/C1SEHiqp6YNhSX_HxJxupw/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/C1SEHiqp6YNhSX_HxJxupw/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/C1SEHiqp6YNhSX_HxJxupw/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/C1SEHiqp6YNhSX_HxJxupw/258s.jpg 2.87x",http://www.yelp.com/biz/publicus-las-vegas?osq=Coffee
Brew Tea Bar,"9480 S Eastern Ave, Las Vegas, NV 89123",(702) 750-2017,5.0,102,$,"Coffee & Tea,Bubble Tea,Tea Rooms","So I just popped in because I have been wanting to try this boba place for a while,and now lucky me they have added this location to my did of town!The inside is clean and moden,…","https://s3-media2.fl.yelpcdn.com/bphoto/PRCdr_sb1grGAQDoPBBdcA/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/PRCdr_sb1grGAQDoPBBdcA/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/PRCdr_sb1grGAQDoPBBdcA/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/PRCdr_sb1grGAQDoPBBdcA/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/PRCdr_sb1grGAQDoPBBdcA/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/PRCdr_sb1grGAQDoPBBdcA/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/PRCdr_sb1grGAQDoPBBdcA/258s.jpg 2.87x",http://www.yelp.com/biz/brew-tea-bar-las-vegas-6?osq=Coffee
Sunrise Coffee,"3130 E Sunset Rd, Las Vegas, NV 89120",(702) 433-3304,4.5,938,$,"Coffee & Tea,Vegan",We have a difficult time finding good espresso while traveling and this is one of the rare occasions when we found excellent espresso while traveling.Highly recommend the Mexican…,"https://s3-media4.fl.yelpcdn.com/bphoto/B-DfF-JQxuyUmAVYSDh0hA/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/B-DfF-JQxuyUmAVYSDh0hA/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/B-DfF-JQxuyUmAVYSDh0hA/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/B-DfF-JQxuyUmAVYSDh0hA/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/B-DfF-JQxuyUmAVYSDh0hA/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/B-DfF-JQxuyUmAVYSDh0hA/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/B-DfF-JQxuyUmAVYSDh0hA/258s.jpg 2.87x",http://www.yelp.com/biz/sunrise-coffee-las-vegas-3?osq=Coffee
Makers & Finders Coffee,"1120 S Main St, Las Vegas, NV 89104",(702) 586-8255,4.5,711,$$,"Coffee & Tea,Latin American,Breakfast & Brunch",One of the hidden gems (to 80%) of people fhat live/visit vegas....Went here for coffee only and it was one of the best i've had here in Las Vegas. They have a wide variety of…,"https://s3-media3.fl.yelpcdn.com/bphoto/oHCD-QoeF1Ii5N6QSxb8iA/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/oHCD-QoeF1Ii5N6QSxb8iA/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/oHCD-QoeF1Ii5N6QSxb8iA/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/oHCD-QoeF1Ii5N6QSxb8iA/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/oHCD-QoeF1Ii5N6QSxb8iA/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/oHCD-QoeF1Ii5N6QSxb8iA/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/oHCD-QoeF1Ii5N6QSxb8iA/258s.jpg 2.87x",http://www.yelp.com/biz/makers-and-finders-coffee-las-vegas?osq=Coffee
Coffee Pub,"2800 W Sahara Ave, Las Vegas, NV 89102",(702) 367-1913,4.5,403,$,"Coffee & Tea,Breakfast & Brunch,Sandwiches","This place is great! The location is very convenient, at the end of the strip so it's easy to get to if you're a tourist looking for a delicious breakfast! They have indoor and…","https://s3-media4.fl.yelpcdn.com/bphoto/wcBk3oUkiPCm--gUERQ1AA/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/wcBk3oUkiPCm--gUERQ1AA/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/wcBk3oUkiPCm--gUERQ1AA/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/wcBk3oUkiPCm--gUERQ1AA/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/wcBk3oUkiPCm--gUERQ1AA/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/wcBk3oUkiPCm--gUERQ1AA/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/wcBk3oUkiPCm--gUERQ1AA/258s.jpg 2.87x",http://www.yelp.com/biz/coffee-pub-las-vegas?osq=Coffee
Grouchy John’s Coffee,"8520 S Maryland Pkwy, Las Vegas, NV 89123",(702) 778-7553,4.5,919,$,"Coffee & Tea,Breakfast & Brunch,Bagels",Good place to do some solo studying. They have free WiFi and plenty of seating. There's another room on the other side and the entrance to the other room is to right of where you…,"https://s3-media2.fl.yelpcdn.com/bphoto/P73_eEft3YP24xHEcnt5jA/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/P73_eEft3YP24xHEcnt5jA/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/P73_eEft3YP24xHEcnt5jA/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/P73_eEft3YP24xHEcnt5jA/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/P73_eEft3YP24xHEcnt5jA/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/P73_eEft3YP24xHEcnt5jA/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/P73_eEft3YP24xHEcnt5jA/258s.jpg 2.87x",http://www.yelp.com/biz/grouchy-johns-coffee-las-vegas-3?osq=Coffee
Pink Box Doughnuts On The Strip,"3755 S Las Vegas Blvd, Las Vegas, NV 89109",(702) 819-7482,4.0,9,$,"Donuts,Coffee & Tea,Bakeries",Would I come back? I am a big fan of donuts and this place did not disappoint. I saw it on Yelp before coming to Vegas and knew I had to get it. I order 7 different donuts:…,"https://s3-media3.fl.yelpcdn.com/bphoto/UUjnYyYKBHdMmxGwXL16HQ/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/UUjnYyYKBHdMmxGwXL16HQ/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/UUjnYyYKBHdMmxGwXL16HQ/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/UUjnYyYKBHdMmxGwXL16HQ/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/UUjnYyYKBHdMmxGwXL16HQ/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/UUjnYyYKBHdMmxGwXL16HQ/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/UUjnYyYKBHdMmxGwXL16HQ/258s.jpg 2.87x",http://www.yelp.com/biz/pink-box-doughnuts-on-the-strip-las-vegas?osq=Coffee
Pour - Coffeehouse,"6811 S Eastern Ave, Las Vegas, NV 89119",(702) 527-5544,4.5,111,$,"Coffee & Tea,Sandwiches,Juice Bars & Smoothies",My wife and I visited this coffee house and I love it. There are only a few chic coffeehouses like this in Las Vegas/Henderson. They do have a variety of good coffee selections and…,"https://s3-media1.fl.yelpcdn.com/bphoto/4np_-U9DSg4fJJXkK3EteQ/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/4np_-U9DSg4fJJXkK3EteQ/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/4np_-U9DSg4fJJXkK3EteQ/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/4np_-U9DSg4fJJXkK3EteQ/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/4np_-U9DSg4fJJXkK3EteQ/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/4np_-U9DSg4fJJXkK3EteQ/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/4np_-U9DSg4fJJXkK3EteQ/258s.jpg 2.87x",http://www.yelp.com/biz/pour-coffeehouse-las-vegas-2?osq=Coffee
Grouchy John’s Coffee,"6350 W Charleston Blvd, Las Vegas, NV 89146",(702) 485-6520,4.5,42,$,Coffee & Tea,"Top-of-it's-game coffee at this Grouchy Johns spot!My geeky side shined once I walked into Grouchy John's!Murals with Boba Fett, Pooh Bear!Then I looked at the drink menu and the…","https://s3-media4.fl.yelpcdn.com/bphoto/7UCINITMZ9t8VvS0HnvFRQ/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/7UCINITMZ9t8VvS0HnvFRQ/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/7UCINITMZ9t8VvS0HnvFRQ/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/7UCINITMZ9t8VvS0HnvFRQ/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/7UCINITMZ9t8VvS0HnvFRQ/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/7UCINITMZ9t8VvS0HnvFRQ/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/7UCINITMZ9t8VvS0HnvFRQ/258s.jpg 2.87x",http://www.yelp.com/biz/grouchy-johns-coffee-las-vegas-4?osq=Coffee
