Name,Street Address,Phone,Rating,Reviews,Price Range,Category,Description,Image URL,Listing URL
That French Place,"212 Bridge St, Charlevoix, MI 49720",(231) 437-6037,4.5,63,$,"Creperies,Ice Cream & Frozen Yogurt,French","This cozy place owned by a sweet young couple pairs super-premium, uniquely flavored ice cream with French crepes, pastries, and sandwiches. Different and delicious! A very welcome…","https://s3-media4.fl.yelpcdn.com/bphoto/orpQik0HkCwOOIxGmDIVOw/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/orpQik0HkCwOOIxGmDIVOw/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/orpQik0HkCwOOIxGmDIVOw/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/orpQik0HkCwOOIxGmDIVOw/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/orpQik0HkCwOOIxGmDIVOw/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/orpQik0HkCwOOIxGmDIVOw/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/orpQik0HkCwOOIxGmDIVOw/258s.jpg 2.87x",http://www.yelp.com/biz/that-french-place-charlevoix?osq=Coffee
Johan’s Cafe Bakery,"327 Bridge St, Charlevoix, MI 49720",(231) 547-1380,2.5,19,$,"Coffee & Tea,Bakeries","My family and I stayed in Charlevoix for the weekend and found that the selection of restaurants in the downtown area was limited to a faux, pan-Asian restaurant and a handful of…","https://s3-media4.fl.yelpcdn.com/bphoto/LLt87FVKDKNvoX-jFGiqJg/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/LLt87FVKDKNvoX-jFGiqJg/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/LLt87FVKDKNvoX-jFGiqJg/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/LLt87FVKDKNvoX-jFGiqJg/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/LLt87FVKDKNvoX-jFGiqJg/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/LLt87FVKDKNvoX-jFGiqJg/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/LLt87FVKDKNvoX-jFGiqJg/258s.jpg 2.87x",http://www.yelp.com/biz/johans-cafe-bakery-charlevoix?osq=Coffee
Simonsen’s Bakery & Cafe,"115 Bridge St, Charlevoix, MI 49720",,2.5,31,$$,"Coffee & Tea,Bakeries,Sandwiches",The food was good. The staff person at the counter was rude and impatient. Some of the menu items were not being served - crêpes (no apology). Other staff members were friendly and…,"https://s3-media2.fl.yelpcdn.com/bphoto/bp1MAqr2gPLUbsn-zSo2lA/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/bp1MAqr2gPLUbsn-zSo2lA/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/bp1MAqr2gPLUbsn-zSo2lA/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/bp1MAqr2gPLUbsn-zSo2lA/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/bp1MAqr2gPLUbsn-zSo2lA/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/bp1MAqr2gPLUbsn-zSo2lA/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/bp1MAqr2gPLUbsn-zSo2lA/258s.jpg 2.87x",http://www.yelp.com/biz/simonsens-bakery-and-cafe-charlevoix?osq=Coffee
Harwood Gold,"230 Bridge St, Charlevoix, MI 49720",(231) 437-3900,5.0,22,$$$,"Specialty Food,Cafes","A place to stop by if you're ever in Charlesvoix! This unassuming shop at the side of the lakefront wharf was a beautiful find. It was an interesting combination of coffee shop,…","https://s3-media4.fl.yelpcdn.com/bphoto/N-XURCc10nbaAfvJ63A9dw/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/N-XURCc10nbaAfvJ63A9dw/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/N-XURCc10nbaAfvJ63A9dw/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/N-XURCc10nbaAfvJ63A9dw/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/N-XURCc10nbaAfvJ63A9dw/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/N-XURCc10nbaAfvJ63A9dw/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/N-XURCc10nbaAfvJ63A9dw/258s.jpg 2.87x",http://www.yelp.com/biz/harwood-gold-charlevoix?osq=Coffee
Coffee Shop,"411 Bridge St, Charlevoix, MI 49720",(231) 547-9663,,,,Coffee & Tea,,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_styleguide/fe8c0c8725d3/assets/img/default_avatars/business_90_square.png,http://www.yelp.com/biz/coffee-shop-charlevoix?osq=Coffee
Cre8tive Cupcake,"Charlevoix, MI 49720",(231) 350-8122,4.5,19,$$,"Bakeries,Cupcakes,Desserts",I got married at Castle Farms and booked Cre8tive Cupcakes and I couldn't be more happy with my decision.Alfred was amazing to work with. The display looked AMAZING. I'm not even a…,"https://s3-media1.fl.yelpcdn.com/bphoto/WfnCRwKdlDfHzR4UBi5zvg/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/WfnCRwKdlDfHzR4UBi5zvg/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/WfnCRwKdlDfHzR4UBi5zvg/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/WfnCRwKdlDfHzR4UBi5zvg/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/WfnCRwKdlDfHzR4UBi5zvg/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/WfnCRwKdlDfHzR4UBi5zvg/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/WfnCRwKdlDfHzR4UBi5zvg/258s.jpg 2.87x",http://www.yelp.com/biz/cre8tive-cupcake-charlevoix?osq=Coffee
Esperance,"12853 US Hwy 31 N, Charlevoix, MI 49720",(231) 237-9300,4.5,14,$$$$,"Specialty Food,Beer, Wine & Spirits,Cafes",Excellent staff Wonderful selection of specialty goodsBeautiful wine collectionThe rewards they received from wine spectator are well deserved,"https://s3-media1.fl.yelpcdn.com/bphoto/hc5wT4F68w_jWbV7oVG-Og/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/hc5wT4F68w_jWbV7oVG-Og/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/hc5wT4F68w_jWbV7oVG-Og/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/hc5wT4F68w_jWbV7oVG-Og/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/hc5wT4F68w_jWbV7oVG-Og/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/hc5wT4F68w_jWbV7oVG-Og/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/hc5wT4F68w_jWbV7oVG-Og/258s.jpg 2.87x",http://www.yelp.com/biz/esperance-charlevoix?osq=Coffee
Lake Charlevoix Brewing Company,"111 Bridge Park Dr, Charlevoix, MI 49720",(231) 437-3220,3.5,43,$$,"Breweries,Beer Bar,Sandwiches","My sister and I ate lunch at this Brewery during a weekend trip to northern Michigan. We had my nieces with us, and this place was very family friendly.I ordered the chicken…","https://s3-media4.fl.yelpcdn.com/bphoto/hAFBCwenVC_U9uHO6Gxkdg/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/hAFBCwenVC_U9uHO6Gxkdg/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/hAFBCwenVC_U9uHO6Gxkdg/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/hAFBCwenVC_U9uHO6Gxkdg/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/hAFBCwenVC_U9uHO6Gxkdg/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/hAFBCwenVC_U9uHO6Gxkdg/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/hAFBCwenVC_U9uHO6Gxkdg/258s.jpg 2.87x",http://www.yelp.com/biz/lake-charlevoix-brewing-company-charlevoix-2?osq=Coffee
Scovie’s Gourmet,"111 Bridge St, Charlevoix, MI 49720",(231) 237-7827,4.0,51,$$,"Delis,Desserts,Diners","Very nice. Had excellent soup, butternut squash, and the bridge street salad, which was a nice blend of roasted peers, almonds, chicken and Gorgonzola cheese.Had lunch, which had…","https://s3-media1.fl.yelpcdn.com/bphoto/YWxRk6axyh3_UjidSV7ZLg/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/YWxRk6axyh3_UjidSV7ZLg/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/YWxRk6axyh3_UjidSV7ZLg/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/YWxRk6axyh3_UjidSV7ZLg/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/YWxRk6axyh3_UjidSV7ZLg/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/YWxRk6axyh3_UjidSV7ZLg/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/YWxRk6axyh3_UjidSV7ZLg/258s.jpg 2.87x",http://www.yelp.com/biz/scovies-gourmet-charlevoix?osq=Coffee
Bridge Street Tap Room,"202 Bridge St, Charlevoix, MI 49720",(231) 437-3466,3.5,105,$$,"Pizza,Pubs,Sandwiches",Yum! The brisket sandwich is amazing with tender brisket. All the flavors come together nicely. I would suggest a bit more arugula. The sourdough bread is great and it definitely…,"https://s3-media3.fl.yelpcdn.com/bphoto/KT11DVhs9eAfIhkccSTX5A/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/KT11DVhs9eAfIhkccSTX5A/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/KT11DVhs9eAfIhkccSTX5A/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/KT11DVhs9eAfIhkccSTX5A/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/KT11DVhs9eAfIhkccSTX5A/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/KT11DVhs9eAfIhkccSTX5A/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/KT11DVhs9eAfIhkccSTX5A/258s.jpg 2.87x",http://www.yelp.com/biz/bridge-street-tap-room-charlevoix?osq=Coffee
