Name,Street Address,Phone,Rating,Reviews,Price Range,Category,Description,Image URL,Listing URL
"<span class=""highlighted"">Starbucks","675 Portola Dr, San Francisco, CA 94127",(415) 682-9477,4.0,100,$,Coffee & Tea,"I was surprised at just how big this Starbucks is!It looks like a small shop from the outside but, when you walk in --it just keeps on going and going.There is a ton of seating…","https://s3-media3.fl.yelpcdn.com/bphoto/DX38_265nHR4j31mtNPXyQ/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/DX38_265nHR4j31mtNPXyQ/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/DX38_265nHR4j31mtNPXyQ/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/DX38_265nHR4j31mtNPXyQ/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/DX38_265nHR4j31mtNPXyQ/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/DX38_265nHR4j31mtNPXyQ/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/DX38_265nHR4j31mtNPXyQ/258s.jpg 2.87x",http://www.yelp.com/biz/starbucks-san-francisco-128?osq=starbucks
"<span class=""highlighted"">Starbucks","689 Townsend St, San Francisco, CA 94103",(415) 255-7561,4.0,99,$,Coffee & Tea,Good place to have coffee and snacks.The staff here are customer friendlyI recommend these place to friends and family!,"https://s3-media2.fl.yelpcdn.com/bphoto/Mtfrz6Fx4i2yVo8P7fVnag/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/Mtfrz6Fx4i2yVo8P7fVnag/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/Mtfrz6Fx4i2yVo8P7fVnag/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/Mtfrz6Fx4i2yVo8P7fVnag/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/Mtfrz6Fx4i2yVo8P7fVnag/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/Mtfrz6Fx4i2yVo8P7fVnag/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/Mtfrz6Fx4i2yVo8P7fVnag/258s.jpg 2.87x",http://www.yelp.com/biz/starbucks-san-francisco-120?osq=starbucks
"<span class=""highlighted"">Starbucks","3595 California St, San Francisco, CA 94118",(415) 387-2249,3.5,390,$,Coffee & Tea,Best Qualities: 1. Very big size2. Friendly employees3. Lots of seating including a high top table that can be used as a standing desk.4. Lots of parkingWorst Qualities:…,"https://s3-media1.fl.yelpcdn.com/bphoto/gnsb6eyPPE4wzpPMAxtrWQ/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/gnsb6eyPPE4wzpPMAxtrWQ/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/gnsb6eyPPE4wzpPMAxtrWQ/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/gnsb6eyPPE4wzpPMAxtrWQ/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/gnsb6eyPPE4wzpPMAxtrWQ/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/gnsb6eyPPE4wzpPMAxtrWQ/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/gnsb6eyPPE4wzpPMAxtrWQ/258s.jpg 2.87x",http://www.yelp.com/biz/starbucks-san-francisco-132?osq=starbucks
"<span class=""highlighted"">Starbucks","4094 18th St, San Francisco, CA 94114",(415) 626-6263,3.5,157,$,Coffee & Tea,"I'm back reviewing my 4th Starbucks of the Bay Area. Only 86 more to go (I googled it). If you know me or have followed me on yelp long enough, you'd know that I'm obsessed with…","https://s3-media4.fl.yelpcdn.com/bphoto/DWrsaHwA_7G1axTxobakAA/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/DWrsaHwA_7G1axTxobakAA/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/DWrsaHwA_7G1axTxobakAA/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/DWrsaHwA_7G1axTxobakAA/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/DWrsaHwA_7G1axTxobakAA/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/DWrsaHwA_7G1axTxobakAA/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/DWrsaHwA_7G1axTxobakAA/258s.jpg 2.87x",http://www.yelp.com/biz/starbucks-san-francisco-52?osq=starbucks
"<span class=""highlighted"">Starbucks","2435 California St, San Francisco, CA 94115",(415) 567-3978,4.0,23,$,Coffee & Tea,"As Starbucks go this one is pretty good. Efficient service, friendly staff and open all the time. It can be a bit of a wind tunnel to sit down here since there are no doors: it's in…","https://s3-media3.fl.yelpcdn.com/bphoto/mqMnhygZBIHH5BAInt4fDw/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/mqMnhygZBIHH5BAInt4fDw/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/mqMnhygZBIHH5BAInt4fDw/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/mqMnhygZBIHH5BAInt4fDw/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/mqMnhygZBIHH5BAInt4fDw/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/mqMnhygZBIHH5BAInt4fDw/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/mqMnhygZBIHH5BAInt4fDw/258s.jpg 2.87x",http://www.yelp.com/biz/starbucks-san-francisco-139?osq=starbucks
"<span class=""highlighted"">Starbucks","350 Parnassus St, San Francisco, CA 94117",(415) 665-6406,3.5,55,$,Coffee & Tea,Working at UCSF this is the closest Starbucks to the the Parnassus campus. It is right across the street from the shuttle bus stop and across the street from the ACC. It is very…,"https://s3-media4.fl.yelpcdn.com/bphoto/mH2YSuLDhRLK1542FJsftA/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/mH2YSuLDhRLK1542FJsftA/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/mH2YSuLDhRLK1542FJsftA/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/mH2YSuLDhRLK1542FJsftA/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/mH2YSuLDhRLK1542FJsftA/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/mH2YSuLDhRLK1542FJsftA/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/mH2YSuLDhRLK1542FJsftA/258s.jpg 2.87x",http://www.yelp.com/biz/starbucks-san-francisco-238?osq=starbucks
"<span class=""highlighted"">Starbucks","3995 24th St, San Francisco, CA 94114",(415) 826-1118,3.5,103,$,Coffee & Tea,Mobile ordering.They don't call your name out.Just check the counter where you normally pick up.There is no designated/marked area for mobile order pick up.,"https://s3-media1.fl.yelpcdn.com/bphoto/a9EFiHrapSK93B9zOGwhLw/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/a9EFiHrapSK93B9zOGwhLw/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/a9EFiHrapSK93B9zOGwhLw/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/a9EFiHrapSK93B9zOGwhLw/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/a9EFiHrapSK93B9zOGwhLw/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/a9EFiHrapSK93B9zOGwhLw/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/a9EFiHrapSK93B9zOGwhLw/258s.jpg 2.87x",http://www.yelp.com/biz/starbucks-san-francisco-135?osq=starbucks
"<span class=""highlighted"">Starbucks","1 Letterman Dr, San Francisco, CA 94129",(415) 441-1740,3.5,118,$,Coffee & Tea,"I just love this Starbucks! It is in such a beautiful garden setting, has plenty of seating (indoor and outdoor) and has nice staff/baristas. I don't review many Starbucks locations…","https://s3-media3.fl.yelpcdn.com/bphoto/mSH_a5Za1Xx_ZpSIZOQGfQ/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/mSH_a5Za1Xx_ZpSIZOQGfQ/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/mSH_a5Za1Xx_ZpSIZOQGfQ/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/mSH_a5Za1Xx_ZpSIZOQGfQ/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/mSH_a5Za1Xx_ZpSIZOQGfQ/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/mSH_a5Za1Xx_ZpSIZOQGfQ/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/mSH_a5Za1Xx_ZpSIZOQGfQ/258s.jpg 2.87x",http://www.yelp.com/biz/starbucks-san-francisco-274?osq=starbucks
"<span class=""highlighted"">Starbucks","2727 Mariposa St, San Francisco, CA 94110",(415) 552-2649,3.5,144,$,Coffee & Tea,Greatest SB IN SF! Big and open lots of windows and cozy seating A+ as far as Starbucks goes!,"https://s3-media4.fl.yelpcdn.com/bphoto/HAXwTigRdHqQ1wfhWbUg5w/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/HAXwTigRdHqQ1wfhWbUg5w/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/HAXwTigRdHqQ1wfhWbUg5w/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/HAXwTigRdHqQ1wfhWbUg5w/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/HAXwTigRdHqQ1wfhWbUg5w/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/HAXwTigRdHqQ1wfhWbUg5w/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/HAXwTigRdHqQ1wfhWbUg5w/258s.jpg 2.87x",http://www.yelp.com/biz/starbucks-san-francisco-118?osq=starbucks
"<span class=""highlighted"">Starbucks","199 Fremont St, San Francisco, CA 94105",(415) 615-0458,4.0,52,$,Coffee & Tea,This Starbucks is filled with very friendly people. I was very frustrated yesterday when I came into the Starbucks after 16 minutes of ordering from the mobile app and they didn't…,"https://s3-media4.fl.yelpcdn.com/bphoto/_sXicgM10yAR-XXL4rhPtA/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/_sXicgM10yAR-XXL4rhPtA/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/_sXicgM10yAR-XXL4rhPtA/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/_sXicgM10yAR-XXL4rhPtA/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/_sXicgM10yAR-XXL4rhPtA/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/_sXicgM10yAR-XXL4rhPtA/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/_sXicgM10yAR-XXL4rhPtA/258s.jpg 2.87x",http://www.yelp.com/biz/starbucks-san-francisco-141?osq=starbucks
