Name,Street Address,Phone,Rating,Reviews,Price Range,Category,Description,Image URL,Listing URL
Farma,"916 SE Hawthorne Blvd, Portland, OR 97214",(503) 206-4357,5.0,168,,Cannabis Clinics,"Great dispensary, with esp. helpful and knowledgeable budtenders. I was there to find some ","https://s3-media2.fl.yelpcdn.com/bphoto/4kjzUlooRML1F4ZlERVKFQ/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/4kjzUlooRML1F4ZlERVKFQ/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/4kjzUlooRML1F4ZlERVKFQ/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/4kjzUlooRML1F4ZlERVKFQ/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/4kjzUlooRML1F4ZlERVKFQ/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/4kjzUlooRML1F4ZlERVKFQ/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/4kjzUlooRML1F4ZlERVKFQ/258s.jpg 2.87x",http://www.yelp.com/biz/farma-portland?osq=cannabis
Serra,"220 SW 1st Ave, Portland, OR 97204",(971) 803-5580,4.5,25,$$,Cannabis Dispensaries,My entire experience i had at Serra was absolutely amazing! Think of a high end ,"https://s3-media3.fl.yelpcdn.com/bphoto/KdKVxD3pTaGFF4B_TQvxZQ/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/KdKVxD3pTaGFF4B_TQvxZQ/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/KdKVxD3pTaGFF4B_TQvxZQ/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/KdKVxD3pTaGFF4B_TQvxZQ/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/KdKVxD3pTaGFF4B_TQvxZQ/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/KdKVxD3pTaGFF4B_TQvxZQ/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/KdKVxD3pTaGFF4B_TQvxZQ/258s.jpg 2.87x",http://www.yelp.com/biz/serra-portland-3?osq=cannabis
"Zion <span class=""highlighted"">Cannabis","2331 SW 6th Ave, Portland, OR 97201",(971) 255-1758,4.5,27,,Cannabis Clinics,Easily the best ,"https://s3-media3.fl.yelpcdn.com/bphoto/etLJyIX-BLGuq0zfbMjODA/90s.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/etLJyIX-BLGuq0zfbMjODA/180s.jpg 2.00x,https://s3-media3.fl.yelpcdn.com/bphoto/etLJyIX-BLGuq0zfbMjODA/ms.jpg 1.11x,https://s3-media3.fl.yelpcdn.com/bphoto/etLJyIX-BLGuq0zfbMjODA/120s.jpg 1.33x,https://s3-media3.fl.yelpcdn.com/bphoto/etLJyIX-BLGuq0zfbMjODA/168s.jpg 1.87x,https://s3-media3.fl.yelpcdn.com/bphoto/etLJyIX-BLGuq0zfbMjODA/ls.jpg 2.78x,https://s3-media3.fl.yelpcdn.com/bphoto/etLJyIX-BLGuq0zfbMjODA/258s.jpg 2.87x",http://www.yelp.com/biz/zion-cannabis-portland?osq=cannabis
Oregon’s Finest,"1327 NW Kearney St, Portland, OR 97209",(503) 239-1150,4.0,28,$$$,Cannabis Dispensaries,"Not a local, so I was unfamiliar with the experience of ","https://s3-media2.fl.yelpcdn.com/bphoto/xCr_HoslVTu08pZ2aCzsjA/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/xCr_HoslVTu08pZ2aCzsjA/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/xCr_HoslVTu08pZ2aCzsjA/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/xCr_HoslVTu08pZ2aCzsjA/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/xCr_HoslVTu08pZ2aCzsjA/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/xCr_HoslVTu08pZ2aCzsjA/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/xCr_HoslVTu08pZ2aCzsjA/258s.jpg 2.87x",http://www.yelp.com/biz/oregons-finest-portland?osq=cannabis
Oregon Weedery,"2312 NW Kearney St, Portland, OR 97210",(503) 750-4594,4.5,21,,Cannabis Clinics,to make the ,"https://s3-media1.fl.yelpcdn.com/bphoto/Zie4oW7kK3gOuKOettFTAQ/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/Zie4oW7kK3gOuKOettFTAQ/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/Zie4oW7kK3gOuKOettFTAQ/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/Zie4oW7kK3gOuKOettFTAQ/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/Zie4oW7kK3gOuKOettFTAQ/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/Zie4oW7kK3gOuKOettFTAQ/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/Zie4oW7kK3gOuKOettFTAQ/258s.jpg 2.87x",http://www.yelp.com/biz/oregon-weedery-portland?osq=cannabis
Rose City Wellness Center,"214 NW Couch St, Portland, OR 97209",(503) 206-4781,4.5,14,,Cannabis Clinics,"Dean, did a great job! Great service, understanding what we wanted vs. needed. The dark Chocolate with Sea sale1 on 1 with a glass or two with wine....was great!!! Thanks","https://s3-media4.fl.yelpcdn.com/bphoto/hqcX-TnN-AqYaQACN76RnQ/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/hqcX-TnN-AqYaQACN76RnQ/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/hqcX-TnN-AqYaQACN76RnQ/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/hqcX-TnN-AqYaQACN76RnQ/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/hqcX-TnN-AqYaQACN76RnQ/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/hqcX-TnN-AqYaQACN76RnQ/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/hqcX-TnN-AqYaQACN76RnQ/258s.jpg 2.87x",http://www.yelp.com/biz/rose-city-wellness-center-portland-3?osq=cannabis
Oregon’s Finest,"736 NE Martin Luther King Junior Blvd, Portland, OR 97232",(503) 239-1150,4.5,16,$$,Cannabis Dispensaries,This is where I took my mother for her first time to buy legal ,"https://s3-media2.fl.yelpcdn.com/bphoto/sWItx0A7GBbD_AMhsPvhPQ/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/sWItx0A7GBbD_AMhsPvhPQ/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/sWItx0A7GBbD_AMhsPvhPQ/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/sWItx0A7GBbD_AMhsPvhPQ/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/sWItx0A7GBbD_AMhsPvhPQ/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/sWItx0A7GBbD_AMhsPvhPQ/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/sWItx0A7GBbD_AMhsPvhPQ/258s.jpg 2.87x",http://www.yelp.com/biz/oregons-finest-portland-4?osq=cannabis
MindRite,,(503) 477-4430,5.0,20,$$,Cannabis Dispensaries,"and is a very pleasant, helpful, and cheerful guy) have memorized my name and shown me a great time. The ","https://s3-media2.fl.yelpcdn.com/bphoto/tlN8m9ZyP7wO_HcPyOE4MQ/90s.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/tlN8m9ZyP7wO_HcPyOE4MQ/180s.jpg 2.00x,https://s3-media2.fl.yelpcdn.com/bphoto/tlN8m9ZyP7wO_HcPyOE4MQ/ms.jpg 1.11x,https://s3-media2.fl.yelpcdn.com/bphoto/tlN8m9ZyP7wO_HcPyOE4MQ/120s.jpg 1.33x,https://s3-media2.fl.yelpcdn.com/bphoto/tlN8m9ZyP7wO_HcPyOE4MQ/168s.jpg 1.87x,https://s3-media2.fl.yelpcdn.com/bphoto/tlN8m9ZyP7wO_HcPyOE4MQ/ls.jpg 2.78x,https://s3-media2.fl.yelpcdn.com/bphoto/tlN8m9ZyP7wO_HcPyOE4MQ/258s.jpg 2.87x",http://www.yelp.com/biz/mindrite-portland?osq=cannabis
Natural Wonders,"1402 SE Cesar E Chavez Blvd, Portland, OR 97214",(503) 928-1228,4.5,34,,Cannabis Dispensaries,"Being from out of state, it felt wrong being in a store to buy marijuana. Like I was breaking the law, but NOPE! As of early June it's also legal to buy low dose edibles in the state…","https://s3-media4.fl.yelpcdn.com/bphoto/hv_afwOcy4ZAhihd2h5KFQ/90s.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/hv_afwOcy4ZAhihd2h5KFQ/180s.jpg 2.00x,https://s3-media4.fl.yelpcdn.com/bphoto/hv_afwOcy4ZAhihd2h5KFQ/ms.jpg 1.11x,https://s3-media4.fl.yelpcdn.com/bphoto/hv_afwOcy4ZAhihd2h5KFQ/120s.jpg 1.33x,https://s3-media4.fl.yelpcdn.com/bphoto/hv_afwOcy4ZAhihd2h5KFQ/168s.jpg 1.87x,https://s3-media4.fl.yelpcdn.com/bphoto/hv_afwOcy4ZAhihd2h5KFQ/ls.jpg 2.78x,https://s3-media4.fl.yelpcdn.com/bphoto/hv_afwOcy4ZAhihd2h5KFQ/258s.jpg 2.87x",http://www.yelp.com/biz/natural-wonders-portland-3?osq=cannabis
The CDC,"10015 SW Hall Blvd, Portland, OR 97223",(503) 272-7890,5.0,19,,Cannabis Clinics,Super helpful for a ,"https://s3-media1.fl.yelpcdn.com/bphoto/xeD_GzTjVRrk63kwSMKzSA/90s.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/xeD_GzTjVRrk63kwSMKzSA/180s.jpg 2.00x,https://s3-media1.fl.yelpcdn.com/bphoto/xeD_GzTjVRrk63kwSMKzSA/ms.jpg 1.11x,https://s3-media1.fl.yelpcdn.com/bphoto/xeD_GzTjVRrk63kwSMKzSA/120s.jpg 1.33x,https://s3-media1.fl.yelpcdn.com/bphoto/xeD_GzTjVRrk63kwSMKzSA/168s.jpg 1.87x,https://s3-media1.fl.yelpcdn.com/bphoto/xeD_GzTjVRrk63kwSMKzSA/ls.jpg 2.78x,https://s3-media1.fl.yelpcdn.com/bphoto/xeD_GzTjVRrk63kwSMKzSA/258s.jpg 2.87x",http://www.yelp.com/biz/the-cdc-portland?osq=cannabis
