Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
420 Central,420 W Central Ave,Santa Ana,CA,92707,,,(714) 540-4420,"Professional Cannabis product buyerLearn more about 420 Central, Opens a popupSpecialtiesProfessional Cannabis product buyerHistoryEstablished in 2015.In October 2015 our collective were granted permit to operate a medical dispensary under Santa Ana City measure BB. We have built a 3,000 SF state of the art facility to provide a Safe, sophisticated and professional environment for our patients.Meet the Manager",,Yes,No,5.0 star rating,103 reviews,http://www.420central.org,,Mon 7:00 am - 11:00 pm<br>Tue 7:00 am - 11:00 pm<br>Wed 7:00 am - 11:00 pm<br>Thu 7:00 am - 11:00 pm<br>Fri 7:00 am - 11:00 pm<br>Sat 7:00 am - 11:00 pm<br>Sun 7:00 am - 11:00 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",33.713018,-117.873187,"https://s3-media3.fl.yelpcdn.com/bphoto/smpQofS59VgukPZOjRXGzQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/smpQofS59VgukPZOjRXGzQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/smpQofS59VgukPZOjRXGzQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/smpQofS59VgukPZOjRXGzQ/300s.jpg 1.20x",http://www.yelp.com/biz/420-central-santa-ana-2?osq=cannabis,,,,,,
Bud Man - Orange County,,Orange County,CA,92604,,,(844) 401-5651,"Bud Man is a Premium Medical Marijuana Dispensary Delivery Service in Orange County, California that acts in 100% compliance with all CA State Laws regarding the use and distribution …Learn more about Bud Man - Orange County, Opens a popupSpecialtiesBud Man is a Premium Medical Marijuana Dispensary Delivery Service in Orange County, California that acts in 100% compliance with all CA State Laws regarding the use and distribution of Medicinal Marijuana. Our patients will receive first-class cannabis products and top-notch customer service while enjoying our wide range of medical cannabis products that also include many healthy, organic, and vegan options.HistoryEstablished in 2014.Bud Man was established on June 9th, 2014 and has quickly become Orange County's #1 Premium Delivery Service and is widely recognized as the LEADER in the industry for the ELITE customer service and highly trained professional staff.Meet the Manager",,Yes,No,5.0 star rating,53 reviews,http://www.budmanOC.com,,Mon 10:00 am - 10:00 pm<br>Tue 10:00 am - 10:00 pm<br>Wed 10:00 am - 10:00 pm<br>Thu 10:00 am - 10:00 pm<br>Fri 10:00 am - 10:00 pm<br>Sat 10:00 am - 10:00 pm<br>Sun 10:00 am - 10:00 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics, Cannabis Clinics",,,"https://s3-media3.fl.yelpcdn.com/bphoto/8Q_h-Q2Olc3pz97DYLmtmA/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/8Q_h-Q2Olc3pz97DYLmtmA/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/8Q_h-Q2Olc3pz97DYLmtmA/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/8Q_h-Q2Olc3pz97DYLmtmA/300s.jpg 1.20x",http://www.yelp.com/biz/bud-man-orange-county-orange-county-8?osq=cannabis,,,,,,
From the Earth Marijuana Dispensary - Santa Ana,3023 South Orange Ave,Santa Ana,CA,92707,,,(657) 444-7336,"Welcome to From the Earth, we are a fully city and state licensed collective that operates legally within the city limits of Santa Ana (measure BB compliant). We have the largest …Learn more about From the Earth Marijuana Dispensary - Santa Ana, Opens a popupSpecialtiesWelcome to From the Earth, we are a fully city and state licensed collective that operates legally within the city limits of Santa Ana (measure BB compliant). We have the largest selection of meds in Orange County with over a 1000 items in our collective ranging from flower, concentrates, tinctures, topicals, accessories, vape pens, and edibles. We are different then other collectives as we have tried to enhance the patient experience. Everything in our collective was custom built with patient experience in mind. We have 7 budtending flower stations fully stocked with flower so you are not reaching over another member for the same strain or waiting for a particular jar to be finished being used. We want your experience to be personal, intimate, informative, and, most importantly, we want you to walk out with the right meds without feeling rushed. We offer a large variety of products that are award winning and unique from other collectives.HistoryEstablished in 2015.We are a medical marijuana collective with over 5 years of experience in the industry. In 2015, the city of Santa Ana began a permitting to process to legitimize the MMJ industry within city limits. Our collective obtained one of the permits to operate legally and, therefore, are able to provide legal and safe access of medical marijuana to our members.Meet the Manager",,Yes,No,4.5 star rating,75 reviews,http://www.fteoc.com,,Mon 7:00 am - 11:00 pm<br>Tue 7:00 am - 11:00 pm<br>Wed 7:00 am - 11:00 pm<br>Thu 7:00 am - 11:00 pm<br>Fri 7:00 am - 11:00 pm<br>Sat 7:00 am - 11:00 pm<br>Sun 7:00 am - 11:00 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",33.706457,-117.864691,"https://s3-media2.fl.yelpcdn.com/bphoto/cehjOqD-neoizFkDYb05TA/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/cehjOqD-neoizFkDYb05TA/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/cehjOqD-neoizFkDYb05TA/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/cehjOqD-neoizFkDYb05TA/300s.jpg 1.20x",http://www.yelp.com/biz/from-the-earth-marijuana-dispensary-santa-ana-santa-ana?osq=cannabis,,,,,,
Bud & Bloom,1327 E St Gertrude Pl,Santa Ana,CA,92705,,,(714) 576-2150,"We are Orange County's premier and only upscale 21+ dispensary. Specializing in high quality flowers, edibles, concentrates, and vape cartridges. We bring hospitality to the cannabis …Learn more about Bud & Bloom, Opens a popupSpecialtiesWe are Orange County's premier and only upscale 21+ dispensary. Specializing in high quality flowers, edibles, concentrates, and vape cartridges. We bring hospitality to the cannabis industry, creating a truly welcoming and unique experience. If you are interested in experiencing a thoughtful take on medical cannabis, then visit our team at Bud and Bloom!HistoryEstablished in 2016.Established in 2016 under the City of Santa Ana's Measure BB, Bud and Bloom provides, safe and legal cannabis products to patients- all in a contemporary setting. We had an official grand opening on Black Friday, 2016.",,Yes,No,5.0 star rating,78 reviews,http://budandbloomoc.com,Moderate,Mon 10:00 am - 8:00 pm<br>Tue 10:00 am - 8:00 pm<br>Wed 10:00 am - 8:00 pm<br>Thu 10:00 am - 8:00 pm<br>Fri 10:00 am - 8:00 pm<br>Sat 10:00 am - 8:00 pm<br>Sun 11:00 am - 7:00 pm<br>,,,,Yes,,Private Lot,Yes,,,,,,,,,,,,,,,,Yes,,,No,"Cannabis Dispensaries, Cannabis Clinics, Cannabis Dispensaries, Cannabis Clinics",33.719851,-117.852724,"https://s3-media3.fl.yelpcdn.com/bphoto/J8ikUuKTP51_jmHO7DDBKA/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/J8ikUuKTP51_jmHO7DDBKA/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/J8ikUuKTP51_jmHO7DDBKA/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/J8ikUuKTP51_jmHO7DDBKA/300s.jpg 1.20x",http://www.yelp.com/biz/bud-and-bloom-santa-ana-2?osq=cannabis,,,,,,
The Joint Santa Ana,1325 E St Andrew Pl,Santa Ana,CA,92705,,,(714) 845-3420,"Here at 'The Joint Santa Ana"", we take pride in our customer service, our quality of our product, and the overall visits for all of our patients. We have one of the largest ranges of …Learn more about The Joint Santa Ana, Opens a popupSpecialtiesHere at 'The Joint Santa Ana"", we take pride in our customer service, our quality of our product, and the overall visits for all of our patients. We have one of the largest ranges of flower from Top Shelf to Private Reserve to Value deals. Also, a wide range of concentrates and waxes! The Joint carries some of the best and newest products in the industry. Not to mention all of the incredible edible choices we offer. We have one of the top customer service rating on weedmaps, and hope to have the same feed back on yelp.HistoryEstablished in 2015.We are a brand new business that started December 16, 2015.We are fully licensed and apply to all regulation and laws.",,Yes,No,4.5 star rating,80 reviews,,,Mon 9:00 am - 11:00 pm<br>Tue 9:00 am - 11:00 pm<br>Wed 9:00 am - 11:00 pm<br>Thu 9:00 am - 11:00 pm<br>Fri 9:00 am - 11:00 pm<br>Sat 9:00 am - 11:00 pm<br>Sun 9:00 am - 11:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",,,"https://s3-media4.fl.yelpcdn.com/bphoto/GgU3Jb5j-kxheo0makOGSQ/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/GgU3Jb5j-kxheo0makOGSQ/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/GgU3Jb5j-kxheo0makOGSQ/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/GgU3Jb5j-kxheo0makOGSQ/300s.jpg 1.20x",http://www.yelp.com/biz/the-joint-santa-ana-santa-ana-3?osq=cannabis,,,,,,
South Coast Safe Access,1900 Warner Ave Unit A,Santa Ana,CA,92705,,,(949) 474-7272,"SCSA / South Coast Safe Access is Orange County first licensed Medical Marijuana Dispensary. We are in compliance w/ Prop215 (NOT Prop 64.)Conveniently located off 55 Freeway, …Learn more about South Coast Safe Access, Opens a popupSpecialtiesSCSA / South Coast Safe Access is Orange County first licensed Medical Marijuana Dispensary. We are in compliance w/ Prop215 (NOT Prop 64.)Conveniently located off 55 Freeway, Major cross streets are Redhill Ave. and Warner Ave.SCSA strives to be Orange County area's largest most reliable and highest quality dispensary, Matching personal customer service with excellent product knowledge, SCSA offers their pharmaceutical grade cannabis to help patients, 21 years of age and up, attain an improved quality of life.History:SCSA opened August 2015, with a mission to offer Orange County patients the best medical marijuana dispensary service coupled with high-quality cannabis products. SCSA wanted to create a place where they could form relationships with their patients, to understand their health needs and physical ailments so they could provide them with consistent and lasting marijuana treatment. Dedicated to this mission of providing a comfortable and professional experience, coupled with top-quality medical marijuana products, SCSA has grown to serve thousands of patients each month, with most of them returning to SCSA as their preferred Orange County medical marijuana dispensary.Staff:SCSA prides themselves on forming unique one-on-one relationships with their patients, as well as offering a discreteness and quality of product at very low prices...HistoryEstablished in 2015.South Coast Safe Access Orange County first licensed medical Marijuana Dispensary........",,Yes,No,4.5 star rating,65 reviews,https://weedmaps.com/dispensaries/scsa-south-coast-safe-access,,Mon 8:00 am - 11:00 pm<br>Tue 8:00 am - 11:00 pm<br>Wed 8:00 am - 11:00 pm<br>Thu 8:00 am - 11:00 pm<br>Fri 8:00 am - 11:00 pm<br>Sat 8:00 am - 11:00 pm<br>Sun 8:00 am - 11:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",33.712917,-117.840961,"https://s3-media3.fl.yelpcdn.com/bphoto/oo52l4Qjf1Ja85fA_BJOJQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/oo52l4Qjf1Ja85fA_BJOJQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/oo52l4Qjf1Ja85fA_BJOJQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/oo52l4Qjf1Ja85fA_BJOJQ/300s.jpg 1.20x",http://www.yelp.com/biz/south-coast-safe-access-santa-ana-2?osq=cannabis,,,,,,
Sky High,419 W 17th St,Santa Ana,CA,92706,,,(714) 230-5075,"Medical marijuana!We carry all sorts of goods from edibles to concentrates to whatever you are looking for!Learn more about Sky High, Opens a popupSpecialtiesMedical marijuana!We carry all sorts of goods from edibles to concentrates to whatever you are looking for!HistoryEstablished in 2014.Opened in 2014, Sky High Holistic has been dedicated to providing patients with the finest medical grade cannabis at the lowest donation prices around!Meet the Manager",,Yes,No,4.5 star rating,32 reviews,,,Mon 10:00 am - 2:00 am<br>Tue 10:00 am - 2:00 am<br>Wed 10:00 am - 2:00 am<br>Thu 10:00 am - 3:00 am<br>Fri 10:00 am - 3:00 am<br>Sat 10:00 am - 2:00 am<br>Sun 10:00 am - 3:00 am<br>,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",33.760322,-117.872310,"https://s3-media3.fl.yelpcdn.com/bphoto/dU358h_HUg7bcoB3byNHiA/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/dU358h_HUg7bcoB3byNHiA/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/dU358h_HUg7bcoB3byNHiA/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/dU358h_HUg7bcoB3byNHiA/300s.jpg 1.20x",http://www.yelp.com/biz/sky-high-santa-ana?osq=cannabis,,,,,,
Tops Cannabis - Costa Mesa,,Costa Mesa,CA,92627,,,(714) 462-4806,"Tops Cannabis provides medical marijuana delivery in Costa Mesa, Corona Del Mar, Newport Beach, Newport Coast and Balboa Island in Orange County. Our portable marijuana dispensary …Learn more about Tops Cannabis - Costa Mesa, Opens a popupSpecialtiesTops Cannabis provides medical marijuana delivery in Costa Mesa, Corona Del Mar, Newport Beach, Newport Coast and Balboa Island in Orange County. Our portable marijuana dispensary offers discreet in home patient care for all of your weed needs. Cannabis delivery in Orange County is quick, convenient and professional with Tops Cannabis. Going to a local cannabis clinic can be a hassle and Tops Cannabis eliminates that by coming to you! We offer a variety of weed strains including Sativa, Indica and Hybrids. Tops Cannabis carries a wide selection of edibles, wax, shatter, THC cartridges, CBD tinctures and topicals, along with much more. Call today to get a cannabis delivery in the comfort of your own home with one of our professional budtenders.",,Yes,No,5.0 star rating,45 reviews,https://topscannabis.com,,Mon 10:00 am - 9:00 pm<br>Tue 10:00 am - 9:00 pm<br>Wed 10:00 am - 9:00 pm<br>Thu 10:00 am - 9:00 pm<br>Fri 10:00 am - 9:00 pm<br>Sat 10:00 am - 9:00 pm<br>Sun 10:00 am - 9:00 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,"Cannabis Clinics, Cannabis Clinics",33.649625,-117.919042,"https://s3-media2.fl.yelpcdn.com/bphoto/LR94hnoGWyEAj-HuF3ANXQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/LR94hnoGWyEAj-HuF3ANXQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/LR94hnoGWyEAj-HuF3ANXQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/LR94hnoGWyEAj-HuF3ANXQ/300s.jpg 1.20x",http://www.yelp.com/biz/tops-cannabis-costa-mesa-costa-mesa?osq=cannabis,,,,,,
Aloha Community Collective Association,801 Baker St Unit E,Costa Mesa,CA,92701,,,(714) 834-1234,"Alternative Medicine, Health and Wellness, TherapyLearn more about Aloha Community Collective Association, Opens a popupSpecialtiesAlternative Medicine, Health and Wellness, TherapyHistoryEstablished in 2009.Aloha strives to provide top quality products and services to patients.Must have a valid recommendation and ID.",,Yes,No,4.0 star rating,23 reviews,http://alohacca.com/,,Mon 10:00 am - 8:00 pm<br>Tue 10:00 am - 8:00 pm<br>Wed 10:00 am - 8:00 pm<br>Thu 10:00 am - 8:00 pm<br>Fri 10:00 am - 8:00 pm<br>Sat 10:00 am - 8:00 pm<br>Sun 10:00 am - 8:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",33.679796,-117.892076,"https://s3-media2.fl.yelpcdn.com/bphoto/-dAIde1USKbEltL9yg9NFQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/-dAIde1USKbEltL9yg9NFQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/-dAIde1USKbEltL9yg9NFQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/-dAIde1USKbEltL9yg9NFQ/300s.jpg 1.20x",http://www.yelp.com/biz/aloha-community-collective-association-costa-mesa-2?osq=cannabis,,,,,,
Green on Green Delivery,1515 E Katella Ave,Anaheim,CA,92805,,,(714) 499-5590,"Green on Green provides medical marijuana delivery in Anaheim, Fullerton, Santa Ana, Brea, Placentia, Orange and Tustin in Orange County. Our portable marijuana dispensary offers …Learn more about Green on Green Delivery, Opens a popupSpecialtiesGreen on Green provides medical marijuana delivery in Anaheim, Fullerton, Santa Ana, Brea, Placentia, Orange and Tustin in Orange County. Our portable marijuana dispensary offers discreet in home patient care for all of your weed needs. Cannabis delivery in Orange County is quick, convenient and professional with Green on Green. Going to a local cannabis clinic can be a hassle and Green on Green eliminates that by coming to you! We offer a variety of weed strains including Sativa, Indica and Hybrids. Green on Green carries a wide selection of edibles, wax, shatter, THC cartridges, CBD tinctures and topicals, along with much more. Call today to get a cannabis delivery in the comfort of your own home with one of our professional budtenders.HistoryEstablished in 2016.Early 2016, we knew the values of medicinal marijuana and we knew that we needed to get in business to serve patients in Orange County.Meet the Manager",,Yes,No,4.5 star rating,18 reviews,,Moderate,Mon 9:00 am - 2:00 am<br>Tue 9:00 am - 2:00 am<br>Wed 9:00 am - 2:00 am<br>Thu 9:00 am - 2:00 am<br>Fri 9:00 am - 2:00 am<br>Sat 9:00 am - 2:00 am<br>Sun 9:00 am - 2:00 am<br>,,,,Yes,,,No,,,,,,,,,,,,,,,,,,,Yes,"Cannabis Dispensaries, Cannabis Clinics, Cannabis Dispensaries, Cannabis Clinics",,,"https://s3-media2.fl.yelpcdn.com/bphoto/Rv1LHCTa6eWWqzPZkqVDvg/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/Rv1LHCTa6eWWqzPZkqVDvg/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/Rv1LHCTa6eWWqzPZkqVDvg/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/Rv1LHCTa6eWWqzPZkqVDvg/300s.jpg 1.20x",http://www.yelp.com/biz/green-on-green-delivery-anaheim?osq=cannabis,,,,,,
