Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link,Email from Web,Facebook URL,Twitter URL,Google Plus URL
Essence Cannabis Dispensary,4300 E Sunset Rd Ste A3,Henderson,NV,89014,,,(702) 978-7687,"Established out of passion for the medicinal benefits of cannabis and with an unparalleled commitment to patient care, Essence broke ground mid 2015 on an almost 55,000 square foot …Learn more about Essence Cannabis Dispensary, Opens a popupSpecialtiesEstablished out of passion for the medicinal benefits of cannabis and with an unparalleled commitment to patient care, Essence broke ground mid 2015 on an almost 55,000 square foot state-of-the-art, pharmaceutical grade cultivation and production facility, with the goal of producing the highest quality medicine at the fairest price possible. Through the opening of the their three dispensaries, including the only dispensary on the famed Las Vegas Strip, in early 2016, Essence began their mission to:Providing the purest and widest selection of quality cannabis products to patients Providing the best individualized service and product to every patientProtecting patients by providing a safe and legal dispensary for medical marijuana - as an alternative to purchasing your medicine on the illegal drug marketEncouraging the healing of mind, body and soul through the promotion of marijuana as nature's ultimate healing elixirHistoryEstablished in 2015.Established out of passion for the medicinal benefits of cannabis and with an unparalleled commitment to patient care, Essence broke ground mid 2015 on an almost 55,000 square foot state-of-the-art, pharmaceutical grade cultivation and production facility, with the goal of producing the highest quality medicine at the fairest price possible. Through the opening of the their three dispensaries, including the only dispensary on the famed Las Vegas Strip, in early 2016, Essence began their mission to:Providing the purest and widest selection of quality cannabis products to patients Providing the best individualized service and product to every patientProtecting patients by providing a safe and legal dispensary for medical marijuana - as an alternative to purchasing your medicine on the illegal drug marketEncouraging the healing of mind, body and soul through the promotion of marijuana as nature's ultimate healing elixir",,Yes,No,4.5 star rating,61 reviews,https://essencevegas.com/locations/henderson/,Moderate,Mon 8:00 am - 11:00 pm<br>Tue 8:00 am - 11:00 pm<br>Wed 8:00 am - 11:00 pm<br>Thu 8:00 am - 11:00 pm<br>Fri 8:00 am - 11:00 pm<br>Sat 8:00 am - 11:00 pm<br>Sun 8:00 am - 11:00 pm<br>,,,,No,,Private Lot,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",36.072389,-115.079746,"https://s3-media4.fl.yelpcdn.com/bphoto/OlNZy36lQ7w1HdyGXyvnGw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/OlNZy36lQ7w1HdyGXyvnGw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/OlNZy36lQ7w1HdyGXyvnGw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/OlNZy36lQ7w1HdyGXyvnGw/300s.jpg 1.20x",http://www.yelp.com/biz/essence-cannabis-dispensary-henderson-2?osq=cannabis,,,,,,,,,,
The+Source,9480 South Eastern Ave Ste 185,Henderson,NV,89123,,,(702) 708-2222,"Our mission is to provide a safe, clean, comfortable, respectful and compassionate environment, where our patients can easily and affordably obtain a host of wellness products and …Learn more about The+Source, Opens a popupSpecialtiesOur mission is to provide a safe, clean, comfortable, respectful and compassionate environment, where our patients can easily and affordably obtain a host of wellness products and services. We are dedicated to helping our patients through the healing process with a variety of wellness programs, education and advocacy, positive encouragement, mutual respect and a safe environment. All activities will be conducted in compliance with Nevada law.All Out of State and Out of Country Medical Patients welcome! All Medical Patients must show at every visit a legible and valid ID or Passport with their medical card/letter to purchase. All Retail (Recreational) Customers must show at every visit a legible and valid ID or Passport. Unfortunately, no photo copies or mobile devices will be accepted.",,Yes,No,4.0 star rating,33 reviews,http://thesourcenv.com,Moderate,Mon 9:00 am - 10:00 pm<br>Tue 9:00 am - 10:00 pm<br>Wed 9:00 am - 10:00 pm<br>Thu 9:00 am - 10:00 pm<br>Fri 9:00 am - 10:00 pm<br>Sat 9:00 am - 10:00 pm<br>Sun 9:00 am - 8:00 pm<br>,,,,No,,Street,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",36.016951,-115.117129,"https://s3-media1.fl.yelpcdn.com/bphoto/Xuf62mE-f5tbdRYyY01wlA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/Xuf62mE-f5tbdRYyY01wlA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/Xuf62mE-f5tbdRYyY01wlA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/Xuf62mE-f5tbdRYyY01wlA/300s.jpg 1.20x",http://www.yelp.com/biz/the-source-henderson-3?osq=cannabis,,,,,,,,,,
The Dispensary,50 N Gibson Rd Ste 170,Henderson,NV,89014,,,(702) 827-4987,"Medical/Recreational- The Dispensary NV is focused on helping Henderson patients by providing the highest standard of service, selection, quality and price for Nevada grown …Learn more about The Dispensary, Opens a popupSpecialtiesMedical/Recreational- The Dispensary NV is focused on helping Henderson patients by providing the highest standard of service, selection, quality and price for Nevada grown marijuana. They bring the freshest flowers curated by Ryan the CannaSomma and their team of marijuana connoisseurs and 420 cicerones. The Dispensary NV - Henderson offers something for everyone in the cannabis community, with a fully stocked menu of concentrates.Their staff is comprised of skilled marijuana enthusiasts with diverse backgrounds that share a common love for mary jane. The Henderson budtenders of The Dispensary NV put kindness above all, warmly welcoming all who pass through their doors. The Dispensary NV's impressive menu and stellar service has attracted cannabis advocate Tommy Chong to their storefront, who's been known to hangout and chat with customers at this Henderson location. Their goal is to remold the opinions surrounding marijuana through education, professionalism and most of all their compassionate service. The Dispensary NV - Henderson hopes to accomplish those for the benefit of the entire cannabis community.HistoryEstablished in 2016.The Dispensary is focused on helping people by providing the highest standards of service, selection, quality ​and price for Nevada-grown cannabis.The Dispensary NV is a Las Vegas Medical Cannabis ShopThe Dispensary NV is dedicated to providing the highest standard of service, selection, quality and price for Nevada grown marijuana. Their dispensary is home to the freshest flowers curated by Ryan the Canna Somma and their staff of marijuana connoisseurs and cicerones. The Dispensary NV - Las Vegas team is made up of cannabis enthusiasts that are well educated about marijuana and the medical benefits it holds. Their budtenders warmly welcome all patients that walk through their doors and put kindness and stellar customer service above all else. The Dispensary NV has also made it their goal to aid in the normalization and reverse ill-informed stigmas surrounding cannabis through education, professionalism, and, most of all, their compassionate service.Meet the Manager",,Yes,No,4.0 star rating,12 reviews,http://www.TheDispensaryNV.com,Moderate,Mon 8:00 am - 11:00 pm<br>Tue 8:00 am - 11:00 pm<br>Wed 8:00 am - 11:00 pm<br>Thu 8:00 am - 11:00 pm<br>Fri 8:00 am - 11:00 pm<br>Sat 8:00 am - 11:00 pm<br>Sun 8:00 am - 11:00 pm<br>,,,,No,,,Yes,,,,,,,,,,,,,,,,No,,,,"Cannabis Dispensaries, Cannabis Dispensaries",,,"https://s3-media3.fl.yelpcdn.com/bphoto/0yjbIs2k016HNLJukO5rOQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/0yjbIs2k016HNLJukO5rOQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/0yjbIs2k016HNLJukO5rOQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/0yjbIs2k016HNLJukO5rOQ/300s.jpg 1.20x",http://www.yelp.com/biz/the-dispensary-henderson-2?osq=cannabis,,,,,,,,,,
Jenny’s Dispensary - Henderson,10420 S Eastern Ave,Henderson,NV,89052,,Anthem,(702) 718-0420,,,Yes,No,3.5 star rating,7 reviews,http://www.jennysdispensary.com,Moderate,Mon 12:00 pm - 8:00 pm<br>Tue 12:00 pm - 8:00 pm<br>Wed 12:00 pm - 8:00 pm<br>Thu 12:00 pm - 8:00 pm<br>Fri 12:00 pm - 8:00 pm<br>Sat 12:00 pm - 8:00 pm<br>Sun 12:00 pm - 8:00 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",36.002051,-115.106461,"https://s3-media3.fl.yelpcdn.com/bphoto/EQDQMeC53WlNmz_JPwHmQQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/EQDQMeC53WlNmz_JPwHmQQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/EQDQMeC53WlNmz_JPwHmQQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/EQDQMeC53WlNmz_JPwHmQQ/300s.jpg 1.20x",http://www.yelp.com/biz/jennys-dispensary-henderson-henderson?osq=cannabis,,,,,,,,,,
L T H,2764 N Green Valley Pkwy,Henderson,NV,89014,,,(702) 472-9272,,L T H C.,Yes,No,1.0 star rating,4 reviews,http://www.l-t-h.club,,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",36.070167,-115.079949,"https://s3-media1.fl.yelpcdn.com/bphoto/xeQ7rtHgcNEAsh8iurkJIw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/xeQ7rtHgcNEAsh8iurkJIw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/xeQ7rtHgcNEAsh8iurkJIw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/xeQ7rtHgcNEAsh8iurkJIw/300s.jpg 1.20x",http://www.yelp.com/biz/l-t-h-henderson?osq=cannabis,,,,,,,,,,
Nevada Medical Marijuana,3195 St Rose Pkwy Ste 212,Henderson,NV,89052,,"Anthem, Southeast",(702) 298-4820,"Nevada Medical Marijuana is a medical marijuana dispensary with locations in Henderson and Laughlin.Learn more about Nevada Medical Marijuana, Opens a popupSpecialtiesNevada Medical Marijuana is a medical marijuana dispensary with locations in Henderson and Laughlin.",,Yes,No,4.0 star rating,16 reviews,http://www.nevadamedicalmarijuana.com/locations-henderson.html,Moderate,Mon 10:00 am - 7:00 pm<br>Tue 10:00 am - 7:00 pm<br>Wed 10:00 am - 7:00 pm<br>Thu 10:00 am - 7:00 pm<br>Fri 10:00 am - 7:00 pm<br>Sat 10:00 am - 7:00 pm<br>Sun 10:00 am - 7:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",35.998047,-115.124404,"https://s3-media4.fl.yelpcdn.com/bphoto/-bZ3hpM2-FktM2q-omPfQw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/-bZ3hpM2-FktM2q-omPfQw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/-bZ3hpM2-FktM2q-omPfQw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/-bZ3hpM2-FktM2q-omPfQw/300s.jpg 1.20x",http://www.yelp.com/biz/nevada-medical-marijuana-henderson?osq=cannabis,,,,,,,,,,
LV Wellness Center,601 Whitney Ranch Dr Ste 13,Henderson,NV,89014,,,(702) 420-0420,,Doctor R.,Yes,No,3.0 star rating,2 reviews,http://www.DrReefer.Vegas,,Mon 9:00 am - 5:00 pm<br>Tue 9:00 am - 5:00 pm<br>Wed 9:00 am - 5:00 pm<br>Thu 9:00 am - 5:00 pm<br>Fri 9:00 am - 5:00 pm<br>Sat 9:00 am - 5:00 pm<br>Sun Closed<br>,,,,Yes,,"Street, Private Lot",Yes,,,,,,,,,,,,,,,,Yes,,,Yes,"Cannabis Clinics, Medical Centers, Cannabis Dispensaries, Cannabis Clinics, Medical Centers, Cannabis Dispensaries",,,"https://s3-media3.fl.yelpcdn.com/bphoto/g2Wj6wX9iuTET1cLOAWXpQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/g2Wj6wX9iuTET1cLOAWXpQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/g2Wj6wX9iuTET1cLOAWXpQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/g2Wj6wX9iuTET1cLOAWXpQ/300s.jpg 1.20x",http://www.yelp.com/biz/lv-wellness-center-henderson-2?osq=cannabis,,,,,,,,,,
DrReefer,601 Whitney Ranch Dr,Henderson,NV,89014,,,(702) 428-0000,,Dr. R.,Yes,No,4.0 star rating,5 reviews,http://www.DrReefer.net,,Mon 9:00 am - 5:00 pm<br>Tue 9:00 am - 5:00 pm<br>Wed 9:00 am - 5:00 pm<br>Thu 9:00 am - 5:00 pm<br>Fri 9:00 am - 5:00 pm<br>Sat 9:00 am - 5:00 pm<br>Sun Closed<br>,,,,Yes,,"Street, Private Lot",Yes,,,,,,,,,,,,,,,,Yes,,,Yes,"Cannabis Clinics, Naturopathic/Holistic, Cannabis Dispensaries, Cannabis Clinics, Naturopathic/Holistic, Cannabis Dispensaries",,,"https://s3-media1.fl.yelpcdn.com/bphoto/vvXXtx94FTu8Z8d5VlLjkg/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/vvXXtx94FTu8Z8d5VlLjkg/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/vvXXtx94FTu8Z8d5VlLjkg/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/vvXXtx94FTu8Z8d5VlLjkg/300s.jpg 1.20x",http://www.yelp.com/biz/drreefer-henderson-2?osq=cannabis,,,,,,,,,,
Las Vegas Emerald Essence,,Las Vegas,NV,89109,,The Strip,(702) 628-1492,,,Yes,No,5.0 star rating,8 reviews,http://lvee.info,,Mon 12:00 pm - 8:00 pm<br>Tue Closed<br>Wed 12:00 pm - 8:00 pm<br>Thu 12:00 pm - 8:00 pm<br>Fri 12:00 pm - 8:00 pm<br>Sat 12:00 pm - 8:00 pm<br>Sun Closed<br>,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",,,"https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/300s.jpg 1.20x",http://www.yelp.com/biz/las-vegas-emerald-essence-las-vegas-2?osq=cannabis,,,,,,,,,,
Top Notch THC,5630 Stephanie St,Las Vegas,NV,89122,,Southeast,(702) 418-0420,,,Yes,No,4.0 star rating,21 reviews,http://topnotchthc.com,Moderate,Mon 9:00 am - 12:00 am<br>Tue 9:00 am - 12:00 am<br>Wed 9:00 am - 12:00 am<br>Thu 9:00 am - 12:00 am<br>Fri 9:00 am - 12:00 am<br>Sat 9:00 am - 12:00 am<br>Sun 9:00 am - 12:00 am<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",36.087264,-115.045510,"https://s3-media2.fl.yelpcdn.com/bphoto/WoH9xRiHzZWjfwt6Acopzw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/WoH9xRiHzZWjfwt6Acopzw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/WoH9xRiHzZWjfwt6Acopzw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/WoH9xRiHzZWjfwt6Acopzw/300s.jpg 1.20x",http://www.yelp.com/biz/top-notch-thc-las-vegas?osq=cannabis,,,,,,,,,,
