Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link,Email from Web,Facebook URL,Twitter URL,Google Plus URL
The Dispensary,100 W Plumb Ln,Reno,NV,89509,,,(775) 505-2750,,,Yes,No,4.0 star rating,19 reviews,http://www.thedispensarynv.com,Moderate,Mon 8:00 am - 10:00 pm<br>Tue 8:00 am - 10:00 pm<br>Wed 8:00 am - 10:00 pm<br>Thu 8:00 am - 10:00 pm<br>Fri 8:00 am - 11:00 pm<br>Sat 8:00 am - 11:00 pm<br>Sun 8:00 am - 10:00 pm<br>,,,,No,,Private Lot,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",39.505389,-119.805239,"https://s3-media1.fl.yelpcdn.com/bphoto/rRtDnm4fe5n20fh_W9LvjA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/rRtDnm4fe5n20fh_W9LvjA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/rRtDnm4fe5n20fh_W9LvjA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/rRtDnm4fe5n20fh_W9LvjA/300s.jpg 1.20x",http://www.yelp.com/biz/the-dispensary-reno?osq=cannabis,,,,,,,,,,
Mynt Cannabis Dispensary,132 E 2nd St,Reno,NV,89501,,Downtown,(775) 538-6968,"Mynt Cannabis is a leading cannabis retail dispensary company. At Mynt Cannabis dispensary locations, patients can find a broad spectrum of options available including flowers, …Learn more about Mynt Cannabis Dispensary, Opens a popupSpecialtiesMynt Cannabis is a leading cannabis retail dispensary company. At Mynt Cannabis dispensary locations, patients can find a broad spectrum of options available including flowers, edibles, topicals, vape oils and concentrates made from the highest quality cannabis.HistoryEstablished in 2017.MYNT Cannabis first opened its doors as a medical marijuana dispensary on March 9th, 2017. On July 1st, 2017, MYNT made the transition to sell recreational cannabis.Meet the Manager",,Yes,No,3.0 star rating,16 reviews,http://www.myntcannabis.com,Moderate,Mon 9:00 am - 8:00 pm<br>Tue 9:00 am - 8:00 pm<br>Wed 9:00 am - 8:00 pm<br>Thu 9:00 am - 8:00 pm<br>Fri 9:00 am - 12:00 am<br>Sat 9:00 am - 12:00 am<br>Sun 9:00 am - 8:00 pm<br>,,,,No,,"Street, Private Lot",Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Fashion, Personal Injury Law, Criminal Defense Law, Medical Spas, Laser Hair Removal, Weight Loss Centers, Cannabis Dispensaries",,,"https://s3-media2.fl.yelpcdn.com/bphoto/zjEAvsMg_OuxDQwn1Euqcw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/zjEAvsMg_OuxDQwn1Euqcw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/zjEAvsMg_OuxDQwn1Euqcw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/zjEAvsMg_OuxDQwn1Euqcw/300s.jpg 1.20x",http://www.yelp.com/biz/mynt-cannabis-dispensary-reno?osq=cannabis,,,,,,,info@myntcannabis.com,,,
Blum Reno,1085 S Virginia St Ste A,Reno,NV,89502,,Midtown,(775) 420-2586,"We offer a variety of products from flower to concentrates, edibles to topicals and everything in between! We service medical patients as well as recreational users!Learn more about Blum Reno, Opens a popupSpecialtiesWe offer a variety of products from flower to concentrates, edibles to topicals and everything in between! We service medical patients as well as recreational users!HistoryEstablished in 2017.We opened on January 2, 2017 and have been cruising ever since. We spend our first six months only servicing medical patients. On July 1, 2017, Nevada set records on recreational sales. Our facility serves both communities!Meet the Manager",,Yes,No,3.5 star rating,22 reviews,http://letsblum.com,,Mon 9:00 am - 10:00 pm<br>Tue 9:00 am - 10:00 pm<br>Wed 9:00 am - 10:00 pm<br>Thu 9:00 am - 10:00 pm<br>Fri 9:00 am - 12:00 am<br>Sat 9:00 am - 12:00 am<br>Sun 9:00 am - 10:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",,,"https://s3-media2.fl.yelpcdn.com/bphoto/Q4V7GrxbqbqEh8pwIpff-w/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/Q4V7GrxbqbqEh8pwIpff-w/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/Q4V7GrxbqbqEh8pwIpff-w/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/Q4V7GrxbqbqEh8pwIpff-w/300s.jpg 1.20x",http://www.yelp.com/biz/blum-reno-reno?osq=cannabis,,,,,,,,,,
Silver State Relief,175 E Greg St,Reno,NV,89431,,Sparks,(775) 440-7777,"Medical Marijuana FlowerMedical Marijuana ConcentratesMedical Marijuana EdiblesCBD ProductsPre-Orders and DeliveriesLearn more about Silver State Relief, Opens a popupSpecialtiesMedical Marijuana FlowerMedical Marijuana ConcentratesMedical Marijuana EdiblesCBD ProductsPre-Orders and DeliveriesHistoryEstablished in 2015.Silver State Relief is a premier distributor of medical marijuana and marijuana products serving Northern Nevada. We have a highly controlled adaptive operation that will provide a broad range of high quality, fairly priced products. We bring legitimacy to the marijuana industry by acting with the highest level of integrity, strictly adhering to regulations and by promoting the clinical efficacy of medical marijuana.Silver State Relief also recommends",,Yes,No,4.0 star rating,27 reviews,http://silverstaterelief.com,,Mon 8:00 am - 7:00 pm<br>Tue 8:00 am - 7:00 pm<br>Wed 8:00 am - 7:00 pm<br>Thu 8:00 am - 7:00 pm<br>Fri 8:00 am - 7:00 pm<br>Sat 8:00 am - 7:00 pm<br>Sun 8:00 am - 7:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Medical Cannabis Referrals, Urgent Care, Medical Cannabis Referrals",39.521199,-119.741577,"https://s3-media4.fl.yelpcdn.com/bphoto/Ydh533PDvxWh2xCFlPE3aw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/Ydh533PDvxWh2xCFlPE3aw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/Ydh533PDvxWh2xCFlPE3aw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/Ydh533PDvxWh2xCFlPE3aw/300s.jpg 1.20x",http://www.yelp.com/biz/silver-state-relief-reno?osq=cannabis,,,,,,,info@silverstaterelief.com,,,
Sierra Wellness Connection,1605 E 2nd St Ste 103,Reno,NV,89502,,,(775) 473-9994,"Medical Cannabis DispensaryLearn more about Sierra Wellness Connection, Opens a popupSpecialtiesMedical Cannabis DispensaryHistoryEstablished in 2015.Our top priority is in patient care serving Reno-Sparks and surrounding areas with safe, dignified and well informed access to Grade A medical cannabis. To all of Nevada's medical cardholders and out of state patients as well.We have lab tested, local , Top Shelf medicine that can also be delivered directly to your doorstep.Meet the Manager",,Yes,No,3.5 star rating,14 reviews,http://sierrawell.com,Pricey,Mon 9:00 am - 9:00 pm<br>Tue 9:00 am - 9:00 pm<br>Wed 9:00 am - 9:00 pm<br>Thu 9:00 am - 9:00 pm<br>Fri 9:00 am - 9:00 pm<br>Sat 9:00 am - 9:00 pm<br>Sun 10:00 am - 6:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",,,"https://s3-media3.fl.yelpcdn.com/bphoto/7nM2Dkj7upqRG7wGVhqviQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/7nM2Dkj7upqRG7wGVhqviQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/7nM2Dkj7upqRG7wGVhqviQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/7nM2Dkj7upqRG7wGVhqviQ/300s.jpg 1.20x",http://www.yelp.com/biz/sierra-wellness-connection-reno-2?osq=cannabis,,,,,,,,,,
Elements Cannabis Center,3502 S Virginia St,Reno,NV,89502,,,(775) 378-2894,,,Yes,No,3.5 star rating,4 reviews,http://www.nvelements.com/,,Mon 10:00 am - 6:00 pm<br>Tue 10:00 am - 6:00 pm<br>Wed 10:00 am - 6:00 pm<br>Thu 10:00 am - 6:00 pm<br>Fri 10:00 am - 6:00 pm<br>Sat Closed<br>Sun Closed<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,"Cannabis Clinics, Cannabis Clinics",39.491816,-119.794093,"https://s3-media3.fl.yelpcdn.com/bphoto/MlYUo_yTJnGFFITsdfWDvg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/MlYUo_yTJnGFFITsdfWDvg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/MlYUo_yTJnGFFITsdfWDvg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/MlYUo_yTJnGFFITsdfWDvg/300s.jpg 1.20x",http://www.yelp.com/biz/elements-cannabis-center-reno-2?osq=cannabis,,,,,,,office@nvelements.com,,,
Great Basin Delivery,,Reno,NV,89523,,,(775) 843-5496,,,Yes,No,5.0 star rating,1 review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Clinics, Cannabis Clinics",39.544484,-119.950926,"https://s3-media1.fl.yelpcdn.com/bphoto/TzMvaFrfBrUNv6VFikt9PA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/TzMvaFrfBrUNv6VFikt9PA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/TzMvaFrfBrUNv6VFikt9PA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/TzMvaFrfBrUNv6VFikt9PA/300s.jpg 1.20x",http://www.yelp.com/biz/great-basin-delivery-reno?osq=cannabis,,,,,,,,,,
Reef Dispensaries,195 E Glendale Ave,Sparks,NV,89431,,Sparks,(775) 293-4643,,,Yes,No,4.0 star rating,8 reviews,http://reefdispensaries.com/locations/sparks-reno/,Moderate,Mon 8:00 am - 7:00 pm<br>Tue 8:00 am - 7:00 pm<br>Wed 8:00 am - 7:00 pm<br>Thu 8:00 am - 7:00 pm<br>Fri 8:00 am - 7:00 pm<br>Sat 8:00 am - 7:00 pm<br>Sun 8:00 am - 7:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",39.527393,-119.740240,"https://s3-media4.fl.yelpcdn.com/bphoto/8oEyXcHikxK_vZ5J-_XfTA/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/8oEyXcHikxK_vZ5J-_XfTA/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/8oEyXcHikxK_vZ5J-_XfTA/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/8oEyXcHikxK_vZ5J-_XfTA/300s.jpg 1.20x",http://www.yelp.com/biz/reef-dispensaries-sparks?osq=cannabis,,,,,,,,,,
NuLeaf Incline Dispensary,877 Tahoe Blvd,Incline Village,NV,89451,,,(775) 404-5323,"NuLeaf is a new approach in compassion through medical and Recreational cannabis.Our model for care delivers unmatched service and quality in a warm and welcoming environment. …Learn more about NuLeaf Incline Dispensary, Opens a popupSpecialtiesNuLeaf is a new approach in compassion through medical and Recreational cannabis.Our model for care delivers unmatched service and quality in a warm and welcoming environment.Recreational sales begin Saturday August 5THStop in while we are the ONLY recreational dispensary on Lake Tahoe!",,Yes,No,3.5 star rating,15 reviews,http://www.nuleafnv.com,Pricey,Mon 9:00 am - 8:00 pm<br>Tue 9:00 am - 8:00 pm<br>Wed 9:00 am - 8:00 pm<br>Thu 9:00 am - 8:00 pm<br>Fri 9:00 am - 8:00 pm<br>Sat 9:00 am - 8:00 pm<br>Sun 9:00 am - 8:00 pm<br>,,,,No,,Private Lot,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",39.249469,-119.954998,"https://s3-media4.fl.yelpcdn.com/bphoto/-0jPQz8JIEHMtAGwih_z-w/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/-0jPQz8JIEHMtAGwih_z-w/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/-0jPQz8JIEHMtAGwih_z-w/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/-0jPQz8JIEHMtAGwih_z-w/300s.jpg 1.20x",http://www.yelp.com/biz/nuleaf-incline-dispensary-incline-village-2?osq=cannabis,,,,,,,,,,
Kind Releaf,1000 Bible Way Ste 31,Reno,NV,89502,,,(775) 224-2344,,,Yes,No,1.0 star rating,1 review,http://www.kindreleafnv.webs.com,,,,,,No,,,,,,,,,,,,,,,,,,,,,,Yes,"Cannabis Clinics, Cannabis Clinics",39.515826,-119.774862,,http://www.yelp.com/biz/kind-releaf-reno?osq=cannabis,,,,,,,,,,
