Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link,Email from Web,Facebook URL,Twitter URL,Google Plus URL
California Herbal Relief Center,,Fresno,CA,93727,,,(559) 237-7171,,,Yes,No,5.0 star rating,5 reviews,http://www.chrcdelivery.com,,Mon 8:00 am - 8:00 pm<br>Tue 8:00 am - 8:00 pm<br>Wed 8:00 am - 8:00 pm<br>Thu 8:00 am - 8:00 pm<br>Fri 8:00 am - 8:00 pm<br>Sat 8:00 am - 8:00 pm<br>Sun 8:00 am - 8:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",,,"https://s3-media3.fl.yelpcdn.com/bphoto/cOn-d2h2QUw5Vcdwf-GHYQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/cOn-d2h2QUw5Vcdwf-GHYQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/cOn-d2h2QUw5Vcdwf-GHYQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/cOn-d2h2QUw5Vcdwf-GHYQ/300s.jpg 1.20x",http://www.yelp.com/biz/california-herbal-relief-center-fresno-3?osq=cannabis,,,,,,,,,,
Compassion Care,3741 W Shaw Ave,Fresno,CA,93711,,,(559) 575-4281,,,Yes,No,4.5 star rating,2 reviews,http://www.compassioncaredirect.com,,Mon 10:00 am - 7:00 pm<br>Tue 10:00 am - 7:00 pm<br>Wed 10:00 am - 7:00 pm<br>Thu 10:00 am - 7:00 pm<br>Fri 10:00 am - 8:00 pm<br>Sat 11:00 am - 6:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",36.808171,-119.859176,"https://s3-media1.fl.yelpcdn.com/bphoto/Ld6V-OUHiOI7d5h2GQ4_yA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/Ld6V-OUHiOI7d5h2GQ4_yA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/Ld6V-OUHiOI7d5h2GQ4_yA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/Ld6V-OUHiOI7d5h2GQ4_yA/300s.jpg 1.20x",http://www.yelp.com/biz/compassion-care-fresno?osq=cannabis,,,,,,,,,,
Mammoth Lakes Wellness,3399 Main St Unit Q-1,Mammoth Lakes,CA,93546,,,(760) 924-2299,,,Yes,No,2.0 star rating,9 reviews,http://www.mammothlakeswellness.com/,,Mon 10:00 am - 6:00 pm<br>Tue 10:00 am - 6:00 pm<br>Wed 10:00 am - 6:00 pm<br>Thu 10:00 am - 6:00 pm<br>Fri 10:00 am - 6:00 pm<br>Sat 10:00 am - 6:00 pm<br>Sun 11:00 am - 5:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",37.647708,-118.972702,"https://s3-media3.fl.yelpcdn.com/bphoto/-vvzWnx_yQRUj-AGMJzx4g/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/-vvzWnx_yQRUj-AGMJzx4g/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/-vvzWnx_yQRUj-AGMJzx4g/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/-vvzWnx_yQRUj-AGMJzx4g/300s.jpg 1.20x",http://www.yelp.com/biz/mammoth-lakes-wellness-mammoth-lakes?osq=cannabis,,,,,,,,,,
Green Mammoth,94 Laurel Mountain Rd Ste 420,Mammoth Lakes,CA,93546,,,(760) 934-5400,,JR W.,Yes,No,4.5 star rating,6 reviews,http://greenmammoth.org/,,Mon 10:00 am - 5:30 pm<br>Tue 10:00 am - 5:30 pm<br>Wed 10:00 am - 5:30 pm<br>Thu 10:00 am - 5:30 pm<br>Fri 10:00 am - 5:30 pm<br>Sat 10:00 am - 5:30 pm<br>Sun 11:00 am - 4:30 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",37.645482,-118.968276,"https://s3-media3.fl.yelpcdn.com/bphoto/WOpw9I_8tO7xXA8HZzyB8w/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/WOpw9I_8tO7xXA8HZzyB8w/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/WOpw9I_8tO7xXA8HZzyB8w/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/WOpw9I_8tO7xXA8HZzyB8w/300s.jpg 1.20x",http://www.yelp.com/biz/green-mammoth-mammoth-lakes?osq=cannabis,,,,,,,,,,
CannaThrive,,Clovis,CA,93611,,,(559) 513-9070,,,Yes,No,5.0 star rating,1 review,http://www.cannathrive.org,,Mon 10:00 am - 6:00 pm<br>Tue 10:00 am - 6:00 pm<br>Wed 10:00 am - 6:00 pm<br>Thu 10:00 am - 6:00 pm<br>Fri 10:00 am - 6:00 pm<br>Sat 10:00 am - 6:00 pm<br>Sun 10:00 am - 6:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",,,"https://s3-media3.fl.yelpcdn.com/bphoto/qn-v7Wusa0PaKvkcCP5dMA/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/qn-v7Wusa0PaKvkcCP5dMA/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/qn-v7Wusa0PaKvkcCP5dMA/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/qn-v7Wusa0PaKvkcCP5dMA/300s.jpg 1.20x",http://www.yelp.com/biz/cannathrive-clovis?osq=cannabis,,,,,,,admin@cannathrive.org,,,
Green Doctor Evaluations,295 W Cromwell Ave Ste 101,Fresno,CA,93711,,,(559) 440-0420,,,Yes,No,5.0 star rating,3 reviews,,,Mon 10:00 am - 5:00 pm<br>Tue 10:00 am - 5:00 pm<br>Wed 10:00 am - 5:00 pm<br>Thu 10:00 am - 5:00 pm<br>Fri 10:00 am - 5:00 pm<br>Sat Closed<br>Sun 10:00 am - 2:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",36.847191,-119.797274,"https://s3-media3.fl.yelpcdn.com/bphoto/eBVjOeNV4JubfKXH_msJRw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/eBVjOeNV4JubfKXH_msJRw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/eBVjOeNV4JubfKXH_msJRw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/eBVjOeNV4JubfKXH_msJRw/300s.jpg 1.20x",http://www.yelp.com/biz/green-doctor-evaluations-fresno?osq=cannabis,,,,,,,,,,
Mind Body and Soul Collective,,Fresno,CA,93710,,,(559) 708-0375,,,Yes,No,5.0 star rating,1 review,http://www.mbscollective.com/medicine/,,Mon 10:00 am - 7:00 pm<br>Tue 10:00 am - 7:00 pm<br>Wed 10:00 am - 7:00 pm<br>Thu 10:00 am - 7:00 pm<br>Fri 10:00 am - 7:00 pm<br>Sat 10:00 am - 6:00 pm<br>Sun 10:00 am - 6:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,Yes,"Cannabis Clinics, Cannabis Clinics",,,"https://s3-media4.fl.yelpcdn.com/bphoto/eiYin3V0yDAagcUX-iqMRA/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/eiYin3V0yDAagcUX-iqMRA/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/eiYin3V0yDAagcUX-iqMRA/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/eiYin3V0yDAagcUX-iqMRA/300s.jpg 1.20x",http://www.yelp.com/biz/mind-body-and-soul-collective-fresno?osq=cannabis,,,,,,,,,,
420CaniCare,106 Pollasky Ave,Clovis,CA,93612,,,(559) 862-7283,,,Yes,No,5.0 star rating,3 reviews,http://420canicare.com,,Mon 10:00 am - 8:00 pm<br>Tue 10:00 am - 8:00 pm<br>Wed 10:00 am - 8:00 pm<br>Thu 10:00 am - 8:00 pm<br>Fri 10:00 am - 8:00 pm<br>Sat 9:00 am - 3:00 pm<br>Sun 9:00 am - 3:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Cannabis Clinics, Cannabis Clinics",36.828949,-119.702359,"https://s3-media4.fl.yelpcdn.com/bphoto/d3L1v69uuahW6A5r7pkwaQ/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/d3L1v69uuahW6A5r7pkwaQ/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/d3L1v69uuahW6A5r7pkwaQ/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/d3L1v69uuahW6A5r7pkwaQ/300s.jpg 1.20x",http://www.yelp.com/biz/420canicare-clovis?osq=cannabis,,,,,,,Contact@420canicare.com,,,
M Delivers,,Fresno,CA,93701,,,(559) 400-7411,,,Yes,No,5.0 star rating,2 reviews,http://www.mdelivers.com,Moderate,Mon 10:00 am - 10:30 pm<br>Tue 10:00 am - 10:30 pm<br>Wed 10:00 am - 10:30 pm<br>Thu 10:00 am - 10:30 pm<br>Fri 10:00 am - 10:30 pm<br>Sat 10:00 am - 10:30 pm<br>Sun 10:00 am - 10:30 pm<br>,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",36.743313,-119.789382,"https://s3-media2.fl.yelpcdn.com/bphoto/xD6EkCxbAyRdowAnT14y3A/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/xD6EkCxbAyRdowAnT14y3A/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/xD6EkCxbAyRdowAnT14y3A/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/xD6EkCxbAyRdowAnT14y3A/300s.jpg 1.20x",http://www.yelp.com/biz/m-delivers-fresno?osq=cannabis,,,,,,,,,,
Physicians Evaluation,2225 West Shaw Ave,Fresno,CA,93711,,,(559) 981-2658,,,Yes,No,5.0 star rating,1 review,http://www.420physicianevals.com,,Mon 10:00 am - 5:30 pm<br>Tue 10:00 am - 5:30 pm<br>Wed 10:00 am - 5:30 pm<br>Thu 10:00 am - 5:30 pm<br>Fri 10:00 am - 5:30 pm<br>Sat 10:00 am - 5:30 pm<br>Sun Closed<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Medical Cannabis Referrals, Cannabis Clinics, Medical Cannabis Referrals",36.807848,-119.831641,"https://s3-media3.fl.yelpcdn.com/bphoto/9MPY-0_0wgYx8pbJVP87kQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/9MPY-0_0wgYx8pbJVP87kQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/9MPY-0_0wgYx8pbJVP87kQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/9MPY-0_0wgYx8pbJVP87kQ/300s.jpg 1.20x",http://www.yelp.com/biz/physicians-evaluation-fresno?osq=cannabis,,,,,,,,,,
