Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link,Email from Web,Facebook URL,Twitter URL,Google Plus URL
New England Treatment Access,160 Washington St,Brookline,MA,02445,,Brookline Village,(857) 302-4087,"NETA is a passionate group of patient advocates, experienced professionals, industry leaders and philanthropists. We have come together to improve the quality of patients' lives …Learn more about New England Treatment Access, Opens a popupSpecialtiesNETA is a passionate group of patient advocates, experienced professionals, industry leaders and philanthropists. We have come together to improve the quality of patients' lives through personalized care and the best in the art and science of medical marijuana. We provide registered patients in Massachusetts with first-rate marijuana therapies at our registered medical marijuana dispensaries in Brookline and Northampton. Our state-of-the-art cultivation facility in Franklin grows and processes all of NETA's products. From seed to patient, we do it all right here in Massachusetts.",,Yes,No,4.0 star rating,22 reviews,http://netacare.org,,Mon 10:00 am - 6:30 pm<br>Tue 10:00 am - 6:30 pm<br>Wed 10:00 am - 6:30 pm<br>Thu 10:00 am - 6:30 pm<br>Fri 10:00 am - 6:30 pm<br>Sat 10:00 am - 6:30 pm<br>Sun 12:00 pm - 4:30 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",42.331726,-71.118014,"https://s3-media1.fl.yelpcdn.com/bphoto/JYFzlX151W2hVHRagj9UUQ/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/JYFzlX151W2hVHRagj9UUQ/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/JYFzlX151W2hVHRagj9UUQ/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/JYFzlX151W2hVHRagj9UUQ/300s.jpg 1.20x",http://www.yelp.com/biz/new-england-treatment-access-brookline-2?osq=cannabis,,,,,,,,,,
Patriot Care Boston,21 Milk St,Boston,MA,02109,b/t Hawley St & Harvard Pl,Downtown,(617) 500-1375,,,Yes,No,4.5 star rating,3 reviews,http://patriotcare.org,,Mon 10:00 am - 6:00 pm<br>Tue 10:00 am - 6:00 pm<br>Wed 10:00 am - 6:00 pm<br>Thu 10:00 am - 6:00 pm<br>Fri 10:00 am - 6:00 pm<br>Sat 10:00 am - 4:00 pm<br>Sun 10:00 am - 4:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Clinics, Cannabis Clinics",42.356685,-71.058505,"https://s3-media2.fl.yelpcdn.com/bphoto/LO9FKMSt2Y-pEILPI1Ls9Q/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/LO9FKMSt2Y-pEILPI1Ls9Q/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/LO9FKMSt2Y-pEILPI1Ls9Q/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/LO9FKMSt2Y-pEILPI1Ls9Q/300s.jpg 1.20x",http://www.yelp.com/biz/patriot-care-boston-boston?osq=cannabis,,,,,,,,,,
The Holistic Center,320 Washington St Ste 300,Brighton,MA,02135,b/t Wirt St & Waldo Ter,,(617) 787-7400,,Mike F.,Yes,No,4.5 star rating,6 reviews,http://www.thcevaluation.com,,Mon 9:00 am - 8:00 pm<br>Tue 9:00 am - 8:00 pm<br>Wed 9:00 am - 8:00 pm<br>Thu 9:00 am - 8:00 pm<br>Fri 9:00 am - 8:00 pm<br>Sat 9:00 am - 6:00 pm<br>Sun Closed<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,"Cannabis Clinics, Cannabis Clinics",42.348754,-71.151725,"https://s3-media3.fl.yelpcdn.com/bphoto/COrMMOPClCoA45qW8CJFYw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/COrMMOPClCoA45qW8CJFYw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/COrMMOPClCoA45qW8CJFYw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/COrMMOPClCoA45qW8CJFYw/300s.jpg 1.20x",http://www.yelp.com/biz/the-holistic-center-brighton-2?osq=cannabis,,,,,,,office@thcevaluation.com,,,
Sage Naturals,1001 Massachusetts Ave,Cambridge,MA,02138,,Central Square,(844) 420-7243,,,Yes,No,4.5 star rating,6 reviews,https://sagecannabis.org,Moderate,Mon 11:00 am - 9:00 pm<br>Tue 11:00 am - 9:00 pm<br>Wed 11:00 am - 9:00 pm<br>Thu 11:00 am - 9:00 pm<br>Fri 11:00 am - 9:00 pm<br>Sat 11:00 am - 9:00 pm<br>Sun 11:00 am - 9:00 pm<br>,,,,No,,Street,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",42.369692,-71.111133,"https://s3-media1.fl.yelpcdn.com/bphoto/-N0xBBlaTyIsYw9Pa9fs7Q/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/-N0xBBlaTyIsYw9Pa9fs7Q/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/-N0xBBlaTyIsYw9Pa9fs7Q/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/-N0xBBlaTyIsYw9Pa9fs7Q/300s.jpg 1.20x",http://www.yelp.com/biz/sage-naturals-cambridge-2?osq=cannabis,,,,,,,jobs@sagenaturals.org,,,
Garden Remedies,697 Washington St,Newton,MA,02458,,,(617) 235-7215,,Dr. Karen M.,Yes,No,4.5 star rating,4 reviews,http://www.gardenremedies.org,,Mon 10:00 am - 8:00 pm<br>Tue 10:00 am - 8:00 pm<br>Wed 10:00 am - 8:00 pm<br>Thu 10:00 am - 8:00 pm<br>Fri 10:00 am - 8:00 pm<br>Sat 10:00 am - 8:00 pm<br>Sun Closed<br>,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",,,"https://s3-media3.fl.yelpcdn.com/bphoto/9ZJmz5jB6rLFcM7YwFz3MQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/9ZJmz5jB6rLFcM7YwFz3MQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/9ZJmz5jB6rLFcM7YwFz3MQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/9ZJmz5jB6rLFcM7YwFz3MQ/300s.jpg 1.20x",http://www.yelp.com/biz/garden-remedies-newton?osq=cannabis,,,,,,,,,,
CareGivers of MA,1000 Mass Grass Ave,Boston,MA,02115,,Back Bay,(857) 293-0640,,,No,No,,,http://CareGiversofMA.org,,Mon 9:00 am - 5:00 pm<br>Tue 9:00 am - 5:00 pm<br>Wed 9:00 am - 5:00 pm<br>Thu 9:00 am - 5:00 pm<br>Fri 9:00 am - 5:00 pm<br>Sat 9:00 am - 5:00 pm<br>Sun 9:00 am - 5:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Cannabis Clinics, Cannabis Clinics",42.348552,-71.082670,,http://www.yelp.com/biz/caregivers-of-ma-boston?osq=cannabis,,,,,,,,,,
Revolutionary Clinics,67 Broadway,Somerville,MA,02145,,,(617) 213-6006,,,Yes,No,,,https://www.revolutionaryclinics.org,,Mon 11:00 am - 8:30 pm<br>Tue 11:00 am - 8:30 pm<br>Wed 11:00 am - 8:30 pm<br>Thu 11:00 am - 8:30 pm<br>Fri 11:00 am - 8:30 pm<br>Sat 11:00 am - 8:30 pm<br>Sun 11:00 am - 4:30 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",,,"https://s3-media2.fl.yelpcdn.com/bphoto/a-k52N7lH-6qa3NiYnpHhg/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/a-k52N7lH-6qa3NiYnpHhg/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/a-k52N7lH-6qa3NiYnpHhg/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/a-k52N7lH-6qa3NiYnpHhg/300s.jpg 1.20x",http://www.yelp.com/biz/revolutionary-clinics-somerville?osq=cannabis,,,,,,,lschipelliti@andoverhomes.com,,,
Canna Care Docs,49 River St Ste 4,Waltham,MA,02453,,,(781) 382-8053,,,Yes,No,5.0 star rating,7 reviews,http://www.cannacaredocs.com/waltham-ma,,Mon 10:00 am - 5:00 pm<br>Tue 10:00 am - 5:00 pm<br>Wed 10:00 am - 5:00 pm<br>Thu 10:00 am - 5:00 pm<br>Fri 10:00 am - 5:00 pm<br>Sat Closed<br>Sun Closed<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",42.368807,-71.217669,"https://s3-media4.fl.yelpcdn.com/bphoto/gFyI16LitI_DK92wWBmFoQ/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/gFyI16LitI_DK92wWBmFoQ/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/gFyI16LitI_DK92wWBmFoQ/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/gFyI16LitI_DK92wWBmFoQ/300s.jpg 1.20x",http://www.yelp.com/biz/canna-care-docs-waltham-2?osq=cannabis,,,,,,,,,,
Ermont,216 Ricciuti Dr,Quincy,MA,02169,,,(617) 804-2701,,,Yes,No,5.0 star rating,4 reviews,https://www.ermontinc.org,,Mon 10:00 am - 7:00 pm<br>Tue 10:00 am - 7:00 pm<br>Wed 10:00 am - 7:00 pm<br>Thu 10:00 am - 7:00 pm<br>Fri 10:00 am - 7:00 pm<br>Sat 10:00 am - 7:00 pm<br>Sun 10:00 am - 7:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",42.239074,-71.041603,"https://s3-media3.fl.yelpcdn.com/bphoto/e1SLv0wraaSlc-gw8wEFmQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/e1SLv0wraaSlc-gw8wEFmQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/e1SLv0wraaSlc-gw8wEFmQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/e1SLv0wraaSlc-gw8wEFmQ/300s.jpg 1.20x",http://www.yelp.com/biz/ermont-quincy?osq=cannabis,,,,,,,info@ermontinc.org,,,
Inhale MD,1101 Beacon St Ste 8W,Brookline,MA,02446,,,(617) 477-8886,,Dr. Jordan T.,Yes,No,1.0 star rating,1 review,https://inhalemd.com,,Mon 10:00 am - 5:00 pm<br>Tue 10:00 am - 5:00 pm<br>Wed 10:00 am - 5:00 pm<br>Thu 10:00 am - 5:00 pm<br>Fri 10:00 am - 5:00 pm<br>Sat Closed<br>Sun Closed<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,"Cannabis Clinics, Naturopathic/Holistic, Cannabis Clinics, Naturopathic/Holistic",42.344580,-71.111056,"https://s3-media1.fl.yelpcdn.com/bphoto/FIux77vRyHKLLBtqqI4Slw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/FIux77vRyHKLLBtqqI4Slw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/FIux77vRyHKLLBtqqI4Slw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/FIux77vRyHKLLBtqqI4Slw/300s.jpg 1.20x",http://www.yelp.com/biz/inhale-md-brookline-2?osq=cannabis,,,,,,,,,,
