Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link,Email from Web,Facebook URL,Twitter URL,Google Plus URL
Reef Dispensaries,3400 Western Ave,Las Vegas,NV,89109,,,(702) 475-6520,"Reef Dispensaries flagship location on Western Avenue is located just off the Las Vegas Strip, serving both recreational and medical patients. Adjacent to the Wynn hotel and Fashion …Learn more about Reef Dispensaries, Opens a popupSpecialtiesReef Dispensaries flagship location on Western Avenue is located just off the Las Vegas Strip, serving both recreational and medical patients. Adjacent to the Wynn hotel and Fashion Show mall, our world famous 165,000 sq. ft. vertically integrated facility houses each the dispensary, cultivation, and extraction lab under one roof, with a wide selection of cannabis strains, edibles, concentrates, and other items. Reef provides priority assistance to medical patients, with a rec line bypass, an express window, and a consultation room. Out-of-state medical cards accepted. Rec: 21 + over with valid ID. As seen on on CNN, Forbes, Complex, NBC, CBS ABC, Rolling Stone and more.HistoryEstablished in 2015.At Reef Dispensaries, our core philosophy is to put people first, extending to both our customers and our team. Our mission is to inspire hope in a healthy community, enhancing everyday life through a wide variety of products for every level of consumer. Our unprecedented, innovative cultivation and production facilities ensure consistent quality of flower and concentrates. We value knowledge, trust, respect and a sense of urgency.",,Yes,No,4.0 star rating,75 reviews,http://reefdispensaries.com/locations/las-vegas/,Moderate,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,No,,Private Lot,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",36.128121,-115.177036,"https://s3-media3.fl.yelpcdn.com/bphoto/30BeFnqoCia2z7Cutwpzew/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/30BeFnqoCia2z7Cutwpzew/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/30BeFnqoCia2z7Cutwpzew/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/30BeFnqoCia2z7Cutwpzew/300s.jpg 1.20x",http://www.yelp.com/biz/reef-dispensaries-las-vegas?osq=cannabis,,,,,,,,,,
Reef Dispensaries,3400 Western Ave,Las Vegas,NV,89109,,,(702) 475-6520,"Reef Dispensaries flagship location on Western Avenue is located just off the Las Vegas Strip, serving both recreational and medical patients. Adjacent to the Wynn hotel and Fashion …Learn more about Reef Dispensaries, Opens a popupSpecialtiesReef Dispensaries flagship location on Western Avenue is located just off the Las Vegas Strip, serving both recreational and medical patients. Adjacent to the Wynn hotel and Fashion Show mall, our world famous 165,000 sq. ft. vertically integrated facility houses each the dispensary, cultivation, and extraction lab under one roof, with a wide selection of cannabis strains, edibles, concentrates, and other items. Reef provides priority assistance to medical patients, with a rec line bypass, an express window, and a consultation room. Out-of-state medical cards accepted. Rec: 21 + over with valid ID. As seen on on CNN, Forbes, Complex, NBC, CBS ABC, Rolling Stone and more.HistoryEstablished in 2015.At Reef Dispensaries, our core philosophy is to put people first, extending to both our customers and our team. Our mission is to inspire hope in a healthy community, enhancing everyday life through a wide variety of products for every level of consumer. Our unprecedented, innovative cultivation and production facilities ensure consistent quality of flower and concentrates. We value knowledge, trust, respect and a sense of urgency.",,Yes,No,4.0 star rating,75 reviews,http://reefdispensaries.com/locations/las-vegas/,Moderate,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,No,,Private Lot,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",36.128121,-115.177036,"https://s3-media3.fl.yelpcdn.com/bphoto/30BeFnqoCia2z7Cutwpzew/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/30BeFnqoCia2z7Cutwpzew/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/30BeFnqoCia2z7Cutwpzew/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/30BeFnqoCia2z7Cutwpzew/300s.jpg 1.20x",http://www.yelp.com/biz/reef-dispensaries-las-vegas?hrid=TSfovKmDB7QrHghdEdve3w&osq=cannabis,,,,,,,,,,
Las Vegas Emerald Essence,,Las Vegas,NV,89109,,The Strip,(702) 628-1492,,,Yes,No,5.0 star rating,8 reviews,http://lvee.info,,Mon 12:00 pm - 8:00 pm<br>Tue Closed<br>Wed 12:00 pm - 8:00 pm<br>Thu 12:00 pm - 8:00 pm<br>Fri 12:00 pm - 8:00 pm<br>Sat 12:00 pm - 8:00 pm<br>Sun Closed<br>,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",,,"https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/300s.jpg 1.20x",http://www.yelp.com/biz/las-vegas-emerald-essence-las-vegas-2?osq=cannabis,,,,,,,,,,
Las Vegas Emerald Essence,,Las Vegas,NV,89109,,The Strip,(702) 628-1492,,,Yes,No,5.0 star rating,8 reviews,http://lvee.info,,Mon 12:00 pm - 8:00 pm<br>Tue Closed<br>Wed 12:00 pm - 8:00 pm<br>Thu 12:00 pm - 8:00 pm<br>Fri 12:00 pm - 8:00 pm<br>Sat 12:00 pm - 8:00 pm<br>Sun Closed<br>,,,,No,,,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",,,"https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/0FlJ9dHYVXRbhNm2kkiaeg/300s.jpg 1.20x",http://www.yelp.com/biz/las-vegas-emerald-essence-las-vegas-2?hrid=5J7TEwG0sdsGHfliEbphhg&osq=cannabis,,,,,,,,,,
The Apothecary Shoppe,4240 W Flamingo Rd Ste 100,Las Vegas,NV,89103,,,(702) 740-4372,"Premium Quality Cannabis: Uniquely Crafted Edibles: Wide Variety of CO2 Extracted Oils: Sheldon Black Glassware: Shine 24 Carat Gold Paper: Delivery ServicesLearn more about The Apothecary Shoppe, Opens a popupSpecialtiesPremium Quality Cannabis: Uniquely Crafted Edibles: Wide Variety of CO2 Extracted Oils: Sheldon Black Glassware: Shine 24 Carat Gold Paper: Delivery ServicesHistoryEstablished in 2015.Recently Opened Medical Marijuana Dispensary just west of the strip near Caesar's Palace, the Bellagio, the Rio, the Gold Coast and the Palms Casinos",,Yes,No,4.0 star rating,88 reviews,https://www.theapothecaryshoppe.com,,Mon 8:00 am - 3:00 am<br>Tue 8:00 am - 3:00 am<br>Wed 8:00 am - 3:00 am<br>Thu 8:00 am - 3:00 am<br>Fri 8:00 am - 3:00 am<br>Sat 8:00 am - 3:00 am<br>Sun 8:00 am - 3:00 am<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",36.116026,-115.196742,"https://s3-media1.fl.yelpcdn.com/bphoto/zZsGmCO4lZCtSJNbZNqIiw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/zZsGmCO4lZCtSJNbZNqIiw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/zZsGmCO4lZCtSJNbZNqIiw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/zZsGmCO4lZCtSJNbZNqIiw/300s.jpg 1.20x",http://www.yelp.com/biz/the-apothecary-shoppe-las-vegas?osq=cannabis,,,,,,,,,,
The Apothecary Shoppe,4240 W Flamingo Rd Ste 100,Las Vegas,NV,89103,,,(702) 740-4372,"Premium Quality Cannabis: Uniquely Crafted Edibles: Wide Variety of CO2 Extracted Oils: Sheldon Black Glassware: Shine 24 Carat Gold Paper: Delivery ServicesLearn more about The Apothecary Shoppe, Opens a popupSpecialtiesPremium Quality Cannabis: Uniquely Crafted Edibles: Wide Variety of CO2 Extracted Oils: Sheldon Black Glassware: Shine 24 Carat Gold Paper: Delivery ServicesHistoryEstablished in 2015.Recently Opened Medical Marijuana Dispensary just west of the strip near Caesar's Palace, the Bellagio, the Rio, the Gold Coast and the Palms Casinos",,Yes,No,4.0 star rating,88 reviews,https://www.theapothecaryshoppe.com,,Mon 8:00 am - 3:00 am<br>Tue 8:00 am - 3:00 am<br>Wed 8:00 am - 3:00 am<br>Thu 8:00 am - 3:00 am<br>Fri 8:00 am - 3:00 am<br>Sat 8:00 am - 3:00 am<br>Sun 8:00 am - 3:00 am<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",36.116026,-115.196742,"https://s3-media1.fl.yelpcdn.com/bphoto/zZsGmCO4lZCtSJNbZNqIiw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/zZsGmCO4lZCtSJNbZNqIiw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/zZsGmCO4lZCtSJNbZNqIiw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/zZsGmCO4lZCtSJNbZNqIiw/300s.jpg 1.20x",http://www.yelp.com/biz/the-apothecary-shoppe-las-vegas?hrid=4mO8EwHp3ui3YIzDHhDD6w&osq=cannabis,,,,,,,,,,
Essence Cannabis Dispensary,5765 W Tropicana,Las Vegas,NV,89103,,,(702) 500-1714,"Las Vegas' premiere medical marijuana dispensary located just west of the Strip offering the highest quality and largest variety of products and treatment for patients in the valley. …Learn more about Essence Cannabis Dispensary, Opens a popupSpecialtiesLas Vegas' premiere medical marijuana dispensary located just west of the Strip offering the highest quality and largest variety of products and treatment for patients in the valley.Accepting all out of state patient cards and recommendations.Schedule a time to meet with our on-staff nurse and done forget to ask about our delivery services.HistoryEstablished in 2015.Established out of passion for the medicinal benefits of cannabis and with an unparalleled commitment to patient care, Essence broke ground mid 2015 on an almost 55,000 square foot state-of-the-art, pharmaceutical grade cultivation and production facility, with the goal of producing the highest quality medicine at the fairest price possible.Through the opening of the their three dispensaries, including the only dispensary on the famed Las Vegas Strip, in early 2016, Essence began their mission to:Providing the purest and widest selection of quality cannabis products to patients Providing the best individualized service and product to every patientProtecting patients by providing a safe and legal dispensary for medical marijuana - as an alternative to purchasing your medicine on the illegal drug marketEncouraging the healing of mind, body and soul through the promotion of marijuana as nature's ultimate healing elixirMeet the Manager",,Yes,No,4.5 star rating,93 reviews,http://essencevegas.com/locations/tropicana-west,Moderate,Mon 10:00 am - 1:00 am<br>Tue 10:00 am - 1:00 am<br>Wed 10:00 am - 1:00 am<br>Thu 10:00 am - 1:00 am<br>Fri 10:00 am - 1:00 am<br>Sat 10:00 am - 1:00 am<br>Sun 10:00 am - 1:00 am<br>,,,,No,,Private Lot,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",36.099867,-115.219978,"https://s3-media3.fl.yelpcdn.com/bphoto/v0ZHb7y0An4T1kNHoE1Rbg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/v0ZHb7y0An4T1kNHoE1Rbg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/v0ZHb7y0An4T1kNHoE1Rbg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/v0ZHb7y0An4T1kNHoE1Rbg/300s.jpg 1.20x",http://www.yelp.com/biz/essence-cannabis-dispensary-las-vegas-3?osq=cannabis,,,,,,,,,,
Essence Cannabis Dispensary,5765 W Tropicana,Las Vegas,NV,89103,,,(702) 500-1714,"Las Vegas' premiere medical marijuana dispensary located just west of the Strip offering the highest quality and largest variety of products and treatment for patients in the valley. …Learn more about Essence Cannabis Dispensary, Opens a popupSpecialtiesLas Vegas' premiere medical marijuana dispensary located just west of the Strip offering the highest quality and largest variety of products and treatment for patients in the valley.Accepting all out of state patient cards and recommendations.Schedule a time to meet with our on-staff nurse and done forget to ask about our delivery services.HistoryEstablished in 2015.Established out of passion for the medicinal benefits of cannabis and with an unparalleled commitment to patient care, Essence broke ground mid 2015 on an almost 55,000 square foot state-of-the-art, pharmaceutical grade cultivation and production facility, with the goal of producing the highest quality medicine at the fairest price possible.Through the opening of the their three dispensaries, including the only dispensary on the famed Las Vegas Strip, in early 2016, Essence began their mission to:Providing the purest and widest selection of quality cannabis products to patients Providing the best individualized service and product to every patientProtecting patients by providing a safe and legal dispensary for medical marijuana - as an alternative to purchasing your medicine on the illegal drug marketEncouraging the healing of mind, body and soul through the promotion of marijuana as nature's ultimate healing elixirMeet the Manager",,Yes,No,4.5 star rating,93 reviews,http://essencevegas.com/locations/tropicana-west,Moderate,Mon 10:00 am - 1:00 am<br>Tue 10:00 am - 1:00 am<br>Wed 10:00 am - 1:00 am<br>Thu 10:00 am - 1:00 am<br>Fri 10:00 am - 1:00 am<br>Sat 10:00 am - 1:00 am<br>Sun 10:00 am - 1:00 am<br>,,,,No,,Private Lot,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",36.099867,-115.219978,"https://s3-media3.fl.yelpcdn.com/bphoto/v0ZHb7y0An4T1kNHoE1Rbg/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/v0ZHb7y0An4T1kNHoE1Rbg/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/v0ZHb7y0An4T1kNHoE1Rbg/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/v0ZHb7y0An4T1kNHoE1Rbg/300s.jpg 1.20x",http://www.yelp.com/biz/essence-cannabis-dispensary-las-vegas-3?hrid=qUzKaXLt75SKuKyihD-_Pg&osq=cannabis,,,,,,,,,,
Oasis Cannabis,1800 Industrial Rd Ste 180,Las Vegas,NV,89102,,,(702) 420-2405,"Oasis is a medical marijuana dispensary located in the heart of Las Vegas, just off the Strip. Our convenient location makes it easy for both locals and out-of-state visitors who are …Learn more about Oasis Cannabis, Opens a popupSpecialtiesOasis is a medical marijuana dispensary located in the heart of Las Vegas, just off the Strip. Our convenient location makes it easy for both locals and out-of-state visitors who are issued a medical marijuana card to visit. We also provide home delivery for locals as an alternative to visiting the store. For those that venture into the central location, there is a unique, convenient, and comfortable experience awaiting them. Stop in today or contact us for more information!HistoryEstablished in 2015.One of the first medical marijuana dispensaries to open in the State of Nevada.Oasis Medical is dedicated to spreading knowledge and improving public awareness.We diligently donate a percentage of our profit to fund vital medical cannabis research.",,Yes,No,4.5 star rating,81 reviews,http://oasismedicalcannabis.com,Moderate,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,No,,Private Lot,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",,,"https://s3-media2.fl.yelpcdn.com/bphoto/7D0Ns_SN_6WYVi9RV2Gn_w/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/7D0Ns_SN_6WYVi9RV2Gn_w/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/7D0Ns_SN_6WYVi9RV2Gn_w/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/7D0Ns_SN_6WYVi9RV2Gn_w/300s.jpg 1.20x",http://www.yelp.com/biz/oasis-cannabis-las-vegas-2?osq=cannabis,,,,,,,info@oasiscannabis.com,,,
Oasis Cannabis,1800 Industrial Rd Ste 180,Las Vegas,NV,89102,,,(702) 420-2405,"Oasis is a medical marijuana dispensary located in the heart of Las Vegas, just off the Strip. Our convenient location makes it easy for both locals and out-of-state visitors who are …Learn more about Oasis Cannabis, Opens a popupSpecialtiesOasis is a medical marijuana dispensary located in the heart of Las Vegas, just off the Strip. Our convenient location makes it easy for both locals and out-of-state visitors who are issued a medical marijuana card to visit. We also provide home delivery for locals as an alternative to visiting the store. For those that venture into the central location, there is a unique, convenient, and comfortable experience awaiting them. Stop in today or contact us for more information!HistoryEstablished in 2015.One of the first medical marijuana dispensaries to open in the State of Nevada.Oasis Medical is dedicated to spreading knowledge and improving public awareness.We diligently donate a percentage of our profit to fund vital medical cannabis research.",,Yes,No,4.5 star rating,81 reviews,http://oasismedicalcannabis.com,Moderate,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,No,,Private Lot,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",,,"https://s3-media2.fl.yelpcdn.com/bphoto/7D0Ns_SN_6WYVi9RV2Gn_w/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/7D0Ns_SN_6WYVi9RV2Gn_w/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/7D0Ns_SN_6WYVi9RV2Gn_w/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/7D0Ns_SN_6WYVi9RV2Gn_w/300s.jpg 1.20x",http://www.yelp.com/biz/oasis-cannabis-las-vegas-2?hrid=dcUvWCarlV4K73GtFIKaDA&osq=cannabis,,,,,,,info@oasiscannabis.com,,,
