Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link,Email from Web,Facebook URL,Twitter URL,Google Plus URL
Farma,916 SE Hawthorne Blvd,Portland,OR,97214,,"Central Eastside, Hosford-Abernethy, Southeast Portland",(503) 206-4357,"Cannabis, medical marijuana dispensary, recreationalLearn more about Farma, Opens a popupSpecialtiesCannabis, medical marijuana dispensary, recreationalHistoryEstablished in 2014.Open to the public (21+)2016 Willamette Week ""Best of Portland"" 3-time Winner: ""Best Organic Selection"" | ""Best Budtender"" (Emma Chasen) | ""Best Cannabis Farm"" (Newcleus Nurseries)""If you could stop at only one dispensary while you're Downtown, this should be it."" - Thrillist (2016)""[T]he future of boutique cannabis"" with ""best-in-class budtenders."" - Willamette Week (2016)Farma ""gleams like an upscale pharmacy"" with ""clean glass cases displaying some of the highest-quality marijuana sold in Portland."" - Portland Monthly (2016)""Farma in Portland is ... an inspiring place, committed to furthering our understanding of the cannabis plant in an effort to provide people with the best possible relief."" - Weekend Review Kit (2016)""[A] modern cannabis museum."" - Oregon Leaf (2015)",,Yes,No,5.0 star rating,168 reviews,https://www.farmapdx.com,,Mon 10:00 am - 10:00 pm<br>Tue 10:00 am - 10:00 pm<br>Wed 10:00 am - 10:00 pm<br>Thu 10:00 am - 10:00 pm<br>Fri 10:00 am - 10:00 pm<br>Sat 10:00 am - 10:00 pm<br>Sun 11:00 am - 7:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",45.512088,-122.656263,"https://s3-media2.fl.yelpcdn.com/bphoto/hAyjbGxvX6N9BA4f0P6RLA/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/hAyjbGxvX6N9BA4f0P6RLA/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/hAyjbGxvX6N9BA4f0P6RLA/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/hAyjbGxvX6N9BA4f0P6RLA/300s.jpg 1.20x",http://www.yelp.com/biz/farma-portland?osq=cannabis,,,,,,,info@farmapdx.com,,,
Serra,220 SW 1st Ave,Portland,OR,97204,,"Old Town - Chinatown, Southwest Portland",(971) 803-5580,"Serra is a purveyor of quality drugs and other fine cannabis accessories. We are an OLCC recreational dispensary; however medical patients 18 and older can still shop tax-free with …Learn more about Serra, Opens a popupSpecialtiesSerra is a purveyor of quality drugs and other fine cannabis accessories. We are an OLCC recreational dispensary; however medical patients 18 and older can still shop tax-free with us. We are located in beautiful downtown Portland and just a stone's throw from SW Oak/1st Ave Max station (stop ID 8380). We accept cash (ATM on-site) or CanPay Debit payments.Visit shopserra.com to learn how you can Feel All The Feelings.HistoryEstablished in 2016.Serra is an experiential cannabis lifestyle brand and curated retail space that rethinks, redefines, and sets the bar for progressive pot culture. Named after the Italian word for greenhouse, Serra's design is informed and inspired by its name. This Modern Druggist has a line of products available throughout Oregon as well as three dispensary locations in Portland and Eugene, providing the very best recreational marijuana shopping experience and selection of flower, edibles, topicals, concentrates, and accessories.",,Yes,No,4.5 star rating,25 reviews,https://shopserra.com/location/portland-dispensary-downtown,Moderate,Mon 10:00 am - 10:00 pm<br>Tue 10:00 am - 10:00 pm<br>Wed 10:00 am - 10:00 pm<br>Thu 10:00 am - 10:00 pm<br>Fri 10:00 am - 10:00 pm<br>Sat 10:00 am - 10:00 pm<br>Sun 11:00 am - 7:00 pm<br>,,,,No,,"Garage, Street",,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",45.520774,-122.671833,"https://s3-media3.fl.yelpcdn.com/bphoto/kaFGqDTccA37o-4CuJRkdQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/kaFGqDTccA37o-4CuJRkdQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/kaFGqDTccA37o-4CuJRkdQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/kaFGqDTccA37o-4CuJRkdQ/300s.jpg 1.20x",http://www.yelp.com/biz/serra-portland-3?osq=cannabis,,,,,,,,,,
Zion Cannabis,2331 SW 6th Ave,Portland,OR,97201,,Southwest Portland,(971) 255-1758,"A little about us..Perfectly nestled in the southwest corner of downtown between Portland State University & OHSU, we're a one-stop-shop for all of your high-end cannabis needs. We …Learn more about Zion Cannabis, Opens a popupSpecialtiesA little about us..Perfectly nestled in the southwest corner of downtown between Portland State University & OHSU, we're a one-stop-shop for all of your high-end cannabis needs. We are open from 10am-10pm Monday-Saturday, offering a variety of high quality edibles, flower, & concentrates to the OMMP & Recreational communities. Visit us today!Our Mission:Rigorous pesticide screening and detailed terpene profiling means you get the safest and highest quality medical grade cannabis in Oregon.HistoryEstablished in 2015.Long before we broke ground on our downtown Portland dispensary, we spent considerable time toiling over what the ideal OMMP dispensary would look like. We knew from the outset that we would only carry the very best medical cannabis products available.But after many days of careful consideration, we discovered that we all share some other core values: (1) education; (2) safety; and (3) community.We value you being educated about how to find the best possible strain for your medical condition, so we've integrated terpene profiling into our menu system and hired the most brilliant budtenders in Portland to answer your questions.We value your safety, so we set a new standard for pesticide screening well above what the law requires.And we value your community. Because it's our community too, and unlike any other industry, the cannabis industry should be about coming together as a community, because it's been a long struggle to get where we are today.",,Yes,No,4.5 star rating,27 reviews,http://www.zioncannabis.com,,Mon 10:00 am - 8:00 pm<br>Tue 10:00 am - 8:00 pm<br>Wed 10:00 am - 8:00 pm<br>Thu 10:00 am - 8:00 pm<br>Fri 10:00 am - 8:00 pm<br>Sat 10:00 am - 8:00 pm<br>Sun 10:00 am - 8:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",45.505930,-122.684344,"https://s3-media4.fl.yelpcdn.com/bphoto/dtZ6rLW-3mTehc-TFIzZgw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/dtZ6rLW-3mTehc-TFIzZgw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/dtZ6rLW-3mTehc-TFIzZgw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/dtZ6rLW-3mTehc-TFIzZgw/300s.jpg 1.20x",http://www.yelp.com/biz/zion-cannabis-portland?osq=cannabis,,,,,,,info@zioncannabis.com,,,
Oregon’s Finest,1327 NW Kearney St,Portland,OR,97209,,Pearl District,(503) 239-1150,"Oregon's Finest has you covered from cannabis flower to edibles, CBD products, and everything in between. We pride ourselves on selecting the finest, small batch cannabis from farms …Learn more about Oregon’s Finest, Opens a popupSpecialtiesOregon's Finest has you covered from cannabis flower to edibles, CBD products, and everything in between. We pride ourselves on selecting the finest, small batch cannabis from farms across Oregon.HistoryEstablished in 2012.At Oregon's Finest our mission is, 'to promote health through the finest cannabis education, cultivation, distribution and consumption'. We opened our doors in 2012.",,Yes,No,4.0 star rating,28 reviews,https://www.oregons-finest.com,Pricey,Mon 8:00 am - 10:00 pm<br>Tue 8:00 am - 10:00 pm<br>Wed 8:00 am - 10:00 pm<br>Thu 8:00 am - 10:00 pm<br>Fri 8:00 am - 10:00 pm<br>Sat 8:00 am - 10:00 pm<br>Sun 8:00 am - 10:00 pm<br>,,,,No,,,Yes,,,,,,,,,,,,,,,,Yes,,,,"Cannabis Dispensaries, Cannabis Dispensaries",45.529455,-122.684888,"https://s3-media2.fl.yelpcdn.com/bphoto/pxrYfery6yhMeldRC32hIA/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/pxrYfery6yhMeldRC32hIA/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/pxrYfery6yhMeldRC32hIA/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/pxrYfery6yhMeldRC32hIA/300s.jpg 1.20x",http://www.yelp.com/biz/oregons-finest-portland?osq=cannabis,,,,,,,info@ofmeds.com,,,
Oregon Weedery,2312 NW Kearney St,Portland,OR,97210,,"Alphabet District, Northwest",(503) 750-4594,"Oregon Weedery is a safe access center for medical marijuana patients and recreational marijuana users looking for medicine/product.We have flowers, oils, wax, medibles, tincture …Learn more about Oregon Weedery, Opens a popupSpecialtiesOregon Weedery is a safe access center for medical marijuana patients and recreational marijuana users looking for medicine/product.We have flowers, oils, wax, medibles, tincture and salves.Our medicine is fresh and high quality. Come in and check us out!People new to medical marijuana can come in for a free consultation on the different types of medicine and ways to take it, and typical dosages.We are upstairs above Radiance Nails.HistoryEstablished in 2013.Oregon Weedery opened in late 2013.Our focus is to provide quality medicine in a professional setting and manner for medical marijuana card holders and recreational users.Meet the Business Owner",Jeff S.,Yes,No,4.5 star rating,21 reviews,http://portlanddispensary.net/,,Mon 10:00 am - 10:00 pm<br>Tue 10:00 am - 10:00 pm<br>Wed 10:00 am - 10:00 pm<br>Thu 10:00 am - 10:00 pm<br>Fri 10:00 am - 10:00 pm<br>Sat 10:00 am - 10:00 pm<br>Sun 10:00 am - 10:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",45.528906,-122.699043,"https://s3-media3.fl.yelpcdn.com/bphoto/ImH3jlHHECKfNmyFOSq58A/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/ImH3jlHHECKfNmyFOSq58A/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/ImH3jlHHECKfNmyFOSq58A/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/ImH3jlHHECKfNmyFOSq58A/300s.jpg 1.20x",http://www.yelp.com/biz/oregon-weedery-portland?osq=cannabis,,,,,,,,,,
Rose City Wellness Center,214 NW Couch St,Portland,OR,97209,,Old Town - Chinatown,(503) 206-4781,,,Yes,No,4.5 star rating,14 reviews,,,Mon 9:00 am - 10:00 pm<br>Tue 9:00 am - 10:00 pm<br>Wed 9:00 am - 10:00 pm<br>Thu 9:00 am - 10:00 pm<br>Fri 9:00 am - 10:00 pm<br>Sat 9:00 am - 10:00 pm<br>Sun 9:00 am - 5:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",45.523731,-122.672889,"https://s3-media4.fl.yelpcdn.com/bphoto/3UGYXPg9BlYhkdeCuKg79g/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/3UGYXPg9BlYhkdeCuKg79g/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/3UGYXPg9BlYhkdeCuKg79g/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/3UGYXPg9BlYhkdeCuKg79g/300s.jpg 1.20x",http://www.yelp.com/biz/rose-city-wellness-center-portland-3?osq=cannabis,,,,,,,,,,
Oregon’s Finest,736 NE Martin Luther King Junior Blvd,Portland,OR,97232,,"Lloyd District, Broadway District, Northeast Portland",(503) 239-1150,"Oregon's Finest has you covered from cannabis flower to edibles, CBD products, and everything in between. We pride ourselves on selecting the finest, small batch cannabis from farms …Learn more about Oregon’s Finest, Opens a popupSpecialtiesOregon's Finest has you covered from cannabis flower to edibles, CBD products, and everything in between. We pride ourselves on selecting the finest, small batch cannabis from farms across Oregon.",,Yes,No,4.5 star rating,16 reviews,https://www.oregons-finest.com,Moderate,Mon 8:00 am - 10:00 pm<br>Tue 8:00 am - 10:00 pm<br>Wed 8:00 am - 10:00 pm<br>Thu 8:00 am - 10:00 pm<br>Fri 8:00 am - 10:00 pm<br>Sat 8:00 am - 10:00 pm<br>Sun 8:00 am - 10:00 pm<br>,,,,No,,Private Lot,Yes,,,,,,,,,,,,,,,,Yes,,,,"Cannabis Dispensaries, Cannabis Dispensaries",45.528360,-122.661457,"https://s3-media4.fl.yelpcdn.com/bphoto/qDVbSwTtw1hdYDKMjW9WPw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/qDVbSwTtw1hdYDKMjW9WPw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/qDVbSwTtw1hdYDKMjW9WPw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/qDVbSwTtw1hdYDKMjW9WPw/300s.jpg 1.20x",http://www.yelp.com/biz/oregons-finest-portland-4?osq=cannabis,,,,,,,info@ofmeds.com,,,
MindRite,1780 NW Marshall St,Portland,OR,97209,,"Alphabet District, Northwest",(503) 477-4430,"Proudly offering Oregon's premier selection of cannabis products with an emphasis on excellent patient and recreational customer care! Anyone over 21 can now purchase limited …Learn more about MindRite, Opens a popupSpecialtiesProudly offering Oregon's premier selection of cannabis products with an emphasis on excellent patient and recreational customer care! Anyone over 21 can now purchase limited quantities of flower, edibles, extracts and topicals (unlimited)! As seen on ABC's What would you do with John Quinones!HistoryEstablished in 2015.Our families first medical and recreational marijuana dispensary.",,Yes,No,5.0 star rating,20 reviews,http://www.mindritepdx.com,Moderate,Mon 10:00 am - 10:00 pm<br>Tue 10:00 am - 10:00 pm<br>Wed 10:00 am - 10:00 pm<br>Thu 10:00 am - 10:00 pm<br>Fri 10:00 am - 10:00 pm<br>Sat 10:00 am - 10:00 pm<br>Sun 10:00 am - 10:00 pm<br>,,,,No,,Street,Yes,,,,,,,,,,,,,,,,Yes,,,,"Cannabis Dispensaries, Cannabis Dispensaries",,,"https://s3-media3.fl.yelpcdn.com/bphoto/0VttrM9OzItOO_E8rUTa2g/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/0VttrM9OzItOO_E8rUTa2g/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/0VttrM9OzItOO_E8rUTa2g/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/0VttrM9OzItOO_E8rUTa2g/300s.jpg 1.20x",http://www.yelp.com/biz/mindrite-portland?osq=cannabis,,,,,,,info@mindritepdx.com,,,
Natural Wonders,1402 SE Cesar E Chavez Blvd,Portland,OR,97214,,"Hawthorne, Sunnyside, Southeast Portland",(503) 928-1228,"Cannabis Product Education; Boutique Organic & Infused offeringsLearn more about Natural Wonders, Opens a popupSpecialtiesCannabis Product Education; Boutique Organic & Infused offeringsHistoryEstablished in 2014.Opened in 2015; Grand opening event coming in June 2015Meet the Business Owner",Jackson M.,Yes,No,4.5 star rating,34 reviews,http://www.naturalwonderspdx.com/,,Mon 10:00 am - 9:00 pm<br>Tue 10:00 am - 9:00 pm<br>Wed 10:00 am - 9:00 pm<br>Thu 10:00 am - 9:00 pm<br>Fri 10:00 am - 9:00 pm<br>Sat 10:00 am - 9:00 pm<br>Sun 10:00 am - 6:00 pm<br>,,,,No,,Street,Yes,,,,,,,,,,,,,,,,Yes,,,,"Cannabis Dispensaries, Cannabis Dispensaries",45.512766,-122.622718,"https://s3-media1.fl.yelpcdn.com/bphoto/PWIwwtQ7ZAZModoEW-RKRw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/PWIwwtQ7ZAZModoEW-RKRw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/PWIwwtQ7ZAZModoEW-RKRw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/PWIwwtQ7ZAZModoEW-RKRw/300s.jpg 1.20x",http://www.yelp.com/biz/natural-wonders-portland-3?osq=cannabis,,,,,,,info@naturalwonderspdx.com,,,
The CDC,10015 SW Hall Blvd Ste B,Portland,OR,97223,,Southwest Portland,(503) 272-7890,,,Yes,No,5.0 star rating,19 reviews,http://thecdcllc.com/,,Mon 10:00 am - 10:00 pm<br>Tue 10:00 am - 10:00 pm<br>Wed 10:00 am - 10:00 pm<br>Thu 10:00 am - 10:00 pm<br>Fri 10:00 am - 10:00 pm<br>Sat 10:00 am - 10:00 pm<br>Sun 11:00 am - 8:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",45.447612,-122.765821,"https://s3-media1.fl.yelpcdn.com/bphoto/gFgN_QamiyHPLicUijT-gg/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/gFgN_QamiyHPLicUijT-gg/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/gFgN_QamiyHPLicUijT-gg/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/gFgN_QamiyHPLicUijT-gg/300s.jpg 1.20x",http://www.yelp.com/biz/the-cdc-portland?osq=cannabis,,,,,,,,,,
