Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link,Email from Web,Facebook URL,Twitter URL,Google Plus URL
Have a Heart - Belltown,115 Blanchard St,Seattle,WA,98121,b/t 2nd Ave & 1st Ave,Belltown,(206) 588-2436,"Have a Heart - Belltown/Downtown Seattle is the fifth member of the Have a Heart family and is our fourth recreational shop in the Seattle area. Our long relationships with local …Learn more about Have a Heart - Belltown, Opens a popupSpecialtiesHave a Heart - Belltown/Downtown Seattle is the fifth member of the Have a Heart family and is our fourth recreational shop in the Seattle area. Our long relationships with local growers have allowed us to provide a wide array of well priced and highly sought after recreational marijuana and marijuana products. Our location provides easy access to recreational marijuana in a location that is fairly undeserved and our staff has been hand picked to provide our guests with the best experience possible. We welcome you to our new location and look forward to serving youHistoryEstablished in 2011.Have A Heart Rec is a recreational/medicinal marijuana facility for all over the age of 21+. We originally come from the Medical industry and transitioned into the recreational industry when the laws allowed us. We provide our customers with the best customer service, knowledge, and selection in Seattle WA and surrounding areas!",,Yes,No,4.0 star rating,57 reviews,http://haveaheartcc.com/belltown,,Mon 8:00 am - 11:45 pm<br>Tue 8:00 am - 11:45 pm<br>Wed 8:00 am - 11:45 pm<br>Thu 8:00 am - 11:45 pm<br>Fri 8:00 am - 11:45 pm<br>Sat 8:00 am - 11:45 pm<br>Sun 8:00 am - 11:45 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",,,"https://s3-media3.fl.yelpcdn.com/bphoto/3z_ShwnQ1LkTiyu93r7M2g/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/3z_ShwnQ1LkTiyu93r7M2g/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/3z_ShwnQ1LkTiyu93r7M2g/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/3z_ShwnQ1LkTiyu93r7M2g/300s.jpg 1.20x",http://www.yelp.com/biz/have-a-heart-belltown-seattle-3?osq=cannabis,,,,,,,,,,
Dockside Cannabis,1728 4th Ave S,Seattle,WA,98134,b/t Massachusetts St & Holgate St,Industrial District,(844) 362-5420,"Dockside Cannabis is a Washington State Licensed (I-502) retail store that provides cannabis products and associated accessories to residents and visitors of Washington State who are …Learn more about Dockside Cannabis, Opens a popupSpecialtiesDockside Cannabis is a Washington State Licensed (I-502) retail store that provides cannabis products and associated accessories to residents and visitors of Washington State who are 21 years of age or older. Dockside Cannabis offers customers a reliable selection of high-quality products in a comfortable, professional setting, where our commitment to sustainable operations is demonstrated by exemplary business practices that protect people and the environment. We are cash only, but have two ATMS in our store for your convenience.HistoryEstablished in 2015.Dockside Cannabis' first store is located at 15029 Aurora Ave N in Shoreline. They feature a wide array of cannabis products as well as local glass and other paraphernalia.Dockside Cannabis is owned by the same founders of Dockside Co-op, located in Fremont, founded in 2011. Dockside Co-op was the one of the first dispensaries in the nation to receive the Patients First Certification from Americans for Safe Access (ASA) and winner of Seattle Weekly's reader voted Best of Seattle the past three years. Now that I-502 has been implemented, Dockside is opening up to the fun, recreational aspect of marijuana and is opening a recreational store as well in Shoreline.Meet the Business Owner",The Dockside Cannabis Team T.,Yes,No,4.5 star rating,39 reviews,http://docksidecannabis.com/,,Mon 9:00 am - 11:00 pm<br>Tue 9:00 am - 11:00 pm<br>Wed 9:00 am - 11:00 pm<br>Thu 9:00 am - 11:00 pm<br>Fri 9:00 am - 11:00 pm<br>Sat 9:00 am - 11:00 pm<br>Sun 9:00 am - 10:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",47.587300,-122.329049,"https://s3-media4.fl.yelpcdn.com/bphoto/2FFdq-NpQVKLfLpeS0N0aw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/2FFdq-NpQVKLfLpeS0N0aw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/2FFdq-NpQVKLfLpeS0N0aw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/2FFdq-NpQVKLfLpeS0N0aw/300s.jpg 1.20x",http://www.yelp.com/biz/dockside-cannabis-seattle?osq=cannabis,,,,,,,name@email.com,,,
American Mary,321 NE 45th St,Seattle,WA,98105,b/t N Latona Ave & N 4th Ave,Wallingford,(206) 547-7833,"Seattle's number one recreational marijuana store.Browse our menu of over 50 strains of premier cannabis flowers, joints, concentrates and edibles. ATM on site.Learn more about American Mary, Opens a popupSpecialtiesSeattle's number one recreational marijuana store.Browse our menu of over 50 strains of premier cannabis flowers, joints, concentrates and edibles. ATM on site.HistoryEstablished in 2015.Born on the 4th of July 2015 and been taking this town to new highs ever since.Good to know about us: We only accept horizontal identification cards, passports, military ID and Native American ID's...Meet the Manager",,Yes,No,4.5 star rating,52 reviews,http://www.americanmarywa.com,Moderate,Mon 10:30 am - 10:30 pm<br>Tue 10:30 am - 10:30 pm<br>Wed 10:30 am - 10:30 pm<br>Thu 10:30 am - 10:30 pm<br>Fri 10:30 am - 10:30 pm<br>Sat 10:00 am - 10:30 pm<br>Sun 11:00 am - 9:00 pm<br>,,,,No,,"Street, Private Lot",,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Dispensaries, American (Traditional), Sandwiches, Food Trucks, Cannabis Clinics, Cannabis Dispensaries",47.661178,-122.324252,"https://s3-media3.fl.yelpcdn.com/bphoto/V3gQQOemEQHO5JjCqcOF9A/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/V3gQQOemEQHO5JjCqcOF9A/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/V3gQQOemEQHO5JjCqcOF9A/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/V3gQQOemEQHO5JjCqcOF9A/300s.jpg 1.20x",http://www.yelp.com/biz/american-mary-seattle?osq=cannabis,,,,,,,,,,
Potstop,4465 Fremont Ave N,Seattle,WA,98103,b/t Allen Pl & 45th St,Fremont,(206) 883-0573,"Seattle's Pot Stop is your one stop pot shop in upper Fremont!Inside our licensed i502 retail facility you will find a wide variety of prerolled joints, bubble hash, BHO shatter …Learn more about Potstop, Opens a popupSpecialtiesSeattle's Pot Stop is your one stop pot shop in upper Fremont!Inside our licensed i502 retail facility you will find a wide variety of prerolled joints, bubble hash, BHO shatter and wax, Rick Simpson Oil, Co2 oil, CBD oil,kief, and an assortment of cannabis infused edibles, including your favorite cookies, chocolate bars, snickerdoodles,brownies, truffles, tablets, and many more!Pot Stop is very conveniently located and provides on site parking to make your visit a smooth experience. Come visit us at our Fremont location!Marijuana collective, dispensaries, pot shop, cannabis club, organic marijuana, access point, dabs, hash, high cbd, infused, joint, pot, RSO, tincture, vape, vape cart, vapor, vapor pen, weed, weed store,i502HistoryEstablished in 2010.Our business began as the medical marijuana dispensary Seattle Medical Marijuana, for 5 years we set the bar in the medical marijuana world for product quality as well as customer service.On March 1st 2016 we opened our doors as Pot Stop, a licensed i502 recreational marijuana store open to any one over the age of 21. We remain committed to providing the best possible selection of goods and best service in the industry.",,Yes,No,5.0 star rating,67 reviews,http://www.pot-stop.com,Moderate,Mon 8:00 am - 11:00 pm<br>Tue 8:00 am - 11:00 pm<br>Wed 8:00 am - 11:00 pm<br>Thu 8:00 am - 11:00 pm<br>Fri 8:00 am - 11:30 pm<br>Sat 9:00 am - 11:30 pm<br>Sun 9:00 am - 11:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Dispensaries, Cannabis Clinics, Cannabis Dispensaries",47.661222,-122.350476,"https://s3-media1.fl.yelpcdn.com/bphoto/XFdAhcfuHtu0c1_3UL-c5w/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/XFdAhcfuHtu0c1_3UL-c5w/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/XFdAhcfuHtu0c1_3UL-c5w/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/XFdAhcfuHtu0c1_3UL-c5w/300s.jpg 1.20x",http://www.yelp.com/biz/potstop-seattle-2?osq=cannabis,,,,,,,,,,
Uncle Ike’s CD,2310 E Union St,Seattle,WA,98122,b/t 24th Ave & 23rd Ave,Central District,(800) 438-3784,"Uncle Ike's CD has a huge selection of top shelf cannabis, with free parking and easy access from anywhere in Seattle. We have a wide selection of flowers, cannabis, edibles, wax, …Learn more about Uncle Ike’s CD, Opens a popupSpecialtiesUncle Ike's CD has a huge selection of top shelf cannabis, with free parking and easy access from anywhere in Seattle. We have a wide selection of flowers, cannabis, edibles, wax, extracts, and much more. Dog friendly shopping! Seriously we love dogs, and we understand our patients medical needs & comfort. Customer satisfaction is our number one priority, ATM on site, Visa and MasterCard accepted along with bilingual budtenders to help with all your herbal & alternative medicinal needs. Featuring $3 edibles, $5 grams and pre-rolls, $20 dab grams and $85 ounces, and seasonal specials always available. Glass & Goods can be found at this location, we are on east Union Street in Seattle, Washington.HistoryEstablished in 2014.$5 joints, $5 grams, $12 eighths and ounces as low as $85 Every Day!Voted Seattle's #1 legal recreational cannabis store!Lowest prices in the state!Meet the Manager",,Yes,No,4.0 star rating,157 reviews,https://ikes.com,,Mon 8:00 am - 11:45 pm<br>Tue 8:00 am - 11:45 pm<br>Wed 8:00 am - 11:45 pm<br>Thu 8:00 am - 11:45 pm<br>Fri 8:00 am - 11:45 pm<br>Sat 8:00 am - 11:45 pm<br>Sun 8:00 am - 11:45 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",47.613140,-122.302477,"https://s3-media4.fl.yelpcdn.com/bphoto/vRaBqdKort51lZgznpVZ6g/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/vRaBqdKort51lZgznpVZ6g/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/vRaBqdKort51lZgznpVZ6g/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/vRaBqdKort51lZgznpVZ6g/300s.jpg 1.20x",http://www.yelp.com/biz/uncle-ikes-cd-seattle?osq=cannabis,,,,,,,,,,
Pot Shop Seattle,1628 Dexter Ave N,Seattle,WA,98109,b/t Garfield St & Hayes St,Westlake,(206) 455-9159,"Seattle's Pot Shop - in the Westlake neighborhood. Legal pot for everyone 21+. Need weed?We are always adding new inventory including new strains of marijuana, tasty edibles, …Learn more about Pot Shop Seattle, Opens a popupSpecialtiesSeattle's Pot Shop - in the Westlake neighborhood. Legal pot for everyone 21+. Need weed?We are always adding new inventory including new strains of marijuana, tasty edibles, concentrates (waxes, shatters, crumbles, etc) as well as vaporizers and oil cartridges.Come see for yourself.We'd be happy to assist you.HistoryEstablished in 2015.Pot Shop Seattle is a locally LGBT owned, boutique style, recreational marijuana shop. We proudly opened our doors on May 22, 2015 in Fremont and relocated to our new home in the Westlake neighborhood in May 2016.We carry a wide variety of legal pot. Our selection also includes edibles, concentrates as well as vaporizers, cartridges, accessories and more.No medical card needed.Not sure what you want?Ask our friendly, knowledgeable and professional staff.We pride ourselves on our customer service and will always take the time to help you find the perfect thing. Stop by Monday-Thursday 10AM - 11PM, Friday, Saturday & Sunday 9AM - 11:45PM.Meet the Business Owner",Danielle D.,Yes,No,5.0 star rating,27 reviews,http://www.potshopseattle.co,Moderate,Mon 10:00 am - 11:00 pm<br>Tue 10:00 am - 11:00 pm<br>Wed 10:00 am - 11:00 pm<br>Thu 10:00 am - 11:00 pm<br>Fri 9:00 am - 11:45 pm<br>Sat 9:00 am - 11:45 pm<br>Sun 9:00 am - 11:45 pm<br>,,,,No,,,Yes,,,,,,,,,,,,,,,,Yes,,,,"Cannabis Dispensaries, Cannabis Dispensaries",47.633677,-122.342140,"https://s3-media4.fl.yelpcdn.com/bphoto/kmf0xVjPf9LVd5a_PLENxA/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/kmf0xVjPf9LVd5a_PLENxA/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/kmf0xVjPf9LVd5a_PLENxA/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/kmf0xVjPf9LVd5a_PLENxA/300s.jpg 1.20x",http://www.yelp.com/biz/pot-shop-seattle-seattle?osq=cannabis,,,,,,,,,,
Ruckus Recreational Cannabis,1465 E Republican St,Seattle,WA,98112,b/t E Malden Ave & E 15th Ave,Capitol Hill,(206) 257-4805,"Ruckus Recreational is ""Sparking the Revolution"" founded with an eccentric spirit and an ambitious promise to everyone who walks through our doors. To deliver a retail experience …Learn more about Ruckus Recreational Cannabis, Opens a popupSpecialtiesRuckus Recreational is ""Sparking the Revolution"" founded with an eccentric spirit and an ambitious promise to everyone who walks through our doors. To deliver a retail experience unlike any there, and provide the best cannabis in Seattle. Ruckus is Capitol Hill's first recreational pot shop, Capitol Hill's First and largest clean green certified cannabis store retailer. It's our goal to consistently and graciously give you the added touch & premier bud tender knowledge. Our bud tenders are ready to help make suggestions, ask about our favorite edibles or any marijuana product we might cary. Our cannabis store is located on East Republican street in Seattle, Washington.Meet the Business Owner",Sam B.,Yes,No,4.5 star rating,11 reviews,https://www.ruckusrec.com,Pricey,Mon 8:00 am - 11:45 pm<br>Tue 8:00 am - 11:45 pm<br>Wed 8:00 am - 11:45 pm<br>Thu 8:00 am - 11:45 pm<br>Fri 8:00 am - 11:45 pm<br>Sat 8:00 am - 11:45 pm<br>Sun 8:00 am - 11:45 pm<br>,,,,No,,Street,Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",47.622971,-122.312989,"https://s3-media3.fl.yelpcdn.com/bphoto/GksqI5iL4wrCTEA1gyU54Q/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/GksqI5iL4wrCTEA1gyU54Q/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/GksqI5iL4wrCTEA1gyU54Q/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/GksqI5iL4wrCTEA1gyU54Q/300s.jpg 1.20x",http://www.yelp.com/biz/ruckus-recreational-seattle?osq=cannabis,,,,,,,,,,
OZ. Recreational Cannabis,3831 Stone Way N,Seattle,WA,98103,b/t 39th St & 38th St,Fremont,(206) 251-0630,"OZ. offers a wide range of quality recreational marijuana products, including flower, pre-rolled joints, concentrates, edibles, and gear. The inside dope.We hand-pick from the …Learn more about OZ. Recreational Cannabis, Opens a popupSpecialtiesOZ. offers a wide range of quality recreational marijuana products, including flower, pre-rolled joints, concentrates, edibles, and gear. The inside dope.We hand-pick from the best farms. We make it fun and easy to shop. And our prices are totally righteous.Bring your dogs and bikes. Bring your friends. Come on by!Everyone 21+ with valid ID welcome. ADA accessible. No medical card needed.HistoryEstablished in 2015.OZ. was licensed May 15th 2015 and soft opened shortly thereafter. The entire process, from initial planning to opening, took just under two years. The store is family owned and operated.Meet the Business Owner",Bob R.,Yes,No,5.0 star rating,31 reviews,http://www.ozseattle.com/,Moderate,Mon 10:00 am - 11:00 pm<br>Tue 10:00 am - 11:00 pm<br>Wed 10:00 am - 11:00 pm<br>Thu 10:00 am - 11:00 pm<br>Fri 10:00 am - 11:00 pm<br>Sat 10:00 am - 11:00 pm<br>Sun 10:00 am - 11:00 pm<br>,,,,No,,,Yes,,,,,,,,,,,,,,,,Yes,,,,"Cannabis Dispensaries, Cannabis Dispensaries",47.653631,-122.342859,"https://s3-media1.fl.yelpcdn.com/bphoto/oGB9nDWja5FivkxT2tMRkw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/oGB9nDWja5FivkxT2tMRkw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/oGB9nDWja5FivkxT2tMRkw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/oGB9nDWja5FivkxT2tMRkw/300s.jpg 1.20x",http://www.yelp.com/biz/oz-recreational-cannabis-seattle?osq=cannabis,,,,,,,info@ozseattle.com,,,
Seattle Cannabis Co.,3230 1st Ave S,Seattle,WA,98134,b/t Hanford St & Horton St,Industrial District,(206) 294-5839,"Seattle Cannabis Company carries the best recreational marijuana products available in Washington. Conveniently located in the heart of Seattle - SoDo district. Seattle Cannabis …Learn more about Seattle Cannabis Co., Opens a popupSpecialtiesSeattle Cannabis Company carries the best recreational marijuana products available in Washington. Conveniently located in the heart of Seattle - SoDo district. Seattle Cannabis Company's inventory is constantly changing with new strains of flower, edibles and concentrates available daily.HistoryEstablished in 2015.Located in Seattle's SoDo district, our contemporary and stylish setting is unrivaled. We serve 100% tested, quality assured cannabis that is truly some of the best in the world. Our customers receive compassionate customer service with a personal touch from our friendly and helpful staff. We pride ourselves in being knowledgeable with our award-winning flower, concentrates and edibles.We feature many products that are not found anywhere else in the Seattle area. Stepping into the shop is a treat for seasoned tokers or novice smokers: the customers are greeted with smiling budtenders, opportunities to smell the strains, eye-catching packaging, and impressive brands.",,Yes,No,4.5 star rating,29 reviews,http://www.seattlecannabis.co,,Mon 9:00 am - 11:00 pm<br>Tue 9:00 am - 11:00 pm<br>Wed 9:00 am - 11:00 pm<br>Thu 9:00 am - 11:00 pm<br>Fri 9:00 am - 11:00 pm<br>Sat 9:00 am - 11:00 pm<br>Sun 9:00 am - 9:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",47.574596,-122.333908,"https://s3-media2.fl.yelpcdn.com/bphoto/l6ft5blKs_pLVcFjTbbVbA/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/l6ft5blKs_pLVcFjTbbVbA/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/l6ft5blKs_pLVcFjTbbVbA/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/l6ft5blKs_pLVcFjTbbVbA/300s.jpg 1.20x",http://www.yelp.com/biz/seattle-cannabis-co-seattle?osq=cannabis,,,,,,,,,,
Fweedom Cannabis,12001 Aurora Ave N,Seattle,WA,98133,b/t 127th St & 125th St,Bitter Lake,(206) 508-4974,"Founded in 2008 in Seattle, Washington, Fweedom Collective started as a Hemp alternative based clothing company bringing awareness to consumers of Hemp and fabrics opposed to …Learn more about Fweedom Cannabis, Opens a popupSpecialtiesFounded in 2008 in Seattle, Washington, Fweedom Collective started as a Hemp alternative based clothing company bringing awareness to consumers of Hemp and fabrics opposed to traditional cotton. We work to educate while also respecting the environment we live in by using sustainable resources. We evolved into a medical marijuana collective toward the end of 2009, and have been helping patients obtain their medicine throughout Washington.At Fweedom Collective, our intentions are to protect medical cannabis patients by providing a safe and affordable alternative to the dangerous circumstances of the illegal market. We want to help every patient feel cared for, valued and respected. We strive honor the trust provided by our fellow citizens by faithfully and rigorously observing and enforcing the laws of the progressive, visionary City of Seattle and the Great State of Washington.Providing quality service is what makes Fweedom Collective the preferred cannabis dispensary of Washington State.We invite you to visit our website, where you can find a full menu of our top shelf medicine that has passed through quality control. All of our cannabis has been lab tested for THC, CBD and CBN percentages to ensure ultimate relief of pain and discomfort.*UPDATEFweedom Cannabis, Formerly Fweedom Collective is now a 21+ Recreational Marijuana dispensary! Enjoy a wide selection of cannabis products, both old staples and exciting new products! Must be 21 or over to purchase.HistoryEstablished in 2008.Locally established in 2008. Progressively supporting Cannabis Culture. Pre-existed in Ballard, and since moved to Aurora Ave N.",,Yes,No,5.0 star rating,46 reviews,http://www.fweedom.com,,Mon 8:00 am - 11:45 pm<br>Tue 8:00 am - 11:45 pm<br>Wed 8:00 am - 11:45 pm<br>Thu 8:00 am - 11:45 pm<br>Fri 8:00 am - 11:45 pm<br>Sat 8:00 am - 11:45 pm<br>Sun 10:00 am - 9:00 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",47.716058,-122.345358,"https://s3-media3.fl.yelpcdn.com/bphoto/vGneAKjJudgKuUNSuN2rEQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/vGneAKjJudgKuUNSuN2rEQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/vGneAKjJudgKuUNSuN2rEQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/vGneAKjJudgKuUNSuN2rEQ/300s.jpg 1.20x",http://www.yelp.com/biz/fweedom-cannabis-seattle?osq=cannabis,,,,,,,,,,
