Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link,Email from Web,Facebook URL,Twitter URL,Google Plus URL
World Of Weed,3202 E Portland Ave,Tacoma,WA,98404,,,(253) 248-4181,"It's 4:20 Somewhere.Get Wowed!Learn more about World Of Weed, Opens a popupSpecialtiesIt's 4:20 Somewhere.Get Wowed!HistoryEstablished in 2015.Tacoma Marijuana store started in 2015 - End of Cannabis Prohibition!thank you Washington State!Meet the Business Owner",Alden L.,Yes,No,4.5 star rating,84 reviews,http://www.worldofweed.com,,Mon 8:00 am - 11:45 pm<br>Tue 8:00 am - 11:45 pm<br>Wed 8:00 am - 11:45 pm<br>Thu 8:00 am - 11:45 pm<br>Fri 8:00 am - 11:45 pm<br>Sat 8:00 am - 11:45 pm<br>Sun 8:00 am - 11:45 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",47.234582,-122.409721,"https://s3-media4.fl.yelpcdn.com/bphoto/ww9TAuzP9L9o3nWHJXWVNw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/ww9TAuzP9L9o3nWHJXWVNw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/ww9TAuzP9L9o3nWHJXWVNw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/ww9TAuzP9L9o3nWHJXWVNw/300s.jpg 1.20x",http://www.yelp.com/biz/world-of-weed-tacoma?osq=cannabis,,,,,,,info@worldofweed.com,,,
Urban Bud,112 S 24th St,Tacoma,WA,98402,,,(253) 327-1572,"I-502 recreational retail marijuana- specializing in all aspects of legal cannabis: dry flowers (sativa, indica, hybrid), concentrates, edibles, accessories, and moreLearn more about Urban Bud, Opens a popupSpecialtiesI-502 recreational retail marijuana- specializing in all aspects of legal cannabis: dry flowers (sativa, indica, hybrid), concentrates, edibles, accessories, and more",,Yes,No,4.0 star rating,39 reviews,http://www.urbanbud.com,,Mon 8:00 am - 11:45 pm<br>Tue 8:00 am - 11:45 pm<br>Wed 8:00 am - 11:45 pm<br>Thu 8:00 am - 11:45 pm<br>Fri 8:00 am - 11:45 pm<br>Sat 8:00 am - 11:45 pm<br>Sun 8:00 am - 11:45 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",47.239943,-122.435138,"https://s3-media1.fl.yelpcdn.com/bphoto/qW9DRDcfab2MPetQQrdluQ/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/qW9DRDcfab2MPetQQrdluQ/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/qW9DRDcfab2MPetQQrdluQ/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/qW9DRDcfab2MPetQQrdluQ/300s.jpg 1.20x",http://www.yelp.com/biz/urban-bud-tacoma-2?osq=cannabis,,,,,,,,,,
Clear Choice Cannabis,8001 S Hosmer St,Tacoma,WA,98408,,,(253) 250-4763,"Clear Choice is a recreational cannabis dispensary in Tacoma, WA. We are committed to being the most service-oriented, knowledgeable and reliable provider of premium recreational …Learn more about Clear Choice Cannabis, Opens a popupSpecialtiesClear Choice is a recreational cannabis dispensary in Tacoma, WA. We are committed to being the most service-oriented, knowledgeable and reliable provider of premium recreational cannabis, concentrates, vape cartridges and edibles in the Tacoma, WA area--and beyond. Our customers always come first, whether you're looking for advice on concentrates or simply want help choosing a beautiful glass piece to give as a gift. We put our years of experience to work for you every day.HistoryEstablished in 2013.Clear Choice Cannabis started it's adventure in February of 2013 as a Medical Cannabis Collective we offered high quality products at fair prices and in a safe inviting environment!We received our state license in July of 2014 to sell recreational Cannabis to adults over 21 and we are continuing or journey to offer great product and service to the state of Washington!Clear Choice Cannabis also recommends",,Yes,No,4.0 star rating,39 reviews,https://www.findclearchoice.com,,Mon 8:00 am - 12:00 am<br>Tue 8:00 am - 12:00 am<br>Wed 8:00 am - 12:00 am<br>Thu 8:00 am - 12:00 am<br>Fri 8:00 am - 12:00 am<br>Sat 8:00 am - 12:00 am<br>Sun 8:00 am - 12:00 am<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Adult, Lingerie, Thrift Stores, Outdoor Gear, Cannabis Clinics",47.184361,-122.462341,"https://s3-media1.fl.yelpcdn.com/bphoto/_l75JfIZdsixa3Gi8YCUCw/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/_l75JfIZdsixa3Gi8YCUCw/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/_l75JfIZdsixa3Gi8YCUCw/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/_l75JfIZdsixa3Gi8YCUCw/300s.jpg 1.20x",http://www.yelp.com/biz/clear-choice-cannabis-tacoma?osq=cannabis,,,,,,,,,,
Emerald Leaves,2702 6th Ave,Tacoma,WA,98406,,,(253) 507-4591,"Emerald Leaves is a Washington State I-502 Licensed Recreational Marijuana Retail Store.Learn more about Emerald Leaves, Opens a popupSpecialtiesEmerald Leaves is a Washington State I-502 Licensed Recreational Marijuana Retail Store.",,Yes,No,4.0 star rating,16 reviews,http://www.emeraldleavestacoma.com,,Mon 9:00 am - 11:30 pm<br>Tue 9:00 am - 11:30 pm<br>Wed 9:00 am - 11:30 pm<br>Thu 9:00 am - 11:30 pm<br>Fri 9:00 am - 11:30 pm<br>Sat 9:00 am - 11:30 pm<br>Sun 10:00 am - 10:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",47.255316,-122.471441,"https://s3-media1.fl.yelpcdn.com/bphoto/gX7qeNgn0bPYYEQ0neL7AQ/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/gX7qeNgn0bPYYEQ0neL7AQ/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/gX7qeNgn0bPYYEQ0neL7AQ/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/gX7qeNgn0bPYYEQ0neL7AQ/300s.jpg 1.20x",http://www.yelp.com/biz/emerald-leaves-tacoma?osq=cannabis,,,,,,,,,,
Two Five Trees,3213 S 38th St,Tacoma,WA,98409,,,(253) 292-0197,,,Yes,No,4.0 star rating,7 reviews,http://www.shop25trees.com,,Mon 8:00 am - 11:30 pm<br>Tue 8:00 am - 11:30 pm<br>Wed 8:00 am - 11:30 pm<br>Thu 8:00 am - 11:30 pm<br>Fri 8:00 am - 11:30 pm<br>Sat 8:00 am - 11:30 pm<br>Sun 8:00 am - 11:30 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",47.222733,-122.478682,"https://s3-media1.fl.yelpcdn.com/bphoto/TE-67MilowB_GoqWhAzQ2A/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/TE-67MilowB_GoqWhAzQ2A/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/TE-67MilowB_GoqWhAzQ2A/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/TE-67MilowB_GoqWhAzQ2A/300s.jpg 1.20x",http://www.yelp.com/biz/two-five-trees-tacoma?osq=cannabis,,,,,,,25treesllc@gmail.com,,,
Green Collar Cannabis,10422 Pacific Ave S Ste B,Tacoma,WA,98444,,,(253) 314-5113,"Green Collar Cannabis serves the areas of Tacoma, Lakewood, Parkland, and Puyallup. Conveniently located just south of downtown Tacoma, Green Collar Cannabis provides an extensive …Learn more about Green Collar Cannabis, Opens a popupSpecialtiesGreen Collar Cannabis serves the areas of Tacoma, Lakewood, Parkland, and Puyallup. Conveniently located just south of downtown Tacoma, Green Collar Cannabis provides an extensive selection of premium cannabis and glass products.HistoryEstablished in 2011.We opened our RETAIL store, August 2015.We are also the owners of the Green Collar Club (Medical Dispensary) that is located in the building next to us here.Meet the Business Owner",Jeremiah R.,Yes,No,4.5 star rating,10 reviews,http://greencollarcannabis.com,,Mon 8:00 am - 12:00 am<br>Tue 8:00 am - 12:00 am<br>Wed 8:00 am - 12:00 am<br>Thu 8:00 am - 12:00 am<br>Fri 8:00 am - 12:00 am<br>Sat 8:00 am - 12:00 am<br>Sun 8:00 am - 12:00 am<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",47.162351,-122.434200,"https://s3-media1.fl.yelpcdn.com/bphoto/KMpXoBDsZ6-Sfdr1aIXKBA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/KMpXoBDsZ6-Sfdr1aIXKBA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/KMpXoBDsZ6-Sfdr1aIXKBA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/KMpXoBDsZ6-Sfdr1aIXKBA/300s.jpg 1.20x",http://www.yelp.com/biz/green-collar-cannabis-tacoma?osq=cannabis,,,,,,,Info@greencollarcannabis.com,,,
Highway 7 Recreational Marijuana Store,7046 Pacific Ave S,Tacoma,WA,98408,,,(253) 302-4192,"Specializing in:- Cannabis Dispensaries- Pipes & Smokers ArticlesLearn more about Highway 7 Recreational Marijuana Store, Opens a popupSpecialtiesSpecializing in:- Cannabis Dispensaries- Pipes & Smokers ArticlesHistoryEstablished in 2014.We are on of the first Recreational Marijuana Store storefronts to open our doors to sell legalized marijuana in Tacoma, WA. Our prices have dropped tremendously since we opened, and we now have the Lowest Prices in the State on fresh, top shelf premium weed that is always High in THC.We are now able to offer a wide variety of strains for all to enjoy since there are many state approved growers and vendors which has helped to reduce the pricing compared to the beginning.Meet the Business Owner",Teairrau M.,Yes,No,4.0 star rating,17 reviews,http://www.hiwy7.com/,Moderate,Mon 8:00 am - 11:30 pm<br>Tue 8:00 am - 11:30 pm<br>Wed 8:00 am - 11:30 pm<br>Thu 8:00 am - 11:30 pm<br>Fri 8:00 am - 11:30 pm<br>Sat 8:00 am - 11:30 pm<br>Sun 8:00 am - 11:30 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",47.192667,-122.435036,"https://s3-media1.fl.yelpcdn.com/bphoto/utP1y5QFDbW83wevjgWd9w/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/utP1y5QFDbW83wevjgWd9w/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/utP1y5QFDbW83wevjgWd9w/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/utP1y5QFDbW83wevjgWd9w/300s.jpg 1.20x",http://www.yelp.com/biz/highway-7-recreational-marijuana-store-tacoma-2?osq=cannabis,,,,,,,info@hiwy7.com,,,
Diamond Green Recreational Marijuana,4002 S 12th St,Tacoma,WA,98405,,,(253) 301-3148,,,Yes,No,3.5 star rating,7 reviews,http://diamondgreentacoma.com,Pricey,Mon 9:00 am - 10:00 pm<br>Tue 9:00 am - 10:00 pm<br>Wed 9:00 am - 10:00 pm<br>Thu 9:00 am - 10:00 pm<br>Fri 9:00 am - 10:00 pm<br>Sat 9:00 am - 10:00 pm<br>Sun 10:00 am - 8:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",47.249689,-122.490629,"https://s3-media4.fl.yelpcdn.com/bphoto/OGhuIqkLizw0NJmBjGCUGw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/OGhuIqkLizw0NJmBjGCUGw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/OGhuIqkLizw0NJmBjGCUGw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/OGhuIqkLizw0NJmBjGCUGw/300s.jpg 1.20x",http://www.yelp.com/biz/diamond-green-recreational-marijuana-tacoma-2?osq=cannabis,,,,,,,,,,
The Herbal Gardens,4803 Center St,Tacoma,WA,98409,,,(253) 272-5265,"Welcome to The Herbal Garden! We have just opened our fabulous new location at 4803 Center st Tacoma Washington! Conveniently located off highway 16 and close to I5. We pride …Learn more about The Herbal Gardens, Opens a popupSpecialtiesWelcome to The Herbal Garden! We have just opened our fabulous new location at 4803 Center st Tacoma Washington! Conveniently located off highway 16 and close to I5. We pride ourselves in finding the best product for YOU! Leading the pack in 2010 as one of the first few medical dispensary's in Tacoma, we are now recreational 21+! Come in to check out our product and see our new shop!HistoryEstablished in 2010.THG was created in 2010 as a dispensary that tested all meds to ensure the patients were getting clean medicine.Meet the Business Owner",Louis A.,Yes,No,3.5 star rating,12 reviews,http://herbalgardens.org,,Mon 8:30 am - 11:00 pm<br>Tue 8:30 am - 11:00 pm<br>Wed 8:30 am - 11:00 pm<br>Thu 8:30 am - 11:00 pm<br>Fri 8:30 am - 11:00 pm<br>Sat 8:30 am - 11:00 pm<br>Sun 8:30 am - 11:00 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",47.234723,-122.501771,"https://s3-media2.fl.yelpcdn.com/bphoto/Tr3uRClrDaMhcgvIvPnEdA/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/Tr3uRClrDaMhcgvIvPnEdA/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/Tr3uRClrDaMhcgvIvPnEdA/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/Tr3uRClrDaMhcgvIvPnEdA/300s.jpg 1.20x",http://www.yelp.com/biz/the-herbal-gardens-tacoma-3?osq=cannabis,,,,,,,,,,
I Know a Guy Delivery Service,,Tacoma,WA,98403,,,(253) 298-7402,,,Yes,No,4.0 star rating,5 reviews,http://www.iknowaguyds.com,,Mon 10:00 am - 12:00 am<br>Tue 10:00 am - 12:00 am<br>Wed 10:00 am - 12:00 am<br>Thu 10:00 am - 12:00 am<br>Fri 10:00 am - 12:00 am<br>Sat 10:00 am - 12:00 am<br>Sun 10:00 am - 12:00 am<br>,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",47.154727,-122.455429,"https://s3-media2.fl.yelpcdn.com/bphoto/TDRl0cIpH0avbRDa4QyKlw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/TDRl0cIpH0avbRDa4QyKlw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/TDRl0cIpH0avbRDa4QyKlw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/TDRl0cIpH0avbRDa4QyKlw/300s.jpg 1.20x",http://www.yelp.com/biz/i-know-a-guy-delivery-service-tacoma?osq=cannabis,,,,,,,,,,
