Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link,Email from Web,Facebook URL,Twitter URL,Google Plus URL
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/city-sessions-denver-denver?osq=cannabis,,,,,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/the-giving-tree-of-denver-denver?osq=cannabis,,,,,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/l-eagle-services-denver?osq=cannabis,,,,,,,,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/herban-underground-denver-2?osq=cannabis,,,,,,,,,,
Denver Recreational,2117 Larimer St,Denver,CO,80205,,"Five Points, Northwest",(303) 296-2093,"DEN-REC's inventory is constantly changing with new strains of bud being added daily. They always have Sativa, Indica, and Hybrids on the shelves. The most popular strains tend to be …Learn more about Denver Recreational, Opens a popupSpecialtiesDEN-REC's inventory is constantly changing with new strains of bud being added daily. They always have Sativa, Indica, and Hybrids on the shelves. The most popular strains tend to be Sativas, including Sour Diesel, Durban Poison, and Sweet Island Sweet Skunk. These Sativas produce a cerebral, upbeat, motivated energy that will keep you active throughout the day. DEN- REC's edibles selection is also dynamic, ranging from chocolate bars, to gummies, healthy granola, and tinctures. They specialize in the highest quality hash, from the blond crumble wax, to the glassy smooth brittle shatter. DEN-REC carries it all, at the highest quality.HistoryEstablished in 2009.Denver Recreational Dispensary has been serving the Denver area since 2009. Their mission is to provide the highest quality products at competitive prices in a modern, friendly environment. They specialize in high-quality bud from the onsite grow facility. They are also conveniently located on Larimer Street, two blocks from Coors Field. The staff is knowledgeable and friendly and strives to help customers understand the wide variety of options available. DEN-REC caters to people new to recreational marijuana, as well as those with discriminating tastes. They are recreational only, which means medical patients don't get their best flower and concentrates--you do. If you are looking for a top-notch experience, look no further than DEN-REC.Meet the Business Owner",Marc M.,Yes,No,4.5 star rating,57 reviews,http://www.den-rec.com/,,Mon 9:00 am - 10:00 pm<br>Tue 9:00 am - 10:00 pm<br>Wed 9:00 am - 10:00 pm<br>Thu 9:00 am - 10:00 pm<br>Fri 9:00 am - 10:00 pm<br>Sat 9:00 am - 10:00 pm<br>Sun 9:00 am - 10:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Pizza, Italian, Bars, Hot Dogs, Sandwiches, Karaoke, Mexican, Cannabis Clinics",39.754415,-104.991535,"https://s3-media2.fl.yelpcdn.com/bphoto/9wNxadL_woPPqKVWpSpevw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/9wNxadL_woPPqKVWpSpevw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/9wNxadL_woPPqKVWpSpevw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/9wNxadL_woPPqKVWpSpevw/300s.jpg 1.20x",http://www.yelp.com/biz/denver-recreational-denver?osq=cannabis,,,,,,,,,,
Dank,3835 Elm St Ste C,Denver,CO,80207,,"Park Hill, Northeast",(303) 394-3265,"We provide top quality cannabis, headie eddies and potent concentrates to both Recreational and Medical shoppers. In-state and out-of-state visitors 21 and over are welcome in our …Learn more about Dank, Opens a popupSpecialtiesWe provide top quality cannabis, headie eddies and potent concentrates to both Recreational and Medical shoppers. In-state and out-of-state visitors 21 and over are welcome in our comfortable and welcoming Recreational Store from 8am-645pm. Medical shoppers 18 and over are provided a separate entry, ensuring short lines and a personable experience. Shop the medical store from 10am-645pm. Please, visit DANK today, you'll be glad you did.HistoryEstablished in 2009.In August of '09, we found a commercial warehouse to grow medical cannabis for a few friends and family. It turns out the need for quality cannabis grew our little shop into what it is today, a home-grown enterprise seeking to educate, elevate and celebrate all that is special about this plant. We recognize the medical benefit as proven through US Patent 6630507. We celebrate our new freedom without judgement. We elevate cannabis through high standards that ensure a safe and consistent product. ""Get Higher"" at DANK.Meet the Business Owner",Jay G.,Yes,No,4.5 star rating,95 reviews,http://www.dank-colorado.com,,Mon 8:00 am - 9:45 pm<br>Tue 8:00 am - 9:45 pm<br>Wed 8:00 am - 9:45 pm<br>Thu 8:00 am - 9:45 pm<br>Fri 8:00 am - 9:45 pm<br>Sat 8:00 am - 9:45 pm<br>Sun 8:00 am - 9:45 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Barbeque, Bars, Hydroponics, Breweries, Business Consulting, Bakeries, Sandwiches, Custom Cakes, Cannabis Clinics",39.769882,-104.929836,"https://s3-media3.fl.yelpcdn.com/bphoto/Q62A3b5m0rdgAHrHMT3ngQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/Q62A3b5m0rdgAHrHMT3ngQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/Q62A3b5m0rdgAHrHMT3ngQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/Q62A3b5m0rdgAHrHMT3ngQ/300s.jpg 1.20x",http://www.yelp.com/biz/dank-denver-2?osq=cannabis,,,,,,,,,,
Native Roots Dispensary Denver,1555 Champa St,Denver,CO,80202,,"CBD, Northwest",(303) 623-1900,"Welcome to Native Roots, Colorado's premier dispensary for recreational and medical cannabis. A pioneer in the industry since its inception, Native Roots has led the way to making …Learn more about Native Roots Dispensary Denver, Opens a popupSpecialtiesWelcome to Native Roots, Colorado's premier dispensary for recreational and medical cannabis. A pioneer in the industry since its inception, Native Roots has led the way to making cannabis comfortable for everyone. At every one of our 19 locations across the state, you'll find a welcoming boutique atmosphere, a professional and helpful staff and a curated selection of the best product available. This is the cannabis experience you've been looking for.HistoryEstablished in 2010.From our flagship Downtown Denver dispensary, to our newly opened medical marijuana centers in Colorado Springs and Littleton, the Native Roots footprint in Colorado continues to expand. Our goal is to change the perception of marijuana, its consumption, while showcasing the medicinal benefits of the cannabis plant, in addition to the ways cannabis can be included in daily life as an lifesaving alternative medicine.With an ever-growing presence across Colorado, we are working to make legal cannabis accessible to all regions from Denver to the High Country. Welcome to The Native Fam!",,Yes,No,4.0 star rating,83 reviews,http://www.nativerootsdispensary.com,Moderate,Mon 9:00 am - 10:00 pm<br>Tue 9:00 am - 10:00 pm<br>Wed 9:00 am - 10:00 pm<br>Thu 9:00 am - 10:00 pm<br>Fri 9:00 am - 10:00 pm<br>Sat 9:00 am - 10:00 pm<br>Sun 9:00 am - 10:00 pm<br>,,,,No,,"Garage, Street",Yes,,,,,,,,,,,,,,,,,,,,"Cannabis Dispensaries, Cannabis Dispensaries",39.746253,-104.994325,"https://s3-media4.fl.yelpcdn.com/bphoto/G1gEvUkeibOQpcHaWtnCkg/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/G1gEvUkeibOQpcHaWtnCkg/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/G1gEvUkeibOQpcHaWtnCkg/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/G1gEvUkeibOQpcHaWtnCkg/300s.jpg 1.20x",http://www.yelp.com/biz/native-roots-dispensary-denver-denver?osq=cannabis,,,,,,,connect@nativerootsdispensary.com,,,
Simply Pure Denver Dispensary,2000 W 32nd Ave,Denver,CO,80211,,"Northwest, Highland",(720) 507-7873,"We are LoHi's Premier Dispensary that offers the largest selection of Edibles, Concentrates AND Flower!Learn more about Simply Pure Denver Dispensary, Opens a popupSpecialtiesWe are LoHi's Premier Dispensary that offers the largest selection of Edibles, Concentrates AND Flower!HistoryEstablished in 2010.We are Colorado's most politically active dispensary that fights for social change and acceptance. We have been here since the beginning of legalization.Meet the Business Owner",Wanda J.,Yes,No,5.0 star rating,42 reviews,http://www.simplypure.com,Moderate,Mon 9:00 am - 10:00 pm<br>Tue 9:00 am - 10:00 pm<br>Wed 9:00 am - 10:00 pm<br>Thu 9:00 am - 10:00 pm<br>Fri 9:00 am - 10:00 pm<br>Sat 9:00 am - 10:00 pm<br>Sun 10:00 am - 10:00 pm<br>,,,,No,,Street,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Dispensaries, Cannabis Clinics, Cannabis Dispensaries",39.761874,-105.011487,"https://s3-media3.fl.yelpcdn.com/bphoto/nQhqPH_HiQJGKLV06oFBrQ/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/nQhqPH_HiQJGKLV06oFBrQ/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/nQhqPH_HiQJGKLV06oFBrQ/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/nQhqPH_HiQJGKLV06oFBrQ/300s.jpg 1.20x",http://www.yelp.com/biz/simply-pure-denver?osq=cannabis,,,,,,,,,,
GroundSwell Cannabis Boutique,3121 E Colfax Ave,Denver,CO,80206,,"City Park, Northeast",(303) 309-0078,"At GroundSwell Cannabis Boutique, we provide a unique and welcoming environment for dispensing Denver's best Marijuana, Edibles & Concentrates. Visit Today.Learn more about GroundSwell Cannabis Boutique, Opens a popupSpecialtiesAt GroundSwell Cannabis Boutique, we provide a unique and welcoming environment for dispensing Denver's best Marijuana, Edibles & Concentrates. Visit Today.HistoryEstablished in 2010.Our business began in 2010 by serving those most in need of medicinal cannabis: homebound and invalid patients. Our center has evolved to meet the needs of all medical cannabis patients, and expanded in April 2015 to serve all adults over the age of 21.The GroundSwell team is not new to the Bluebird District. In fact, we've played an integral part in the neighborhood's growth and improvements over the last 10 years. Our vision is to create a neighborhood resource that will educate and create awareness about responsible cannabis use and its medicinal benefits.We love our neighborhood. We are committed to its preservation and success, and we plan to be here for many years to come.",,Yes,No,4.5 star rating,52 reviews,http://www.groundswelldenver.com,,Mon 9:00 am - 7:00 pm<br>Tue 9:00 am - 7:00 pm<br>Wed 9:00 am - 7:00 pm<br>Thu 9:00 am - 7:00 pm<br>Fri 9:00 am - 7:00 pm<br>Sat 9:00 am - 7:00 pm<br>Sun 9:00 am - 7:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",39.740444,-104.950594,"https://s3-media3.fl.yelpcdn.com/bphoto/0y1AocT0foCyZ4PQaa5wiw/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/0y1AocT0foCyZ4PQaa5wiw/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/0y1AocT0foCyZ4PQaa5wiw/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/0y1AocT0foCyZ4PQaa5wiw/300s.jpg 1.20x",http://www.yelp.com/biz/groundswell-cannabis-boutique-denver?osq=cannabis,,,,,,,,,,
LoDo Wellness Center,1617 Wazee St Unit B,Denver,CO,80202,,"Lodo, Northwest",(303) 534-5020,"LoDo Wellness Center is Denver's most distinguished dispensary in the Lower Downtown Historic District. Our retail store features a large selection of edibles and concentrates, LoDo …Learn more about LoDo Wellness Center, Opens a popupSpecialtiesLoDo Wellness Center is Denver's most distinguished dispensary in the Lower Downtown Historic District. Our retail store features a large selection of edibles and concentrates, LoDo Wellness has everything you need for the novice first timer or the most experienced connoisseur, including a hefty selection of marijuana souvenirs and smoking accessories. Medical patients receive member pricing at their first visit and we offer veterans and students member pricing every day. Specializing in small batch craft growing, every bud is grown and trimmed by hand so you receive the highest quality cannabis.",,Yes,No,4.0 star rating,26 reviews,http://www.lodowellnesscenter.com,,Mon 10:00 am - 7:00 pm<br>Tue 10:00 am - 7:00 pm<br>Wed 8:00 am - 7:00 pm<br>Thu 8:00 am - 7:00 pm<br>Fri 8:00 am - 7:00 pm<br>Sat 8:00 am - 7:00 pm<br>Sun 10:00 am - 7:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Cannabis Clinics, Cannabis Clinics",39.751716,-104.999877,"https://s3-media4.fl.yelpcdn.com/bphoto/FmYdOmVWk3Z_GMiQ5Y4xew/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/FmYdOmVWk3Z_GMiQ5Y4xew/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/FmYdOmVWk3Z_GMiQ5Y4xew/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/FmYdOmVWk3Z_GMiQ5Y4xew/300s.jpg 1.20x",http://www.yelp.com/biz/lodo-wellness-center-denver?osq=cannabis,,,,,,,,,,
